ticker,horizon,spread,ci_lo,ci_hi,sig
EWY,5,0.61,-0.18,1.44,ns
EWY,10,1.04,-0.24,2.52,ns
EWY,21,1.14,-1.12,3.73,ns
EWY,63,2.68,-3.4,10.09,ns
MU,5,-0.32,-1.25,0.66,ns
MU,10,0.47,-1.76,3.38,ns
MU,21,-0.3,-3.83,3.59,ns
MU,63,-0.24,-11.24,13.91,ns
WDC,5,-0.4,-2.03,1.19,ns
WDC,10,0.61,-1.78,3.18,ns
WDC,21,1.31,-2.64,5.45,ns
WDC,63,4.54,-7.37,19.05,ns
STX,5,0.34,-0.89,1.76,ns
STX,10,1.03,-1.03,3.51,ns
STX,21,1.32,-3.14,6.55,ns
STX,63,5.56,-6.6,20.64,ns
SMH,5,0.14,-0.51,0.87,ns
SMH,10,0.62,-0.52,1.81,ns
SMH,21,0.48,-1.82,2.84,ns
SMH,63,1.46,-4.66,7.63,ns
SOXX,5,0.16,-0.62,1.03,ns
SOXX,10,0.51,-0.86,2.02,ns
SOXX,21,0.34,-1.87,2.71,ns
SOXX,63,1.21,-5.36,7.85,ns
XSD,5,0.33,-0.62,1.35,ns
XSD,10,0.84,-0.7,2.62,ns
XSD,21,1.46,-1.08,4.34,ns
XSD,63,3.53,-2.44,9.59,ns
