ticker,horizon,n_shock,shock_mean,base_mean,spread,shock_win,base_win,shock_mdd,base_mdd
EWY,5d,253,0.97,0.36,0.61,58.5,54.9,-3.13,-2.5
EWY,10d,252,1.72,0.69,1.04,61.1,54.4,-4.81,-4.03
EWY,21d,249,2.54,1.41,1.14,63.1,55.3,-7.14,-6.37
EWY,63d,238,6.34,3.66,2.68,57.1,56.0,-12.03,-11.61
MU,5d,253,0.83,1.15,-0.32,54.2,54.9,-5.8,-4.4
MU,10d,253,2.69,2.22,0.47,60.1,57.5,-8.7,-7.18
MU,21d,249,4.28,4.59,-0.3,57.0,59.6,-12.76,-11.15
MU,63d,241,12.7,12.94,-0.24,61.4,65.9,-20.1,-18.9
WDC,5d,253,0.38,0.77,-0.4,51.4,54.8,-5.79,-4.35
WDC,10d,253,2.11,1.5,0.61,61.7,56.6,-8.58,-7.17
WDC,21d,250,4.46,3.15,1.31,58.8,57.8,-12.87,-11.39
WDC,63d,246,13.9,9.37,4.54,63.4,57.4,-20.96,-20.48
STX,5d,253,1.27,0.93,0.34,55.7,58.1,-4.2,-3.57
STX,10d,253,2.86,1.83,1.03,62.8,57.6,-6.37,-5.89
STX,21d,251,5.18,3.87,1.32,61.8,58.7,-10.1,-9.36
STX,63d,243,16.47,10.92,5.56,63.0,62.0,-16.88,-16.53
SMH,5d,253,0.85,0.71,0.14,58.5,59.3,-3.96,-2.85
SMH,10d,253,2.01,1.39,0.62,61.7,62.8,-6.05,-4.61
SMH,21d,251,3.38,2.91,0.48,64.9,66.9,-8.87,-7.14
SMH,63d,245,9.67,8.21,1.46,69.0,74.6,-14.12,-12.44
SOXX,5d,253,0.84,0.68,0.16,58.1,58.8,-4.03,-2.93
SOXX,10d,253,1.84,1.33,0.51,61.3,62.3,-6.31,-4.76
SOXX,21d,249,3.1,2.77,0.34,63.5,64.6,-9.07,-7.39
SOXX,63d,244,8.86,7.65,1.21,66.8,72.7,-14.6,-12.86
XSD,5d,252,0.97,0.64,0.33,56.0,58.2,-4.19,-3.16
XSD,10d,252,2.09,1.25,0.84,62.3,59.9,-6.55,-5.11
XSD,21d,249,4.06,2.61,1.46,64.7,62.0,-9.47,-7.89
XSD,63d,241,10.41,6.88,3.53,74.3,71.8,-14.89,-13.95
