date,EWY,MU,WDC,STX,SMH,SOXX,XSD
2016-05-18,48.8400,10.0500,38.4600,20.2400,26.4350,29.3300,42.1900
2016-05-19,48.8600,10.0700,38.3700,20.5200,26.2050,29.1667,41.6300
2016-05-20,49.0700,10.8000,39.5600,20.4100,27.0750,30.0500,42.7500
2016-05-23,49.2500,11.1400,40.4600,20.8000,27.2500,30.2600,43.2000
2016-05-24,49.0500,11.4900,42.2800,20.8800,27.9100,30.9900,44.3300
2016-05-25,49.9100,11.6000,44.1500,21.4800,28.0650,31.1733,44.4000
2016-05-26,49.9400,11.9500,44.3800,21.5500,28.1600,31.2767,44.7000
2016-05-27,49.7900,12.3100,44.9900,21.6600,28.3450,31.4733,45.0700
2016-05-31,49.7600,12.7200,46.5400,22.5600,28.4500,31.6567,45.4300
2016-06-01,49.9400,13.0900,47.6300,23.0100,28.5650,31.8233,45.7200
2016-06-02,50.5000,13.1100,48.3800,23.7500,28.5600,31.8300,45.6500
2016-06-03,51.4600,12.8600,47.7700,23.6400,28.6150,31.9233,45.4400
2016-06-06,52.0600,12.7700,48.0200,23.8900,28.5450,31.8500,45.7000
2016-06-07,52.6500,13.0000,49.7400,24.6500,28.8450,32.1533,46.1300
2016-06-08,53.0700,12.5800,49.2600,24.2500,28.8500,32.1400,46.0800
2016-06-09,52.6600,12.5100,48.1700,24.1400,28.8500,32.1767,46.1300
2016-06-10,51.7500,12.1400,46.8500,23.1400,28.3500,31.6500,45.1400
2016-06-13,50.7200,12.0500,46.2800,22.6800,28.2300,31.4867,44.9700
2016-06-14,50.3100,11.9200,46.4000,22.7600,28.1950,31.4767,45.1800
2016-06-15,50.8600,12.0200,46.2600,22.7150,28.1650,31.4733,45.1300
2016-06-16,50.6100,11.9500,46.4200,22.6900,28.1800,31.4700,45.1000
2016-06-17,50.5600,12.2000,46.5900,23.2200,27.9900,31.2033,44.7600
2016-06-20,51.7800,12.3200,47.6100,23.4300,28.4600,31.5500,45.0900
2016-06-21,52.0800,12.7500,48.8700,23.8600,28.5950,31.5500,45.2500
2016-06-22,52.5100,12.7200,48.3500,23.8700,28.5600,31.5200,44.9000
2016-06-23,53.4100,14.0500,50.8100,24.4800,29.2750,32.3067,46.1300
2016-06-24,49.9800,13.2100,47.8400,23.1600,27.5650,30.5533,43.4600
2016-06-27,48.9500,12.2300,42.1800,20.8700,26.7150,29.3133,41.2599
2016-06-28,50.4900,12.9900,44.1100,22.5300,27.4450,30.0800,42.6700
2016-06-29,51.6700,13.1900,45.6000,23.9500,28.0050,30.6867,43.3900
2016-06-30,52.0700,13.7600,47.2600,24.3600,28.5050,31.2133,44.3800
2016-07-01,52.8300,12.5000,46.4700,24.0300,28.2950,30.9567,44.0100
2016-07-05,51.9900,11.9100,44.7200,23.1600,27.8450,30.3900,42.8700
2016-07-06,51.2800,11.7300,45.4600,23.5200,27.8850,30.4300,43.1300
2016-07-07,51.6800,12.2000,47.6600,23.7300,28.2000,30.8000,43.5300
2016-07-08,52.4600,12.6200,49.3500,24.0100,28.9700,31.6567,44.9000
2016-07-11,52.6800,12.6400,49.4800,24.0900,29.3600,32.0133,45.3200
2016-07-12,53.4000,13.2300,51.8400,29.3500,29.6800,32.4300,45.9800
2016-07-13,53.4500,13.2900,52.0100,29.8300,29.6850,32.4700,45.8700
2016-07-14,54.4800,13.2900,51.7500,29.1900,29.9350,32.7067,46.5300
2016-07-15,54.3400,13.1300,51.6600,28.9000,29.8500,32.6967,46.5200
2016-07-18,54.5600,13.3400,52.1200,30.1500,30.7200,33.1767,47.0600
2016-07-19,53.9500,13.2200,51.2000,29.9900,30.6000,33.0633,46.9400
2016-07-20,53.9500,13.5900,51.8700,30.5000,31.0700,33.5867,47.7100
2016-07-21,53.8000,13.1800,51.6500,31.2200,30.8050,33.3500,47.2200
2016-07-22,54.3100,13.1300,52.4000,31.5800,30.9900,33.5167,47.5700
2016-07-25,53.7000,13.9200,52.0700,31.4400,31.1350,33.7100,48.2100
2016-07-26,54.2900,14.6700,53.7400,32.4500,32.0350,35.0167,49.8600
2016-07-27,54.5900,14.1900,53.4400,32.0500,31.9200,35.0133,49.9800
2016-07-28,54.7800,13.8100,53.7000,32.6000,31.8800,34.8200,50.1100
2016-07-29,55.6600,13.7400,47.5100,32.0300,31.7500,34.6667,49.9100
2016-08-01,56.0600,13.5600,46.0700,32.4300,31.8400,34.6933,50.0900
2016-08-02,55.2600,13.4000,45.0500,30.6500,31.4200,34.1600,48.7752
2016-08-03,54.8700,13.5100,44.7800,30.7300,31.5000,34.2033,48.8000
2016-08-04,55.1300,14.0300,44.3000,31.2600,31.7250,34.5233,48.9600
2016-08-05,55.9500,14.5200,45.4200,32.1300,32.0950,34.9633,49.7600
2016-08-08,56.3300,14.4200,45.3500,32.6100,32.0950,34.9233,49.7900
2016-08-09,57.0300,14.4800,45.2800,32.4900,32.3100,35.2067,50.0100
2016-08-10,57.2700,14.2000,43.1700,31.3800,32.0950,34.9667,49.1400
2016-08-11,57.7392,14.4300,43.8900,31.7500,32.2250,35.1000,49.3900
2016-08-12,57.2100,14.9300,44.3100,31.5500,32.3600,35.2633,49.7600
2016-08-15,57.8400,15.5300,45.8400,32.0000,32.7250,35.7433,50.4100
2016-08-16,57.5900,15.4900,45.7800,32.4600,32.5350,35.4933,49.9400
2016-08-17,56.8300,15.5200,44.7300,31.7800,32.4650,35.4867,49.5700
