ticker,arm,ipo_date,r90,r180,r365,r730
SNAP,CapitalG,2017-03-02,-5.7,-33.4,-16.0,-55.7
DNLI,GV,2017-12-08,0.4,-8.5,1.8,-5.7
ZS,CapitalG,2018-03-16,26.0,29.5,125.0,72.6
DOCU,GV,2018-04-27,37.1,2.6,39.6,163.3
GH,GV,2018-10-04,21.0,122.2,91.4,240.9
ALEC,GV,2019-02-07,13.3,3.4,72.9,17.4
LYFT,CapitalG,2019-03-29,-13.8,-41.7,-67.9,-7.7
UBER,GV,2019-05-10,-11.7,-34.3,-20.6,14.8
CRWD,CapitalG,2019-06-12,-7.4,-29.4,44.3,234.5
NET,CapitalG,2019-09-13,-10.1,-18.7,84.3,570.8
BEAM,GV,2020-02-06,-14.1,-2.6,350.5,168.0
BSY,GV,2020-09-23,19.8,38.6,90.0,-1.5
ABNB,CapitalG,2020-12-10,68.3,18.9,34.7,-27.4
HIMS,GV,2021-01-21,-18.5,-41.4,-69.5,-48.3
SANA,GV,2021-02-04,-53.2,-51.6,-80.4,-89.2
OSCR,CapitalG,2021-03-03,-19.4,-42.9,-75.0,-85.1
RXRX,GV,2021-04-16,7.3,-40.7,-81.1,-82.4
PATH,CapitalG,2021-04-21,-21.2,-37.1,-77.5,-82.5
FLYW,GV,2021-05-26,30.0,22.8,-42.5,-9.4
DUOL,CapitalG,2021-07-28,20.8,-36.1,-31.0,0.2
HOOD,CapitalG,2021-07-29,-25.5,-72.8,-78.0,-75.3
GTLB,GV,2021-10-14,-40.5,-53.2,-57.8,-56.6
