ticker,ipo_date
CNDT,2017-01-03
LCII,2017-01-03
PK,2017-01-04
HGV,2017-01-04
AQB,2017-01-19
FWONK,2017-01-25
MRDN,2017-01-25
FWONA,2017-01-25
ANAB,2017-01-26
JELD,2017-01-27
VREX,2017-01-30
LAUR,2017-02-01
INVH,2017-02-01
KRP,2017-02-03
METC,2017-02-03
CLPR,2017-02-10
SACH,2017-02-10
XPER,2017-02-23
UNIT,2017-02-27
HLNE,2017-03-01
MTNB,2017-03-02
BYSI,2017-03-09
JILL,2017-03-09
AKTS,2017-03-13
NODK,2017-03-16
PUMP,2017-03-17
PPIH,2017-03-21
NTRP,2017-03-29
DXC,2017-04-03
BTU,2017-04-04
HESM,2017-04-05
SNDR,2017-04-06
OKTA,2017-04-07
HCC,2017-04-13
YEXT,2017-04-13
WTTR,2017-04-21
FND,2017-04-27
ZYME,2017-04-28
SVRA,2017-04-28
NCSM,2017-04-28
EEX,2017-04-28
CVNA,2017-04-28
BHVN,2017-05-04
URGN,2017-05-04
ALT,2017-05-05
OVID,2017-05-05
KREF,2017-05-05
UONEK,2017-05-08
FPH,2017-05-10
UONE,2017-05-10
VST,2017-05-10
FMAO,2017-05-10
SLNO,2017-05-12
VERI,2017-05-12
CELH,2017-05-24
APPN,2017-05-25
JHG,2017-05-30
AMLX,2017-06-01
CARS,2017-06-01
RILYZ,2017-06-01
SMHI,2017-06-02
NESR,2017-06-05
SSTI,2017-06-07
FTFT,2017-06-12
MYO,2017-06-12
CGBD,2017-06-14
SAFE,2017-06-22
GPMT,2017-06-23
USAU,2017-06-26
ESQ,2017-06-27
IOVA,2017-06-28
NDRA,2017-06-30
BY,2017-06-30
PRPO,2017-06-30
IOR,2017-07-03
SMPL,2017-07-10
CODX,2017-07-12
CULP,2017-07-13
JBGS,2017-07-18
CODA,2017-07-19
KALA,2017-07-20
DARE,2017-07-20
TRTX,2017-07-20
NEXT,2017-07-25
RBB,2017-07-26
BPRN,2017-08-01
ACHV,2017-08-03
SSRM,2017-08-03
CTXR,2017-08-03
VERU,2017-08-07
BHF,2017-08-07
RNGR,2017-08-11
CLAR,2017-08-14
WWR,2017-08-21
MBIO,2017-08-22
COHN,2017-09-05
FENC,2017-09-13
KRYS,2017-09-20
CELC,2017-09-20
ROKU,2017-09-28
PDLB,2017-10-02
HBB,2017-10-02
RYTM,2017-10-05
FDBC,2017-10-06
RMNI,2017-10-11
KIDS,2017-10-12
CARG,2017-10-12
BB,2017-10-16
IBO,2017-10-17
OCSL,2017-10-18
RIOT,2017-10-19
MDB,2017-10-19
AYTU,2017-10-20
EYE,2017-10-26
MBIN,2017-10-27
TPR,2017-10-31
SNBR,2017-11-01
SPRO,2017-11-02
FNKO,2017-11-02
ACMR,2017-11-03
MRBK,2017-11-07
MCB,2017-11-08
BAND,2017-11-10
IQV,2017-11-15
ARCT,2017-11-16
SFIX,2017-11-17
SAIL,2017-11-17
LOOP,2017-11-20
CNNE,2017-11-20
RBBN,2017-11-29
WSC,2017-11-30
BOXL,2017-11-30
FG,2017-12-01
SES,2017-12-04
APTV,2017-12-05
QTRX,2017-12-07
MVBF,2017-12-07
ACT,2017-12-13
RILYG,2017-12-14
NMRK,2017-12-15
DLPN,2017-12-21
