event,leader,peer,W1_alloc_-30_-1,W2_listing_0_+5,W3_digest_+6_+60,W4_lockup_+121_+190
Facebook,FB,GOOG,4.82,-6.05,6.51,12.19
Facebook,FB,GRPN,-7.92,-3.89,-60.81,98.83
Facebook,FB,YELP,-11.97,-15.47,16.01,16.75
Alibaba,BABA,AMZN,-1.21,0.87,-5.64,16.9
Alibaba,BABA,EBAY,-6.17,1.85,4.4,1.39
Alibaba,BABA,JD,2.67,-7.45,-13.97,19.74
Uber,UBER,LYFT,-25.69,-2.13,8.35,12.08
Snowflake,SNOW,DDOG,-10.69,7.72,-1.87,21.09
Snowflake,SNOW,MDB,-5.98,7.36,32.36,23.55
Snowflake,SNOW,NET,-18.15,15.36,96.91,37.38
Snowflake,SNOW,WDAY,11.1,4.71,-8.06,-9.43
DoorDash,DASH,UBER,40.51,-4.72,4.72,-24.3
DoorDash,DASH,LYFT,78.42,7.32,20.2,-14.53
Airbnb,ABNB,BKNG,15.79,-1.05,7.37,-4.48
Airbnb,ABNB,EXPE,27.2,-4.74,29.89,-17.19
Airbnb,ABNB,MAR,31.28,-1.49,8.2,-4.84
Coinbase,COIN,MSTR,2.3,-24.11,-8.05,-25.15
Coinbase,COIN,MARA,26.32,-32.28,-25.43,-19.63
Coinbase,COIN,RIOT,4.41,-31.06,-25.23,-26.22
Rivian,RIVN,TSLA,23.99,6.33,-12.31,-2.52
Rivian,RIVN,LCID,74.84,17.28,-44.31,-7.33
Rivian,RIVN,F,32.96,-0.87,-5.09,10.1
Rivian,RIVN,GM,3.28,10.15,-17.15,-4.23
Rivian,RIVN,NIO,8.31,-2.46,-35.16,17.56
Rivian,RIVN,XPEV,20.13,8.96,-19.32,-11.98
ARM,ARM,NVDA,0.2,-6.75,9.49,35.23
ARM,ARM,AMD,-6.02,-7.69,27.8,-31.19
ARM,ARM,INTC,10.91,-7.41,17.3,-38.72
ARM,ARM,QCOM,-11.73,-1.08,17.61,20.86
ARM,ARM,AVGO,-4.9,-1.63,10.48,24.41
ARM,ARM,TXN,-5.47,0.67,-7.54,5.88
SpaceX,SPCX,RKLB,31.87,,,
SpaceX,SPCX,ASTS,37.88,,,
SpaceX,SPCX,IRDM,35.36,,,
SpaceX,SPCX,LUNR,21.8,,,
SpaceX,SPCX,RDW,96.93,,,
SpaceX,SPCX,PL,-1.53,,,
SpaceX,SPCX,SPCE,96.1,,,
SpaceX,SPCX,TSLA,-0.31,,,
