date,open,high,low,close,volume,quote_volume,trades
2024-10-01,0.00002382,0.00002621,0.00002166,0.00002387,7296233728328.00,177815402.32586349,9861652
2024-10-02,0.00002386,0.00002570,0.00002052,0.00002200,5833225086560.00,135457467.50286220,9919523
2024-10-03,0.00002201,0.00002325,0.00001933,0.00001984,4808072782726.00,101202717.27342877,7995822
2024-10-04,0.00001983,0.00002222,0.00001966,0.00002150,3983499612119.00,84251792.12657576,5815730
2024-10-05,0.00002151,0.00002184,0.00002026,0.00002059,1796258133531.00,37893382.96409285,2483018
2024-10-06,0.00002060,0.00002213,0.00002034,0.00002192,1960117575543.00,41722890.18969250,2708732
2024-10-07,0.00002191,0.00002344,0.00002111,0.00002116,3193969199253.00,72028860.08122791,5161945
2024-10-08,0.00002117,0.00002158,0.00002053,0.00002096,1911412998020.00,40278773.17922249,3650535
2024-10-09,0.00002096,0.00002137,0.00001963,0.00001987,1591073323232.00,32761286.38833170,3148708
2024-10-10,0.00001987,0.00002031,0.00001920,0.00002029,1416774718393.00,28086589.29586450,2854794
2024-10-11,0.00002029,0.00002180,0.00002012,0.00002157,1595663071816.00,33663858.53698150,2508075
2024-10-12,0.00002157,0.00002238,0.00002134,0.00002173,1127229276327.00,24699268.87885212,1777843
2024-10-13,0.00002173,0.00002188,0.00002064,0.00002107,1220929150832.00,25958553.73821033,1838765
2024-10-14,0.00002107,0.00002349,0.00002069,0.00002323,2776816383283.00,62363937.02387072,3649153
2024-10-15,0.00002323,0.00002390,0.00002181,0.00002249,2873022444139.00,65359045.82004624,5194231
2024-10-16,0.00002249,0.00002524,0.00002177,0.00002441,4054805522484.00,95640864.23156217,5823485
2024-10-17,0.00002441,0.00002486,0.00002218,0.00002240,2651100946352.00,62087205.19829226,4123767
2024-10-18,0.00002240,0.00002407,0.00002238,0.00002360,1871729351444.00,43960702.72101905,3457151
2024-10-19,0.00002360,0.00002471,0.00002302,0.00002352,1260087532108.00,29962672.39059480,1929325
2024-10-20,0.00002352,0.00002435,0.00002275,0.00002421,1138310781667.00,26663385.76502085,2016828
2024-10-21,0.00002422,0.00002510,0.00002300,0.00002339,2238927432881.00,53884380.62901400,3547240
2024-10-22,0.00002339,0.00002497,0.00002252,0.00002275,2541661899852.00,60161417.28717044,3422607
2024-10-23,0.00002275,0.00002287,0.00002111,0.00002186,1466093295878.00,32310211.58863281,2459871
2024-10-24,0.00002185,0.00002313,0.00002178,0.00002293,1269326097294.00,28647279.67388283,2236079
2024-10-25,0.00002294,0.00002320,0.00001962,0.00002051,1919750545236.00,41527623.00706366,2789393
2024-10-26,0.00002052,0.00002147,0.00001998,0.00002110,1013569451244.00,21082507.33869974,1937891
2024-10-27,0.00002110,0.00002165,0.00002076,0.00002135,757945532917.00,16093460.92683848,1213690
2024-10-28,0.00002135,0.00002187,0.00001998,0.00002123,1713127086156.00,35745912.06282028,2461217
2024-10-29,0.00002123,0.00002268,0.00002115,0.00002194,1677497342130.00,36803495.84061695,2342128
2024-10-30,0.00002195,0.00002259,0.00002103,0.00002110,1648686050188.00,35793205.66675039,2046859
2024-10-31,0.00002110,0.00002123,0.00001998,0.00002019,977812187872.00,20211915.31378814,1620309
2024-11-01,0.00002019,0.00002047,0.00001888,0.00001921,1266832314099.00,25018485.11285294,1918085
2024-11-02,0.00001921,0.00001956,0.00001865,0.00001901,554051599541.00,10561463.16234926,908604
2024-11-03,0.00001900,0.00001907,0.00001710,0.00001800,1345350859597.00,24000844.83597251,1808887
2024-11-04,0.00001800,0.00001839,0.00001717,0.00001782,868786722513.00,15558033.62462016,1733027
2024-11-05,0.00001782,0.00001987,0.00001780,0.00001919,1854528674153.00,35212085.39743591,2475647
2024-11-06,0.00001920,0.00002317,0.00001920,0.00002260,4017280796710.00,87388563.64788484,5714182
2024-11-07,0.00002261,0.00002340,0.00002158,0.00002266,1920085989492.00,43058889.14200919,3586638
2024-11-08,0.00002267,0.00002319,0.00002132,0.00002190,1680806972071.00,37375834.71584621,3587109
2024-11-09,0.00002190,0.00002263,0.00002136,0.00002242,1621146981181.00,35768316.89211183,2330852
2024-11-10,0.00002242,0.00002786,0.00002211,0.00002542,6358331052224.00,158745343.53680607,8256883
2024-11-11,0.00002543,0.00002754,0.00002462,0.00002670,5217023199684.00,137079521.53443298,10686588
2024-11-12,0.00002670,0.00004000,0.00002512,0.00003723,14069904599405.00,445357022.18614664,16086464
2024-11-13,0.00003723,0.00004247,0.00003101,0.00003749,14990288127592.00,547757814.93249945,18145501
2024-11-14,0.00003749,0.00004421,0.00003466,0.00003557,10255154744375.00,400075924.92779114,20184184
2024-11-15,0.00003558,0.00004899,0.00003304,0.00004524,8265533476212.00,329842167.25569273,16764993
2024-11-16,0.00004523,0.00004870,0.00003851,0.00004739,7430599030172.00,320343408.34751657,16757617
2024-11-17,0.00004739,0.00005666,0.00004412,0.00005125,10440275373534.00,534951391.04417221,23283060
2024-11-18,0.00005124,0.00005405,0.00004530,0.00004819,6231891311010.00,312579807.80286812,19678520
2024-11-19,0.00004819,0.00005769,0.00004777,0.00005219,7606198945552.00,401972475.28475059,20872361
2024-11-20,0.00005219,0.00006230,0.00004795,0.00004945,10160957390548.00,551809048.32769108,22523818
2024-11-21,0.00004945,0.00005444,0.00004655,0.00005368,6315349785562.00,322871232.55450066,20371054
2024-11-22,0.00005368,0.00005384,0.00004790,0.00004953,3592084091745.00,181680511.32091105,14236422
2024-11-23,0.00004954,0.00005300,0.00004648,0.00004764,4680471011692.00,232165662.38245657,14544057
2024-11-24,0.00004765,0.00004947,0.00004258,0.00004778,4584957882679.00,211398583.63492858,15109478
2024-11-25,0.00004779,0.00004900,0.00004205,0.00004336,4415966984755.00,202213749.01084240,15299371
2024-11-26,0.00004336,0.00004466,0.00003980,0.00004250,3107693408444.00,131098870.48241311,12381373
2024-11-27,0.00004250,0.00004490,0.00004100,0.00004381,2205114006696.00,94946224.62051380,9408357
