date,open,high,low,close,volume,quote_volume,trades
2024-10-01,0.11421000,0.11935000,0.10260000,0.10685000,1779737388.00000000,196843323.55122000,801553
2024-10-02,0.10686000,0.10951000,0.10223000,0.10462000,1041484705.00000000,110503318.66610000,406965
2024-10-03,0.10462000,0.10680000,0.10108000,0.10507000,990157071.00000000,102861284.10270000,377607
2024-10-04,0.10506000,0.11059000,0.10475000,0.10924000,814968617.00000000,88200223.83915000,269050
2024-10-05,0.10924000,0.11025000,0.10747000,0.10940000,398463760.00000000,43444855.41382000,156882
2024-10-06,0.10941000,0.11291000,0.10839000,0.11159000,470748830.00000000,52075342.22264000,211012
2024-10-07,0.11159000,0.11547000,0.10823000,0.10841000,1181346500.00000000,132719098.40515000,475322
2024-10-08,0.10841000,0.10986000,0.10523000,0.10709000,680791688.00000000,73260279.94915000,305731
2024-10-09,0.10709000,0.11153000,0.10608000,0.10794000,791794301.00000000,86440098.29864000,321227
2024-10-10,0.10795000,0.10865000,0.10311000,0.10603000,713401352.00000000,75480373.87441000,308053
2024-10-11,0.10603000,0.11144000,0.10566000,0.11077000,595969049.00000000,65149605.37940000,235788
2024-10-12,0.11077000,0.11219000,0.10933000,0.11138000,415506248.00000000,46198872.11619000,190256
2024-10-13,0.11138000,0.11211000,0.10864000,0.11140000,478777808.00000000,53079710.16742000,226723
2024-10-14,0.11140000,0.11771000,0.10931000,0.11669000,1252447368.00000000,142573579.35614000,413972
2024-10-15,0.11669000,0.11932000,0.11016000,0.11748000,1635590225.00000000,188363244.84756000,643091
2024-10-16,0.11748000,0.12999000,0.11580000,0.12573000,3073408118.00000000,382348743.03303000,865497
2024-10-17,0.12574000,0.13100000,0.12048000,0.12967000,1921830268.00000000,239921133.28091000,571717
2024-10-18,0.12967000,0.14083000,0.12952000,0.13716000,2574606384.00000000,349018617.59602000,848719
2024-10-19,0.13718000,0.14700000,0.13702000,0.14407000,2065754362.00000000,296534963.34745000,831963
2024-10-20,0.14408000,0.14573000,0.13721000,0.14214000,1498968992.00000000,211362523.71777000,610104
2024-10-21,0.14214000,0.14975000,0.13816000,0.14367000,2235756592.00000000,322665885.51296000,851332
2024-10-22,0.14364000,0.14849000,0.13650000,0.13970000,1689968224.00000000,239902168.82068000,662113
2024-10-23,0.13970000,0.14101000,0.13312000,0.13997000,1447606402.00000000,199800409.13528000,608693
2024-10-24,0.13998000,0.14384000,0.13630000,0.14188000,1212204102.00000000,170359693.92653000,593185
2024-10-25,0.14189000,0.14277000,0.12779000,0.13161000,1516604558.00000000,206543501.50519000,640628
2024-10-26,0.13161000,0.13822000,0.13071000,0.13747000,766435162.00000000,102990800.16027000,293589
2024-10-27,0.13747000,0.14631000,0.13607000,0.14426000,1098602934.00000000,155134439.17154000,421268
2024-10-28,0.14427000,0.16261000,0.14115000,0.16146000,3223861267.00000000,487125057.18603000,1296722
2024-10-29,0.16145000,0.17980000,0.16054000,0.17586000,3867989341.00000000,657231936.56628000,1550603
2024-10-30,0.17586000,0.17789000,0.16447000,0.16828000,2167415553.00000000,371056091.93016000,937927
2024-10-31,0.16828000,0.17364000,0.15646000,0.16164000,2005209273.00000000,334554241.94658000,900997
2024-11-01,0.16164000,0.16900000,0.15415000,0.15916000,2339768574.00000000,376768880.38946000,1062629
2024-11-02,0.15917000,0.16372000,0.15546000,0.15955000,1264695204.00000000,201789654.01145000,486760
2024-11-03,0.15955000,0.15993000,0.14219000,0.15139000,2202139186.00000000,328826221.34581000,828078
