date,open,high,low,close,volume
2011-06-13,4.4404,4.4606,4.3798,4.4185,1.352
2011-06-14,4.4522,4.4639,4.3714,4.4488,2.044
2011-06-15,4.4102,4.4489,4.3698,4.3967,2.229
2011-06-16,4.4034,4.437,4.3764,4.4101,2.232
2011-06-17,4.4337,4.4724,4.4202,4.4505,2.033
2011-06-20,4.4337,4.5111,4.4168,4.5111,1.423
2011-06-21,4.5414,4.6356,4.5161,4.6306,1.318
2011-06-22,4.5986,4.6087,4.4606,4.4673,2.529
2011-06-23,4.4286,4.4623,4.3579,4.4202,2.514
2011-06-24,4.4304,4.4371,4.358,4.3967,2.147
2011-06-27,4.3865,4.4101,4.326,4.3411,2.617
2011-06-28,4.3714,4.4489,4.3411,4.4354,1.834
2011-06-29,4.4606,4.5078,4.3714,4.3748,2.330
2011-06-30,4.3949,4.4942,4.3747,4.4892,2.100
2011-07-01,4.496,4.5481,4.4623,4.533,2.048
2011-07-05,4.6003,4.6205,4.5397,4.6121,2.735
2011-07-06,4.5936,4.6206,4.5566,4.597,1.301
2011-07-07,4.6205,4.6794,4.5818,4.5818,2.738
2011-07-08,4.5346,4.5532,4.4757,4.5195,1.467
2011-07-11,4.4707,4.5027,4.3478,4.368,2.418
2011-07-12,4.2737,4.2788,4.1559,4.1761,5.507
2011-07-13,4.1795,4.2064,4.0718,4.0785,4.813
2011-07-14,4.1004,4.1105,4.0011,4.0112,4.655
2011-07-15,4.0146,4.0364,3.9388,3.9708,2.807
2011-07-18,3.9809,3.991,3.9018,3.9422,3.867
2011-07-19,3.9708,4.0348,3.9523,3.991,2.205
2011-07-20,4.0381,4.0499,3.9102,3.9186,2.399
2011-07-21,3.9354,3.9556,3.9068,3.9253,2.877
2011-07-22,3.9203,3.9809,3.8732,3.9506,1.955
2011-07-25,3.9051,4.0078,3.9034,3.9775,2.226
2011-07-26,3.9809,4.0331,3.9523,3.9994,1.629
2011-07-27,3.9674,3.9994,3.9236,3.9556,2.704
2011-07-28,3.9388,4.0263,3.9236,3.9657,2.725
2011-07-29,3.9253,3.991,3.8883,3.9691,2.319
2011-08-01,4.0078,4.0095,3.8648,3.89,2.274
2011-08-02,3.863,3.932,3.8563,3.8563,3.177
2011-08-03,3.8496,3.8916,3.7822,3.8462,3.329
2011-08-04,3.8008,3.8193,3.683,3.683,3.970
2011-08-05,3.7166,3.7772,3.619,3.725,5.006
2011-08-08,3.6426,3.6662,3.4255,3.4608,3.884
2011-08-09,3.4826,3.6004,3.4035,3.5954,3.299
2011-08-10,3.5163,3.5668,3.4406,3.4574,2.553
2011-08-11,3.4742,3.6594,3.4456,3.6089,1.962
2011-08-12,3.6156,3.6156,3.4456,3.4877,2.863
2011-08-15,3.4978,3.5399,3.4591,3.5264,2.522
2011-08-16,3.4961,3.6173,3.4743,3.6005,2.420
2011-08-17,3.6055,3.6223,3.39,3.4439,3.576
2011-08-18,3.1494,3.6072,3.0871,3.6072,9.465
2011-08-19,3.5466,3.8597,3.5349,3.6308,5.427
2011-08-22,3.6981,3.6981,3.5382,3.6375,3.745
2011-08-23,3.6645,3.8008,3.6055,3.8008,3.472
2011-08-24,3.789,3.9472,3.789,3.9304,3.447
2011-08-25,3.9455,3.9758,3.7823,3.7873,2.386
2011-08-26,3.7688,3.8731,3.7132,3.8344,2.170
2011-08-29,3.8614,3.8883,3.8109,3.8883,2.544
2011-08-30,3.885,4.0348,3.8715,3.9321,2.472
2011-08-31,3.9556,4.0482,3.9337,4.028,2.985
2011-09-01,4.0129,4.0331,3.8782,3.8782,1.851
2011-09-02,3.821,3.8462,3.7217,3.7284,1.697
2011-09-06,3.6308,3.8614,3.6308,3.8395,2.712
2011-09-07,3.8833,3.927,3.8429,3.9085,2.182
2011-09-08,3.8916,3.9405,3.8563,3.8563,1.584
2011-09-09,3.8311,3.9422,3.8311,3.8934,2.656
2011-09-12,3.853,3.9186,3.789,3.9085,2.809
2011-09-13,3.9068,3.9422,3.8361,3.9001,1.861
2011-09-14,3.9338,4.06,3.9119,4.0247,2.510
2011-09-15,4.0532,4.1475,4.033,4.1475,3.040
2011-09-16,4.1795,4.2216,4.1408,4.1896,2.308
2011-09-19,4.1037,4.1172,4.0061,4.0785,2.094
2011-09-20,4.0785,4.1239,4.0314,4.0364,1.782
2011-09-21,4.0196,4.0852,3.9421,3.9455,2.168
2011-09-22,3.8395,3.9085,3.7536,3.8058,2.645
2011-09-23,3.7856,3.8597,3.7688,3.789,1.689
2011-09-26,3.8227,3.9776,3.8109,3.9742,1.401
2011-09-27,4.0364,4.1273,3.9826,4.0196,1.728
2011-09-28,4.0448,4.1004,3.9506,3.959,1.581
2011-09-29,4.0213,4.0819,3.9337,4.0381,2.055
2011-09-30,3.9826,4.0162,3.8866,3.8883,1.814
2011-10-03,3.8714,3.9102,3.7923,3.8664,3.237
2011-10-04,3.8042,4.0045,3.7301,4.0045,2.559
2011-10-05,4.0145,4.0364,3.9119,4.0179,2.027
2011-10-06,3.9994,4.0718,3.9944,4.0499,2.677
2011-10-07,4.0953,4.1475,4.0549,4.0953,2.704
2011-10-10,4.1525,4.2115,4.0886,4.1374,2.234
2011-10-11,4.1291,4.2014,4.087,4.1947,1.861
2011-10-12,4.2081,4.3882,4.1929,4.3175,4.043
2011-10-13,4.2772,4.3176,4.2233,4.2452,1.777
2011-10-14,4.2772,4.289,4.1964,4.2351,1.992
2011-10-17,4.2317,4.2367,4.0112,4.0802,4.030
2011-10-18,4.0769,4.2385,4.0668,4.2048,2.436
2011-10-19,4.1879,4.2098,4.1475,4.1862,1.912
2011-10-20,4.1862,4.2283,4.1542,4.2182,1.345
2011-10-21,4.2738,4.3597,4.2149,4.2149,3.087
2011-10-24,4.2301,4.3058,4.1846,4.3058,3.075
2011-10-25,4.2754,4.3832,4.2468,4.3091,2.428
2011-10-26,4.3243,4.3411,4.1998,4.2149,2.968
2011-10-27,4.3377,4.3849,4.2519,4.3613,1.839
2011-10-28,4.3579,4.4875,4.3495,4.4101,2.147
2011-10-31,4.3798,4.4,4.3007,4.3041,2.661
2011-11-01,4.1913,4.2587,4.1274,4.2149,2.549
2011-11-02,4.2502,4.2738,4.2099,4.225,2.305
2011-11-03,4.2552,4.3528,4.1896,4.3478,1.745
2011-11-04,4.3293,4.358,4.289,4.3243,1.834
2011-11-07,4.3277,4.3394,4.2603,4.2839,1.303
2011-11-08,4.294,4.3277,4.2284,4.3159,1.325
2011-11-09,4.225,4.2923,4.1863,4.1947,1.244
2011-11-10,4.2401,4.2401,4.1105,4.1408,2.272
2011-11-11,4.1845,4.2838,4.161,4.2367,1.649
2011-11-14,4.1812,4.1812,4.0431,4.1475,2.169
2011-11-15,4.1239,4.1256,3.959,3.9657,4.772
2011-11-16,3.9068,3.9153,3.7436,3.7907,7.744
2011-11-17,3.7368,3.8446,3.6611,3.6914,4.751
2011-11-18,3.7049,3.8378,3.6914,3.7806,4.101
2011-11-21,3.7149,3.8613,3.6846,3.8243,3.705
2011-11-22,3.8075,3.8277,3.7688,3.7755,2.644
2011-11-23,3.752,3.7638,3.6796,3.7217,2.550
2011-11-25,3.6931,3.7082,3.6123,3.6207,1.183
2011-11-28,3.7098,3.7856,3.7098,3.7637,2.315
2011-11-29,3.7924,3.9119,3.7873,3.8294,3.229
2011-11-30,3.9169,3.9422,3.821,3.8917,2.240
