date,open,high,low,close,volume,quote_volume,trades
2024-10-01,0.00001047,0.00001145,0.00000929,0.00000970,58227152177573.00,610167567.96283729,2071901
2024-10-02,0.00000970,0.00001032,0.00000892,0.00000924,43462733277731.00,420050742.05042917,1681811
2024-10-03,0.00000924,0.00000953,0.00000833,0.00000864,34377251880805.00,304597640.30953914,1411662
2024-10-04,0.00000864,0.00000960,0.00000848,0.00000939,34691476414717.00,316634383.91158924,1063776
2024-10-05,0.00000940,0.00000961,0.00000915,0.00000935,21837595780367.00,204946491.50576778,537781
2024-10-06,0.00000936,0.00001033,0.00000925,0.00001023,29884884704265.00,294825458.59644674,760208
2024-10-07,0.00001023,0.00001082,0.00000977,0.00000980,43987938222565.00,458061482.25756666,1429437
2024-10-08,0.00000979,0.00001007,0.00000931,0.00000951,28331793957112.00,273174361.36765779,1014647
2024-10-09,0.00000951,0.00000987,0.00000898,0.00000912,25503133262571.00,240378715.10023543,974066
2024-10-10,0.00000911,0.00000946,0.00000880,0.00000930,20977289858987.00,192554715.33970718,820963
2024-10-11,0.00000930,0.00000997,0.00000920,0.00000974,23913837083229.00,230463805.37975889,716858
2024-10-12,0.00000974,0.00001024,0.00000968,0.00000989,21117445713540.00,210304951.68419868,649250
2024-10-13,0.00000990,0.00000999,0.00000937,0.00000970,19072871121618.00,184302128.30271192,621320
2024-10-14,0.00000970,0.00001108,0.00000954,0.00001090,42374721167931.00,441052624.25074175,1227031
2024-10-15,0.00001090,0.00001117,0.00001002,0.00001038,46904224213435.00,491590362.38169596,1698033
2024-10-16,0.00001039,0.00001067,0.00001011,0.00001044,27037152697875.00,282214087.85137298,1275627
2024-10-17,0.00001044,0.00001056,0.00000963,0.00000988,24029009701626.00,242102206.22502762,1021339
2024-10-18,0.00000988,0.00001073,0.00000983,0.00001050,26626102973441.00,277359704.34316666,1049759
2024-10-19,0.00001051,0.00001094,0.00001030,0.00001049,15458732248851.00,163580322.24050059,683471
2024-10-20,0.00001049,0.00001079,0.00001010,0.00001068,16873419331430.00,176018191.96441724,692375
2024-10-21,0.00001069,0.00001090,0.00001004,0.00001018,20240128293626.00,211085703.39933249,940675
2024-10-22,0.00001018,0.00001036,0.00000986,0.00001008,13204050218804.00,133540804.52272218,726242
2024-10-23,0.00001008,0.00001012,0.00000940,0.00000981,17576930524731.00,171780798.38266755,762979
2024-10-24,0.00000982,0.00001009,0.00000967,0.00001000,14662054823969.00,145319689.75737385,723635
2024-10-25,0.00001000,0.00001005,0.00000843,0.00000878,26681740527608.00,248598737.25833131,1016713
2024-10-26,0.00000879,0.00000912,0.00000863,0.00000908,16140291288574.00,144250679.74956635,569058
