date,close,volume
2023-09-14,63.59,130.535
2023-09-15,60.75,74.753
2023-09-18,58,34.572
2023-09-19,55.17,18.309
2023-09-20,52.91,16.370
2023-09-21,52.16,15.011
2023-09-22,51.32,8.430
2023-09-25,54.44,12.897
2023-09-26,53.52,6.284
2023-09-27,52.99,6.867
2023-09-28,55.49,8.766
2023-09-29,53.52,7.810
2023-10-02,52.26,8.857
2023-10-03,51.57,4.688
2023-10-04,53.46,6.207
2023-10-05,52.51,2.984
2023-10-06,54.08,4.009
2023-10-09,54.25,7.198
2023-10-10,55.71,5.138
2023-10-11,54.68,4.455
2023-10-12,51.85,7.323
2023-10-13,50.78,6.455
2023-10-16,52.09,3.317
2023-10-17,52.29,2.550
2023-10-18,51.9,2.269
2023-10-19,49.74,4.553
2023-10-20,47.87,8.089
2023-10-23,50.21,9.979
2023-10-24,52.37,7.212
2023-10-25,49.44,4.519
2023-10-26,50.17,3.555
2023-10-27,49.09,2.611
2023-10-30,47.9,3.678
2023-10-31,49.29,3.249
2023-11-01,50.52,3.066
2023-11-02,52.82,4.753
2023-11-03,53.49,2.545
2023-11-06,53.1,2.328
2023-11-07,55.27,4.534
2023-11-08,54.4,6.128
2023-11-09,51.58,15.355
2023-11-10,52.27,5.797
2023-11-13,51.69,4.525
2023-11-14,53.43,3.541
2023-11-15,55.43,5.822
2023-11-16,54.23,3.291
2023-11-17,54.99,3.442
2023-11-20,58.68,7.791
2023-11-21,58.66,5.615
2023-11-22,61.76,15.090
2023-11-24,63.88,6.005
2023-11-27,61,6.682
2023-11-28,61.92,4.107
2023-11-29,62.21,3.642
2023-11-30,61.5,4.833
2023-12-01,63.9,5.446
2023-12-04,61.93,5.012
2023-12-05,63.59,6.667
2023-12-06,61.06,5.434
2023-12-07,62.44,3.139
2023-12-08,67.23,18.816
2023-12-11,64.89,7.626
2023-12-12,64.71,5.712
2023-12-13,65.61,7.024
2023-12-14,70.735,11.835
2023-12-15,71.03,7.058
2023-12-18,68.87,4.745
2023-12-19,69.43,3.899
2023-12-20,68.4,8.178
2023-12-21,71.2,5.408
2023-12-22,72.29,5.764
2023-12-26,73.41,4.047
2023-12-27,74.25,3.802
2023-12-28,77.47,9.177
2023-12-29,75.145,11.178
2024-01-02,68.92,9.771
2024-01-03,67.91,7.858
2024-01-04,68.39,5.758
2024-01-05,67.05,7.357
2024-01-08,72.84,9.304
2024-01-09,71.88,5.982
2024-01-10,70.77,7.451
2024-01-11,69.77,6.396
2024-01-12,70,4.026
2024-01-16,68.48,7.090
2024-01-17,69.86,7.209
2024-01-18,74.23,11.288
2024-01-19,78.58,9.957
2024-01-22,77.11,7.697
2024-01-23,76.35,4.053
2024-01-24,75.74,6.972
2024-01-25,73.91,8.817
2024-01-26,71.17,7.077
2024-01-29,72.93,4.318
2024-01-30,71.97,4.057
2024-01-31,70.67,5.087
2024-02-01,70.52,3.476
2024-02-02,71,4.299
2024-02-05,73.27,7.258
2024-02-06,72.98,6.900
2024-02-07,77.01,22.803
2024-02-08,113.89,106.506
2024-02-09,115.21,48.097
2024-02-12,148.97,111.350
2024-02-13,119.98,68.564
2024-02-14,126.4,42.520
2024-02-15,133.68,34.997
2024-02-16,128.34,26.122
2024-02-20,121.77,21.117
2024-02-21,123.39,22.083
2024-02-22,128.53,29.492
2024-02-23,133.34,20.317
2024-02-26,146.2,26.548
2024-02-27,137.95,17.481
2024-02-28,133.86,9.683
2024-02-29,141.04,10.300
2024-03-01,141.62,9.857
2024-03-04,138.01,14.295
2024-03-05,134.07,9.116
2024-03-06,136.99,9.063
2024-03-07,140.85,14.306
2024-03-08,131.48,14.133
2024-03-11,126.74,10.175
2024-03-12,129.5,18.221
2024-03-13,131.27,9.098
2024-03-14,130.96,10.071
2024-03-15,126.97,8.881
2024-03-18,129.75,6.216
2024-03-19,124.59,8.135
2024-03-20,131.33,6.862
2024-03-21,133.6,7.569
2024-03-22,134.15,7.000
2024-03-25,138.31,12.929
2024-03-26,127.96,21.245
2024-03-27,125.62,11.318
2024-03-28,124.99,7.386
2024-04-01,126.91,5.012
2024-04-02,124.28,5.043
2024-04-03,125.31,3.876
2024-04-04,122.01,5.477
2024-04-05,124.82,4.538
2024-04-08,129.25,6.944
2024-04-09,126.81,12.997
2024-04-10,125.18,4.975
2024-04-11,131.13,6.139
2024-04-12,126.33,4.951
2024-04-15,122.32,5.003
2024-04-16,122.22,4.072
2024-04-17,107.56,19.639
2024-04-18,104.92,11.961
2024-04-19,87.19,29.439
2024-04-22,93.11,15.200
2024-04-23,96.04,11.212
2024-04-24,99.88,11.698
2024-04-25,97.93,6.141
2024-04-26,101.95,5.652
2024-04-29,103.24,4.009
2024-04-30,101.21,3.784
2024-05-01,95.29,6.091
2024-05-02,98,4.117
2024-05-03,101.7,5.780
2024-05-06,106.98,7.489
2024-05-07,107.8,8.187
2024-05-08,106.07,15.211
2024-05-09,103.59,29.441
2024-05-10,108.84,15.281
2024-05-13,117.23,16.403
2024-05-14,116.65,8.046
2024-05-15,113.67,9.544
2024-05-16,114.27,6.446
2024-05-17,110.35,7.523
2024-05-20,110.46,5.261
2024-05-21,114.77,10.469
2024-05-22,112.43,8.407
2024-05-23,112.53,8.451
2024-05-24,114.64,4.736
2024-05-28,124.94,16.203
2024-05-29,120.65,8.167
2024-05-30,120.73,6.763
2024-05-31,120.52,9.110
2024-06-03,127.12,11.448
2024-06-04,125.86,6.880
2024-06-05,136.67,12.612
2024-06-06,137.125,8.875
2024-06-07,136.57,6.610
2024-06-10,139.91,8.873
2024-06-11,143.92,11.435
2024-06-12,155.59,17.284
2024-06-13,158.05,15.372
2024-06-14,157.89,22.260
2024-06-17,160.29,12.827
2024-06-18,174.13,22.339
2024-06-20,160.77,22.162
2024-06-21,160.3,21.728
2024-06-24,151.07,9.261
2024-06-25,160.61,9.814
2024-06-26,164.72,11.598
2024-06-27,166.935,8.980
