date,close,volume
2020-09-16,253.93,36.231
2020-09-17,227.54,11.908
2020-09-18,240,7.475
2020-09-21,228.85,5.525
2020-09-22,235.16,3.889
2020-09-23,217.39,5.852
2020-09-24,226.74,4.822
2020-09-25,229,1.986
2020-09-28,250.41,4.242
2020-09-29,259.13,5.307
2020-09-30,251,5.419
2020-10-01,243.46,3.977
2020-10-02,227.1,2.726
2020-10-05,240,2.362
2020-10-06,245.1,1.573
2020-10-07,246,1.683
2020-10-08,240.19,1.344
2020-10-09,238,1.728
2020-10-12,243.97,3.139
2020-10-13,249.61,1.462
2020-10-14,243.18,1.712
2020-10-15,241,1.846
2020-10-16,242.52,1.017
2020-10-19,246.78,1.535
2020-10-20,251.77,1.734
2020-10-21,270.61,3.359
2020-10-22,297.09,5.193
2020-10-23,265.05,5.619
2020-10-26,251.39,4.040
2020-10-27,266.77,3.493
2020-10-28,272.44,2.094
2020-10-29,265.88,1.147
2020-10-30,250.02,2.400
2020-11-02,252.23,1.301
2020-11-03,262.13,1.376
2020-11-04,263.91,1.395
2020-11-05,263.21,1.272
2020-11-06,265,0.987
2020-11-09,239.84,2.966
2020-11-10,235.68,2.267
2020-11-11,240.76,1.442
2020-11-12,235.38,1.744
2020-11-13,234.8,1.494
2020-11-16,241.85,1.800
2020-11-17,248.03,1.630
2020-11-18,260.54,2.202
2020-11-19,264,1.592
2020-11-20,266,1.598
2020-11-23,274.15,1.357
2020-11-24,282.1,1.735
2020-11-25,303.02,2.912
2020-11-27,328.79,3.294
2020-11-30,325.84,3.550
2020-12-01,305.64,2.659
2020-12-02,292.69,3.575
2020-12-03,339.89,11.103
2020-12-04,387.7,18.612
2020-12-07,388.96,8.135
2020-12-08,390,11.512
2020-12-09,371.26,8.980
2020-12-10,373.28,4.906
2020-12-11,353.96,6.363
2020-12-14,329.15,6.977
2020-12-15,328.61,20.379
2020-12-16,329.97,6.428
2020-12-17,325.54,3.717
2020-12-18,334.25,8.116
2020-12-21,349.85,5.880
2020-12-22,341.16,4.699
2020-12-23,331.65,2.746
2020-12-24,323.04,2.191
2020-12-28,302.81,4.757
2020-12-29,304.05,4.827
2020-12-30,300.92,2.631
2020-12-31,281.4,5.314
2021-01-04,278.24,3.948
2021-01-05,283.83,5.203
2021-01-06,268.02,5.737
2021-01-07,304.2,16.547
2021-01-08,300.1,9.107
2021-01-11,293.19,4.525
2021-01-12,293.35,3.257
2021-01-13,296.55,2.868
2021-01-14,303.76,4.586
2021-01-15,291.3,3.210
2021-01-19,286.21,3.144
2021-01-20,281.88,2.260
2021-01-21,286.32,1.894
2021-01-22,285.68,2.054
2021-01-25,287.25,3.751
2021-01-26,280.98,1.952
2021-01-27,266.2,4.388
2021-01-28,273.13,2.435
2021-01-29,272.45,2.177
2021-02-01,282,2.227
2021-02-02,300.71,7.224
2021-02-03,304.64,4.629
2021-02-04,303.61,2.193
2021-02-05,306.05,1.758
2021-02-08,304.5,2.395
2021-02-09,314.29,4.355
2021-02-10,305.91,3.425
2021-02-11,298.73,2.345
2021-02-12,299.47,1.519
2021-02-16,294.55,1.986
2021-02-17,288.78,1.710
2021-02-18,289.78,2.258
2021-02-19,290,2.305
