date,close,volume
2011-06-10,7.59,14.572
2011-06-13,7.54,12.447
2011-06-14,7.67,12.739
2011-06-15,7.5,14.471
2011-06-16,7.19,48.145
2011-06-17,7,31.096
2011-06-20,6.89,33.808
2011-06-21,7.22,26.234
2011-06-22,7.06,17.390
2011-06-23,7.06,33.905
2011-06-24,6.9,17.828
2011-06-27,6.92,9.519
2011-06-28,6.95,20.625
2011-06-29,6.89,27.293
2011-06-30,6.99,25.379
2011-07-01,7.11,27.642
2011-07-05,7.14,16.221
2011-07-06,7,13.088
2011-07-07,7.15,12.530
2011-07-08,6.95,19.971
2011-07-11,6.76,26.012
2011-07-12,6.43,37.606
2011-07-13,6.48,20.844
2011-07-14,6.44,19.664
2011-07-15,6.43,12.736
2011-07-18,6.18,31.233
2011-07-19,6.48,25.765
2011-07-20,6.6,18.423
2011-07-21,6.5,29.319
2011-07-22,7.75,86.039
2011-07-25,7.63,32.286
2011-07-26,7.66,21.458
2011-07-27,7.51,23.538
2011-07-28,7.42,16.731
2011-07-29,7.34,20.882
2011-08-01,7.22,23.191
2011-08-02,7.11,33.153
2011-08-03,7.16,31.582
2011-08-04,6.5,34.762
2011-08-05,6.56,39.379
2011-08-08,5.94,41.251
2011-08-09,6.18,25.315
2011-08-10,5.85,35.411
2011-08-11,6.17,25.935
2011-08-12,6.21,15.588
2011-08-15,6.43,11.477
2011-08-16,6.34,16.356
2011-08-17,6.14,15.249
2011-08-18,5.79,27.200
2011-08-19,5.98,37.995
2011-08-22,6.05,18.434
2011-08-23,6.5,31.114
2011-08-24,6.34,17.181
2011-08-25,6.37,27.369
2011-08-26,6.49,17.111
2011-08-29,6.83,13.492
2011-08-30,6.84,17.401
2011-08-31,6.83,26.838
2011-09-01,6.68,15.254
2011-09-02,6.32,17.934
2011-09-06,6.27,16.301
2011-09-07,6.76,18.693
2011-09-08,6.81,32.017
2011-09-09,6.52,17.494
2011-09-12,6.71,20.412
2011-09-13,6.96,19.043
2011-09-14,7.21,23.767
2011-09-15,7.34,23.786
2011-09-16,7.2,19.877
2011-09-19,6.92,36.466
2011-09-20,6.74,17.428
2011-09-21,6.48,20.043
2011-09-22,6.12,44.631
2011-09-23,6.17,21.921
2011-09-26,6.4,27.779
2011-09-27,6.49,26.947
2011-09-28,6.15,29.235
2011-09-29,5.31,67.974
2011-09-30,5.08,29.671
2011-10-03,4.53,39.506
2011-10-04,4.72,37.500
2011-10-05,4.83,28.840
2011-10-06,4.85,19.194
2011-10-07,4.73,22.123
2011-10-10,4.84,14.710
2011-10-11,4.86,15.420
2011-10-12,4.93,19.261
2011-10-13,4.97,17.308
2011-10-14,4.92,12.805
2011-10-17,4.67,16.612
2011-10-18,4.83,21.339
2011-10-19,4.73,18.304
2011-10-20,4.54,25.241
2011-10-21,4.72,13.915
2011-10-24,5.06,24.369
2011-10-25,4.91,14.843
2011-10-26,5.1,19.662
2011-10-27,5.54,41.294
2011-10-28,5.94,47.582
2011-10-31,5.83,19.381
2011-11-01,5.3,45.413
2011-11-02,5.46,21.247
2011-11-03,5.73,26.417
2011-11-04,5.67,17.553
2011-11-07,5.68,14.565
2011-11-08,5.75,14.000
2011-11-09,5.38,18.518
2011-11-10,5.66,23.914
2011-11-11,5.95,22.807
2011-11-14,5.79,12.270
2011-11-15,5.76,13.713
2011-11-16,5.68,12.713
2011-11-17,5.44,18.208
2011-11-18,5.47,12.677
2011-11-21,5.42,15.305
2011-11-22,5.3,19.461
2011-11-23,5.05,18.338
2011-11-25,4.99,8.669
2011-11-28,5.3,12.143
2011-11-29,5.32,10.195
2011-11-30,5.69,16.152
2011-12-01,5.7,10.881
2011-12-02,5.65,7.733
2011-12-05,5.76,11.216
2011-12-06,5.66,11.407
2011-12-07,5.72,12.659
2011-12-08,5.47,16.654
2011-12-09,5.54,13.353
2011-12-12,5.3,14.586
2011-12-13,5.18,22.708
2011-12-14,5.07,13.351
2011-12-15,5.04,13.625
2011-12-16,5.13,11.680
2011-12-19,4.86,14.173
2011-12-20,5.19,13.554
2011-12-21,5.08,11.853
2011-12-22,5.45,16.217
2011-12-23,5.41,6.666
2011-12-27,5.38,5.648
2011-12-28,5.28,5.278
2011-12-29,5.34,6.145
2011-12-30,5.4,6.906
2012-01-03,5.48,12.675
2012-01-04,5.46,8.035
2012-01-05,5.46,11.477
2012-01-06,5.43,12.939
2012-01-09,5.59,12.585
2012-01-10,5.71,10.130
2012-01-11,5.81,11.196
2012-01-12,5.82,11.480
2012-01-13,5.66,9.671
2012-01-17,5.73,8.260
2012-01-18,5.97,19.956
2012-01-19,6.22,21.731
2012-01-20,6.42,28.706
2012-01-23,6.52,21.918
2012-01-24,6.53,38.791
2012-01-25,6.73,36.785
2012-01-26,6.77,25.161
2012-01-27,6.82,16.443
2012-01-30,6.74,13.367
2012-01-31,6.71,17.476
2012-02-01,6.9,14.672
2012-02-02,6.93,15.775
2012-02-03,7.08,15.318
2012-02-06,6.92,13.145
2012-02-07,7.13,18.874
2012-02-08,7.25,15.606
2012-02-09,7.24,13.358
2012-02-10,7.05,16.473
2012-02-13,7.29,19.482
2012-02-14,7.32,18.756
2012-02-15,7.3,15.269
2012-02-16,7.59,13.140
2012-02-17,7.42,13.955
2012-02-21,7.28,15.663
2012-02-22,7.14,20.775
2012-02-23,7.29,16.385
2012-02-24,7.46,19.281
2012-02-27,7.47,14.763
2012-02-28,7.52,10.514
2012-02-29,7.35,13.941
2012-03-01,7.51,19.152
2012-03-02,7.46,11.203
2012-03-05,7.07,25.144
2012-03-06,6.9,15.021
2012-03-07,7.17,18.979
2012-03-08,7.47,21.247
2012-03-09,7.58,15.093
2012-03-12,7.5,15.386
2012-03-13,7.76,17.890
2012-03-14,7.76,22.707
2012-03-15,8.25,27.148
2012-03-16,8.2,14.106
2012-03-19,8.18,12.017
2012-03-20,8.06,16.426
2012-03-21,8.04,9.085
2012-03-22,8.03,9.347
2012-03-23,8.09,8.149
2012-03-26,8.24,8.692
2012-03-27,8.19,9.802
2012-03-28,8.08,15.385
2012-03-29,8.12,13.920
2012-03-30,8.02,14.586
2012-04-02,8.2,12.477
2012-04-03,7.98,18.447
2012-04-04,7.81,16.056
2012-04-05,7.87,14.952
2012-04-09,7.75,10.067
2012-04-10,7.53,16.439
2012-04-11,7.64,9.541
2012-04-12,7.92,10.960
2012-04-13,7.73,11.975
2012-04-16,7.7,14.931
2012-04-17,7.94,15.774
2012-04-18,7.97,13.999
2012-04-19,7.97,25.075
2012-04-20,7.76,38.758
2012-04-23,7.39,23.445
2012-04-24,7.31,20.553
2012-04-25,7.39,17.392
2012-04-26,7.45,22.485
2012-04-27,7.33,19.381
2012-04-30,7.36,13.327
2012-05-01,7.59,18.850
2012-05-02,7.63,14.125
2012-05-03,7.41,15.769
2012-05-04,7.18,12.321
2012-05-07,7.18,10.558
2012-05-08,7.03,12.568
2012-05-09,6.86,19.307
2012-05-10,6.78,26.540
2012-05-11,6.78,17.699
2012-05-14,6.75,13.395
2012-05-15,6.6,12.502
2012-05-16,6.39,17.258
2012-05-17,6.13,27.077
2012-05-18,6.01,14.980
2012-05-21,6.3,16.378
2012-05-22,6.16,12.601
2012-05-23,6.08,19.700
2012-05-24,6.02,9.713
2012-05-25,6.22,10.027
2012-05-29,6.46,16.985
2012-05-30,6.15,18.306
2012-05-31,6.08,19.844
2012-06-01,5.73,25.558
2012-06-04,5.63,15.576
2012-06-05,5.83,12.256
2012-06-06,6.02,13.461
2012-06-07,5.76,17.451
2012-06-08,5.91,7.581
2012-06-11,5.69,11.840
2012-06-12,5.91,12.517
2012-06-13,5.76,12.586
2012-06-14,5.76,8.486
2012-06-15,5.87,9.292
2012-06-18,5.93,11.950
2012-06-19,5.81,21.248
2012-06-20,6.06,23.324
2012-06-21,5.72,17.212
2012-06-22,5.73,15.919
2012-06-25,5.41,17.470
2012-06-26,5.44,10.163
2012-06-27,5.5,8.999
2012-06-28,5.41,11.534
2012-06-29,5.73,20.949
2012-07-02,5.75,11.160
2012-07-03,6.03,11.319
2012-07-05,5.88,13.360
2012-07-06,5.75,9.952
2012-07-09,5.62,13.566
2012-07-10,4.99,75.490
2012-07-11,4.89,16.156
2012-07-12,4.88,19.891
2012-07-13,4.9,15.546
2012-07-16,4.83,14.792
2012-07-17,4.87,14.273
2012-07-18,4.89,15.850
2012-07-19,4.86,27.598
2012-07-20,4.22,52.272
2012-07-23,4.15,22.167
2012-07-24,4.06,21.020
2012-07-25,4.01,20.288
2012-07-26,4.04,11.234
2012-07-27,4.09,13.882
2012-07-30,4.1,9.547
2012-07-31,4.06,13.539
2012-08-01,4.05,16.228
2012-08-02,3.97,15.799
2012-08-03,4.09,8.352
2012-08-06,4.01,18.013
2012-08-07,4.02,17.096
2012-08-08,4.4,52.655
2012-08-09,4.37,23.069
2012-08-10,4.34,7.843
2012-08-13,4.26,12.805
2012-08-14,4.12,13.190
2012-08-15,4.19,10.407
2012-08-16,4.17,12.980
2012-08-17,4.1,9.229
2012-08-20,4.09,17.271
2012-08-21,4.07,16.000
2012-08-22,4.01,17.672
2012-08-23,3.9,24.425
2012-08-24,3.94,12.557
2012-08-27,3.85,13.058
2012-08-28,3.79,14.501
2012-08-29,3.77,10.005
2012-08-30,3.7,12.154
2012-08-31,3.72,23.594
2012-09-04,3.64,16.163
2012-09-05,3.51,34.274
2012-09-06,3.66,19.949
2012-09-07,3.45,31.043
2012-09-10,3.47,32.422
2012-09-11,3.75,33.086
2012-09-12,3.89,50.272
2012-09-13,3.92,38.356
2012-09-14,3.9,23.583
2012-09-17,4.01,42.221
2012-09-18,3.62,91.370
2012-09-19,3.66,31.304
2012-09-20,3.59,20.837
2012-09-21,3.6,20.269
2012-09-24,3.46,23.733
2012-09-25,3.28,29.232
2012-09-26,3.32,22.960
2012-09-27,3.43,19.551
2012-09-28,3.37,15.558
2012-10-01,3.28,25.051
2012-10-02,3.27,27.053
2012-10-03,3.12,27.801
2012-10-04,3.22,23.236
2012-10-05,3.22,11.215
2012-10-08,3.19,9.897
2012-10-09,3.25,19.697
2012-10-10,3.15,19.235
2012-10-11,3.2,18.207
2012-10-12,2.74,83.878
2012-10-15,2.75,26.746
2012-10-16,2.68,38.377
2012-10-17,2.77,32.949
2012-10-18,2.62,35.680
2012-10-19,2.18,110.069
2012-10-22,2.1,37.956
2012-10-23,2.14,33.502
2012-10-24,2.08,37.324
2012-10-25,2.12,21.980
2012-10-26,2.07,16.693
2012-10-31,2.05,17.428
2012-11-01,2.14,21.773
2012-11-02,2.1,20.725
2012-11-05,2.11,21.065
2012-11-06,2.07,24.027
2012-11-07,2.01,30.029
2012-11-08,1.98,35.842
2012-11-09,2.03,39.582
2012-11-12,1.99,15.959
2012-11-13,2.09,60.092
2012-11-14,1.93,40.053
2012-11-15,1.87,20.270
2012-11-16,1.86,23.501
2012-11-19,1.92,18.774
2012-11-20,1.88,11.637
2012-11-21,1.87,7.525
2012-11-23,1.95,8.568
2012-11-26,1.87,30.193
2012-11-27,1.88,22.733
2012-11-28,1.96,27.472
2012-11-29,2.04,42.800
2012-11-30,2.2,66.854
2012-12-03,2.36,70.161
2012-12-04,2.26,52.165
2012-12-05,2.29,20.379
2012-12-06,2.34,22.224
2012-12-07,2.36,34.203
2012-12-10,2.32,10.016
2012-12-11,2.33,14.745
2012-12-12,2.37,24.566
2012-12-13,2.41,25.070
2012-12-14,2.39,16.553
2012-12-17,2.46,15.273
2012-12-18,2.52,26.636
2012-12-19,2.52,20.587
2012-12-20,2.4,24.819
2012-12-21,2.59,40.733
2012-12-24,2.48,9.625
2012-12-26,2.43,12.798
2012-12-27,2.39,18.486
2012-12-28,2.28,26.210
2012-12-31,2.4,20.698
2013-01-02,2.53,27.215
2013-01-03,2.49,24.967
2013-01-04,2.59,22.054
2013-01-07,2.67,25.575
2013-01-08,2.67,29.141
2013-01-09,2.63,16.675
2013-01-10,2.62,19.409
2013-01-11,2.67,20.032
2013-01-14,2.64,17.300
2013-01-15,2.68,23.696
2013-01-16,2.72,31.385
2013-01-17,2.74,17.872
2013-01-18,2.46,41.786
2013-01-22,2.45,35.143
2013-01-23,2.73,69.201
2013-01-24,2.79,32.497
2013-01-25,2.85,33.640
2013-01-28,2.82,23.637
2013-01-29,2.74,20.071
2013-01-30,2.65,19.781
2013-01-31,2.6,27.846
2013-02-01,2.6,18.806
2013-02-04,2.52,15.382
2013-02-05,2.6,12.440
2013-02-06,2.6,8.831
2013-02-07,2.57,6.780
2013-02-08,2.59,5.973
2013-02-11,2.67,22.415
2013-02-12,2.77,13.676
2013-02-13,2.75,11.495
2013-02-14,2.75,13.289
2013-02-15,2.71,10.718
2013-02-19,2.82,19.819
2013-02-20,2.7,21.362
2013-02-21,2.6,30.776
2013-02-22,2.61,20.254
2013-02-25,2.53,16.946
2013-02-26,2.46,17.584
2013-02-27,2.53,10.653
2013-02-28,2.49,11.379
2013-03-01,2.42,19.689
2013-03-04,2.4,14.570
2013-03-05,2.43,13.959
2013-03-06,2.43,10.835
2013-03-07,2.55,21.090
2013-03-08,2.56,11.331
2013-03-11,2.59,13.393
2013-03-12,2.61,9.510
2013-03-13,2.6,7.482
2013-03-14,2.63,9.222
2013-03-15,2.6,15.805
2013-03-18,2.65,12.996
2013-03-19,2.67,19.316
2013-03-20,2.75,13.503
2013-03-21,2.64,17.022
2013-03-22,2.54,18.524
2013-03-25,2.51,11.266
2013-03-26,2.54,6.330
2013-03-27,2.55,5.903
2013-03-28,2.55,4.867
2013-04-01,2.44,14.465
2013-04-02,2.39,11.427
2013-04-03,2.32,14.486
2013-04-04,2.33,11.178
2013-04-05,2.29,13.725
2013-04-08,2.59,44.768
2013-04-09,2.63,33.887
2013-04-10,2.61,20.686
2013-04-11,2.52,12.947
2013-04-12,2.48,10.713
2013-04-15,2.4,11.522
2013-04-16,2.44,10.954
2013-04-17,2.4,14.829
2013-04-18,2.51,27.341
2013-04-19,2.47,25.040
2013-04-22,2.46,14.132
2013-04-23,2.53,14.550
2013-04-24,2.61,16.538
2013-04-25,2.68,20.971
2013-04-26,2.64,17.317
2013-04-29,2.68,11.220
2013-04-30,2.82,32.647
2013-05-01,3.22,88.007
2013-05-02,3.41,74.186
2013-05-03,3.6,87.329
2013-05-06,3.61,51.378
2013-05-07,3.54,35.340
2013-05-08,3.83,57.017
2013-05-09,3.86,47.232
2013-05-10,3.95,30.587
2013-05-13,4.17,54.889
2013-05-14,4.26,53.293
2013-05-15,4.38,39.347
2013-05-16,3.83,80.222
2013-05-17,4.07,33.953
2013-05-20,4.1,35.459
2013-05-21,4.02,36.561
2013-05-22,3.96,28.772
2013-05-23,4.01,33.153
2013-05-24,4.05,20.656
2013-05-28,4.05,19.604
2013-05-29,3.98,16.279
2013-05-30,4.04,15.230
2013-05-31,4,17.715
2013-06-03,3.96,23.938
2013-06-04,4.01,19.613
2013-06-05,3.91,15.405
2013-06-06,3.94,20.864
2013-06-07,3.91,12.027
2013-06-10,4.06,32.378
2013-06-11,3.96,20.201
2013-06-12,3.9,14.600
2013-06-13,3.95,14.192
2013-06-14,3.94,14.396
2013-06-17,4.05,31.973
2013-06-18,4.09,22.842
2013-06-19,4.07,24.194
