date,close,volume
2011-06-13,13.981,0.081
2011-06-14,14.273,0.061
2011-06-15,14.14,0.084
2011-06-16,14.277,0.090
2011-06-17,14.05,0.164
2011-06-20,13.966,0.098
2011-06-21,14.53,0.127
2011-06-22,14.968,0.241
2011-06-23,15.879,0.509
2011-06-24,15.774,0.232
2011-06-27,16.023,0.103
2011-06-28,16.278,0.084
2011-06-29,16.343,0.142
2011-06-30,16.268,0.115
2011-07-01,16.641,0.086
2011-07-05,16.773,0.121
2011-07-06,16.575,0.091
2011-07-07,16.641,0.076
2011-07-08,16.472,0.136
2011-07-11,15.992,0.197
2011-07-12,15.663,0.214
2011-07-13,16.322,0.169
2011-07-14,17.131,0.340
2011-07-15,16.969,0.317
2011-07-18,16.881,0.242
2011-07-19,17.598,0.236
2011-07-20,17.41,0.059
2011-07-21,17.058,0.153
2011-07-22,17.168,0.105
2011-07-25,16.942,0.196
2011-07-26,16.712,0.167
2011-07-27,16.313,0.122
2011-07-28,15.949,0.138
2011-07-29,15.937,0.122
2011-08-01,15.999,0.119
2011-08-02,15.192,0.241
2011-08-03,14.737,1.052
2011-08-04,13.704,0.457
2011-08-05,12.84,0.447
2011-08-08,11.568,0.272
2011-08-09,12.323,0.376
2011-08-10,11.372,0.280
2011-08-11,11.979,0.428
2011-08-12,12.262,0.239
2011-08-15,12.743,0.160
2011-08-16,12.47,0.156
2011-08-17,11.991,0.251
2011-08-18,10.8,0.442
2011-08-19,10.592,0.148
2011-08-22,10.722,0.144
2011-08-23,11.345,0.178
2011-08-24,11.623,0.245
2011-08-25,11.093,0.134
2011-08-26,11.476,0.101
2011-08-29,12.168,0.177
2011-08-30,12.124,0.115
2011-08-31,12.288,0.245
2011-09-01,11.837,0.107
2011-09-02,11.101,0.088
2011-09-06,10.943,0.209
2011-09-07,11.197,0.113
2011-09-08,10.885,0.159
2011-09-09,10.423,0.292
2011-09-12,10.579,0.238
2011-09-13,11.329,0.226
2011-09-14,11.83,0.181
2011-09-15,11.876,0.155
2011-09-16,12.16,0.215
2011-09-19,11.91,0.132
2011-09-20,11.508,0.099
2011-09-21,11.475,0.154
2011-09-22,10.82,0.269
2011-09-23,11.541,0.149
2011-09-26,11.839,0.125
2011-09-27,12.233,0.124
2011-09-28,11.658,0.077
2011-09-29,11.694,0.172
2011-09-30,11.407,0.124
2011-10-03,10.51,0.234
2011-10-04,11.259,0.193
2011-10-05,11.7,0.130
2011-10-06,11.7,0.146
2011-10-07,11.599,0.091
2011-10-10,11.881,0.121
2011-10-11,12.203,0.116
