date,close,volume
2019-09-13,18,35.994
2019-09-16,18.63,9.758
2019-09-17,18.75,3.171
2019-09-18,19.59,4.703
2019-09-19,18.75,8.515
2019-09-20,19.87,3.598
2019-09-23,20.96,3.524
2019-09-24,20.71,5.008
2019-09-25,20.52,2.625
2019-09-26,19.55,3.126
2019-09-27,18.24,3.290
2019-09-30,18.57,2.313
2019-10-01,16.84,2.619
2019-10-02,17.25,3.318
2019-10-03,16.78,2.462
2019-10-04,17.27,1.576
2019-10-07,17.04,1.427
2019-10-08,17.19,1.311
2019-10-09,17.34,0.833
2019-10-10,16.33,1.886
2019-10-11,16.47,1.456
2019-10-14,15.69,1.292
2019-10-15,16.36,0.885
2019-10-16,15.85,1.117
2019-10-17,15.91,0.939
2019-10-18,15.29,0.836
2019-10-21,14.97,1.125
2019-10-22,14.62,1.207
2019-10-23,14.73,0.895
2019-10-24,15.84,1.116
2019-10-25,16.17,1.023
2019-10-28,16.03,1.185
2019-10-29,15.72,0.753
2019-10-30,16.73,1.093
2019-10-31,16.84,0.918
2019-11-01,16.83,0.706
2019-11-04,17.37,0.997
2019-11-05,17.1,0.850
2019-11-06,16.22,1.056
2019-11-07,15.89,1.404
2019-11-08,16.12,1.499
2019-11-11,16.23,0.504
2019-11-12,16.16,0.339
2019-11-13,16.26,0.713
2019-11-14,16.67,0.659
2019-11-15,16.74,0.815
2019-11-18,16.89,0.461
2019-11-19,16.3,0.859
2019-11-20,16.92,0.762
2019-11-21,17.36,1.011
2019-11-22,17.77,1.062
2019-11-25,18.07,0.787
2019-11-26,18.79,1.326
2019-11-27,19.61,1.663
2019-11-29,19.48,0.497
2019-12-02,18.94,1.720
2019-12-03,18.95,0.856
2019-12-04,18.96,0.993
2019-12-05,17.73,1.146
2019-12-06,18.48,0.879
2019-12-09,17.71,0.924
2019-12-10,17.67,0.453
2019-12-11,17.17,0.612
2019-12-12,17.66,0.546
2019-12-13,17.95,0.705
2019-12-16,18.37,0.882
