date,close,volume
2018-09-12,6.6,66.849
2018-09-13,11.6,158.347
2018-09-14,9.9,172.474
2018-09-17,8.5,56.324
2018-09-18,7.68,41.828
2018-09-19,8.5,48.307
2018-09-20,8.78,40.275
2018-09-21,8.59,15.118
2018-09-24,7.87,16.298
2018-09-25,7.58,18.909
2018-09-26,7.5,11.088
2018-09-27,7.01,16.816
2018-09-28,6.98,21.814
2018-10-01,6.6,16.429
2018-10-02,5.93,19.440
2018-10-03,6.3,13.251
2018-10-04,6.25,11.897
2018-10-05,6.26,8.378
2018-10-08,6.04,11.509
2018-10-09,7.39,38.464
2018-10-10,7.75,74.971
2018-10-11,7.18,22.730
2018-10-12,7.46,14.545
2018-10-15,7.82,26.782
2018-10-16,8.04,17.490
2018-10-17,7.77,11.705
2018-10-18,7.5,11.906
2018-10-19,7.32,7.336
2018-10-22,7.03,12.759
2018-10-23,6.81,14.902
2018-10-24,6.17,14.790
2018-10-25,6.45,9.189
2018-10-26,6.35,9.459
2018-10-29,6.19,16.028
2018-10-30,5.95,21.824
2018-10-31,5.9,15.213
2018-11-01,6.62,24.331
2018-11-02,6.49,17.989
2018-11-05,6.68,13.189
2018-11-06,6.4,49.856
2018-11-07,6.74,23.762
2018-11-08,6.69,20.511
2018-11-09,6.77,12.790
2018-11-12,6.65,12.709
2018-11-13,6.78,15.374
2018-11-14,7.1,29.585
2018-11-15,7.34,18.036
2018-11-16,7.19,14.972
2018-11-19,7.84,49.172
2018-11-20,7.67,26.923
2018-11-21,7.71,13.994
2018-11-23,7.46,8.120
2018-11-26,7.37,12.165
2018-11-27,7.48,9.085
2018-11-28,8.12,22.097
2018-11-29,7.79,13.208
2018-11-30,7.71,10.995
2018-12-03,7.58,22.425
2018-12-04,7.08,19.625
2018-12-06,7.37,16.688
2018-12-07,6.99,11.576
2018-12-10,7.03,9.981
2018-12-11,7.08,8.096
2018-12-12,7.54,16.008
2018-12-13,7.75,14.981
2018-12-14,7.7,10.774
2018-12-17,7.03,18.133
2018-12-18,7.07,10.686
2018-12-19,6.83,9.300
2018-12-20,6.52,12.080
2018-12-21,6.07,13.598
2018-12-24,5.92,8.836
2018-12-26,6.36,9.912
2018-12-27,6.43,8.532
2018-12-28,6.47,7.996
2018-12-31,6.37,8.667
2019-01-02,6.2,8.824
2019-01-03,6.05,7.563
2019-01-04,6.36,9.406
2019-01-07,6.5,9.709
2019-01-08,6.4,9.604
2019-01-09,6.63,11.490
2019-01-10,6.66,11.221
2019-01-11,6.59,6.902
2019-01-14,6.8,19.454
2019-01-15,6.82,12.633
2019-01-16,6.71,6.941
2019-01-17,6.81,8.509
2019-01-18,6.71,9.241
2019-01-22,6.57,6.380
2019-01-23,6.55,5.686
2019-01-24,6.58,5.920
2019-01-25,6.65,6.727
2019-01-28,6.67,5.111
2019-01-29,6.94,14.200
2019-01-30,7.46,28.775
2019-01-31,7.88,21.234
2019-02-01,7.9,20.789
2019-02-04,7.85,8.585
2019-02-05,7.88,9.030
2019-02-06,8.4,33.405
2019-02-07,8.04,23.198
2019-02-08,7.67,21.709
2019-02-11,7.46,9.751
2019-02-12,7.44,13.264
2019-02-13,7.49,10.868
2019-02-14,7.48,14.728
2019-02-15,7.41,15.620
2019-02-19,7.26,9.975
2019-02-20,7.62,21.496
2019-02-21,7.64,8.060
2019-02-22,8.17,26.600
2019-02-25,9,52.424
2019-02-26,9.79,106.023
2019-02-27,9.85,53.234
2019-02-28,9.57,26.506
2019-03-01,10.06,32.409
2019-03-04,9.78,43.753
2019-03-05,10.16,53.681
2019-03-06,8.01,73.523
2019-03-07,7.09,52.470
2019-03-08,7.06,32.041
2019-03-11,6.59,62.545
2019-03-12,6.39,41.616
2019-03-13,6.53,41.727
2019-03-14,6.03,58.983
2019-03-15,5.71,85.777
2019-03-18,5.75,76.506
2019-03-19,5.96,54.509
2019-03-20,5.85,39.054
2019-03-21,5.84,21.369
2019-03-22,5.62,24.956
2019-03-25,5.35,38.993
2019-03-26,4.96,67.206
2019-03-27,4.98,39.753
2019-03-28,5.01,29.458
2019-03-29,5.1,23.596
2019-04-01,5.21,32.405
2019-04-02,5.39,55.815
2019-04-03,5.31,35.320
2019-04-04,5.35,31.697
2019-04-05,5.36,18.093
2019-04-08,5.3,17.350
2019-04-09,5.08,32.590
2019-04-10,5.05,25.959
2019-04-11,5.01,17.643
2019-04-12,4.99,15.561
2019-04-15,4.75,27.489
2019-04-16,4.45,46.355
2019-04-17,4.59,30.546
2019-04-18,4.79,31.207
2019-04-22,4.78,12.937
2019-04-23,4.83,15.107
2019-04-24,5,20.401
2019-04-25,4.9,21.553
2019-04-26,4.92,11.891
2019-04-29,4.98,15.203
2019-04-30,4.85,14.435
2019-05-01,4.68,13.308
2019-05-02,4.72,14.080
2019-05-03,5.02,25.246
2019-05-06,4.88,16.144
2019-05-07,4.84,11.546
2019-05-08,4.57,20.457
2019-05-09,4.6,15.760
2019-05-10,4.56,17.147
2019-05-13,4.33,21.804
2019-05-14,4.67,27.926
2019-05-15,4.71,14.669
2019-05-16,4.66,16.198
2019-05-17,4.42,19.776
2019-05-20,4.25,23.572
2019-05-21,4.29,23.435
2019-05-22,4.05,35.451
2019-05-23,3.93,27.856
2019-05-24,3.86,26.069
2019-05-28,4,114.474
2019-05-29,3.61,41.690
2019-05-30,3.24,55.942
2019-05-31,3.05,39.383
2019-06-03,2.96,51.793
2019-06-04,3.04,30.924
2019-06-05,2.83,38.179
2019-06-06,2.65,54.094
2019-06-07,2.76,31.398
2019-06-10,2.63,35.989
2019-06-11,2.61,33.070
2019-06-12,2.55,30.099
2019-06-13,2.52,21.963
2019-06-14,2.42,27.066
2019-06-17,2.46,20.830
2019-06-18,2.53,50.081
2019-06-19,2.74,43.762
2019-06-20,2.83,55.697
2019-06-21,2.64,49.602
2019-06-24,2.64,22.694
2019-06-25,2.6,16.290
2019-06-26,2.55,20.679
2019-06-27,2.6,27.686
2019-06-28,2.55,17.640
2019-07-01,2.6,19.542
2019-07-02,2.82,35.317
2019-07-03,3.13,75.342
2019-07-05,3.26,35.915
2019-07-08,3.49,40.424
2019-07-09,3.69,87.406
2019-07-10,3.68,85.126
2019-07-11,3.42,57.070
2019-07-12,3.45,39.432
2019-07-15,3.39,19.833
2019-07-16,3.3,25.765
2019-07-17,3.44,26.705
2019-07-18,3.43,17.653
2019-07-19,3.37,13.784
2019-07-22,3.38,12.377
2019-07-23,3.46,12.462
2019-07-24,3.67,38.845
2019-07-25,3.5,26.513
2019-07-26,3.51,15.606
2019-07-29,3.46,25.891
2019-07-30,3.38,14.128
2019-07-31,3.47,19.917
2019-08-01,3.28,28.758
2019-08-02,3.27,17.211
2019-08-05,2.95,38.736
2019-08-06,3.08,23.456
2019-08-07,3.09,18.090
2019-08-08,3.17,21.000
2019-08-09,3.13,10.610
2019-08-12,3.05,14.211
2019-08-13,3.15,18.608
2019-08-14,2.9,28.206
2019-08-15,2.82,15.736
2019-08-16,2.95,15.884
2019-08-19,3,13.657
2019-08-20,3.16,16.703
2019-08-21,3.05,21.524
2019-08-22,3.02,12.428
2019-08-23,2.92,13.650
2019-08-26,2.9,14.138
2019-08-27,2.91,20.417
2019-08-28,2.84,10.492
2019-08-29,2.85,12.377
2019-08-30,2.86,8.163
2019-09-03,2.6,26.902
2019-09-04,2.75,15.214
2019-09-05,2.95,23.270
2019-09-06,2.98,14.509
2019-09-09,3.14,17.386
2019-09-10,3.32,20.849
2019-09-11,3.27,13.620
2019-09-12,3.19,10.958
2019-09-13,3.21,8.372
2019-09-16,3.12,12.375
2019-09-17,3.18,13.012
2019-09-18,3.08,12.583
2019-09-19,3.1,8.839
2019-09-20,3.04,12.054
2019-09-23,2.72,40.588
2019-09-24,2.17,122.304
2019-09-25,2.05,39.272
2019-09-26,1.96,52.899
2019-09-27,1.75,59.981
2019-09-30,1.56,58.965
2019-10-01,1.32,88.303
2019-10-02,1.59,99.492
2019-10-03,1.64,58.718
2019-10-04,1.62,25.307
2019-10-07,1.55,26.932
2019-10-08,1.7,47.247
2019-10-09,1.64,35.977
2019-10-10,1.53,34.066
2019-10-11,1.56,25.707
2019-10-14,1.53,12.597
2019-10-15,1.55,27.705
2019-10-16,1.46,40.843
2019-10-17,1.46,18.386
2019-10-18,1.52,21.500
2019-10-21,1.69,40.265
2019-10-22,1.58,39.052
2019-10-23,1.53,12.848
2019-10-24,1.54,21.616
2019-10-25,1.51,20.583
2019-10-28,1.48,32.760
2019-10-29,1.39,22.390
2019-10-30,1.43,20.881
2019-10-31,1.45,22.416
2019-11-01,1.52,18.037
2019-11-04,1.71,61.267
2019-11-05,2.34,184.641
2019-11-06,2.03,114.180
2019-11-07,2.07,39.589
2019-11-08,1.98,38.421
2019-11-11,1.86,34.366
2019-11-12,1.94,27.818
2019-11-13,1.9,25.130
2019-11-14,1.75,46.806
2019-11-15,1.8,32.268
2019-11-18,1.8,26.551
2019-11-19,1.83,26.830
2019-11-20,1.84,20.771
2019-11-21,1.98,41.548
2019-11-22,1.94,25.211
2019-11-25,2.05,36.941
2019-11-26,2.28,55.683
2019-11-27,2.46,77.494
2019-11-29,2.27,32.640
2019-12-02,2.44,33.146
2019-12-03,2.4,38.015
2019-12-04,2.42,46.922
2019-12-05,2.27,53.335
2019-12-06,2.26,32.061
2019-12-09,2.22,31.824
2019-12-10,2.27,25.261
2019-12-11,2.26,20.364
2019-12-12,2.27,22.515
2019-12-13,2.39,37.217
2019-12-16,2.48,36.960
2019-12-17,2.59,45.706
2019-12-18,2.63,31.842
2019-12-19,2.62,36.388
2019-12-20,2.69,51.014
2019-12-23,2.67,28.627
2019-12-24,2.53,32.030
2019-12-26,2.51,44.197
2019-12-27,2.42,37.704
2019-12-30,3.72,433.832
2019-12-31,4.02,215.201
2020-01-02,3.72,103.899
2020-01-03,3.83,82.982
2020-01-06,3.68,106.849
2020-01-07,3.24,109.300
2020-01-08,3.39,65.258
2020-01-09,3.46,54.722
2020-01-10,3.51,35.762
2020-01-13,3.7,59.975
2020-01-14,3.76,55.274
2020-01-15,4.29,236.358
2020-01-16,4.37,99.337
2020-01-17,4.67,109.601
