date,close,volume
2021-01-14,10.41,0.061
2021-01-15,10.18,0.069
2021-01-19,10.15,0.225
2021-01-20,10.21,0.081
2021-01-21,10.62,0.278
2021-01-22,10.58,0.302
2021-01-25,10.51,0.253
2021-01-26,10.45,0.169
2021-01-27,10.37,0.363
2021-01-28,10.66,0.226
2021-01-29,10.5,0.100
2021-02-01,10.5,0.188
2021-02-02,10.49,0.128
2021-02-03,10.45,0.182
2021-02-04,10.41,0.086
2021-02-05,11.25,0.473
2021-02-08,11.44,0.334
2021-02-09,11.22,0.093
2021-02-10,11.07,0.118
2021-02-11,10.85,0.111
2021-02-12,10.72,0.094
2021-02-16,10.85,0.046
2021-02-17,10.71,0.090
2021-02-18,10.76,0.105
2021-02-19,10.84,0.042
2021-02-22,10.85,0.040
2021-02-23,10.66,0.143
2021-02-24,10.75,0.060
2021-02-25,10.43,0.128
2021-02-26,10.42,0.204
2021-03-01,10.35,0.032
2021-03-02,10,0.139
2021-03-03,10,0.062
2021-03-04,9.91,0.140
2021-03-05,10.1,0.092
2021-03-08,10.02,0.097
2021-03-09,9.9785,0.024
2021-03-10,10.11,0.099
2021-03-11,9.96,0.032
2021-03-12,10.03,0.027
2021-03-15,10,0.016
2021-03-16,9.965,0.061
2021-03-17,9.93,0.033
2021-03-18,9.92,0.012
2021-03-19,9.8,0.019
2021-03-22,9.84,0.023
2021-03-23,9.88,0.142
2021-03-24,9.87,0.063
2021-03-25,10.18,4.514
2021-03-26,10.55,2.878
2021-03-29,10.75,1.407
2021-03-30,10.52,0.757
2021-03-31,10.49,0.537
2021-04-01,10.45,0.388
2021-04-05,10.37,0.483
2021-04-06,10.33,0.378
2021-04-07,10.45,1.484
2021-04-08,10.64,0.408
2021-04-09,10.57,0.222
2021-04-12,10.45,0.154
2021-04-13,10.41,0.437
2021-04-14,10.28,0.271
2021-04-15,10.18,0.301
2021-04-16,10.22,0.361
2021-04-19,10.2,0.430
2021-04-20,10.15,0.326
2021-04-21,10.21,0.451
2021-04-22,10.1,0.263
2021-04-23,10.18,0.137
2021-04-26,10.19,0.135
2021-04-27,10.13,0.100
2021-04-28,10.17,0.156
2021-04-29,10.1,0.166
2021-04-30,10.12,0.118
2021-05-03,10.07,0.220
2021-05-04,10.09,0.246
2021-05-05,10.04,0.065
2021-05-06,10.09,0.135
2021-05-07,10.06,0.096
2021-05-10,10.05,0.191
2021-05-11,10.05,0.122
2021-05-12,10.02,0.072
2021-05-13,10.02,0.103
2021-05-14,10.04,0.085
2021-05-17,10.03,0.127
2021-05-18,10.05,0.061
2021-05-19,10.01,0.050
2021-05-20,10.03,0.077
2021-05-21,10.02,0.022
2021-05-24,10.05,0.086
2021-05-25,10.01,0.519
2021-05-26,10.03,0.157
2021-05-27,10.03,0.036
2021-05-28,10.04,0.094
2021-06-01,10,0.405
2021-06-02,10.03,0.101
2021-06-03,10.04,0.543
2021-06-04,10.03,0.050
2021-06-07,10.07,0.089
2021-06-08,10.24,0.638
2021-06-09,10.13,0.135
2021-06-10,10.2,0.084
2021-06-11,10.19,0.038
2021-06-14,10.16,0.157
2021-06-15,10.19,0.081
2021-06-16,10.12,0.172
2021-06-17,10.08,0.193
2021-06-18,10.05,0.070
2021-06-21,10.07,0.125
2021-06-22,10.03,0.092
2021-06-23,10.04,0.040
2021-06-24,10.03,0.117
2021-06-25,10.1,0.125
2021-06-28,10.16,0.194
2021-06-29,10.19,0.132
2021-06-30,10.31,0.559
2021-07-01,10.3,0.250
2021-07-02,10.53,0.549
2021-07-06,10.44,0.394
2021-07-07,10.52,0.284
2021-07-08,10.43,0.463
2021-07-09,10.46,0.580
2021-07-12,10.39,0.213
2021-07-13,10.25,0.334
2021-07-14,10.21,0.365
2021-07-15,10.14,0.242
2021-07-16,10.12,0.271
2021-07-19,10.08,0.343
2021-07-20,10.07,0.052
2021-07-21,10.14,0.075
2021-07-22,10.04,0.093
2021-07-23,10.06,0.108
2021-07-26,10,0.392
2021-07-27,10.01,0.400
2021-07-28,10.05,0.091
2021-07-29,10.07,0.313
2021-07-30,10.04,0.052
2021-08-02,10.04,0.042
2021-08-03,10.03,0.055
2021-08-04,10.04,0.074
2021-08-05,10.03,0.103
2021-08-06,10.03,0.044
2021-08-09,10.07,0.063
2021-08-10,10.07,0.090
2021-08-11,10.06,0.186
2021-08-12,10.09,0.804
2021-08-13,10.1,0.133
2021-08-16,10.1,0.997
2021-08-17,10.09,0.348
2021-08-18,10.08,0.105
2021-08-19,10.09,0.098
2021-08-20,10.06,0.208
2021-08-23,10.07,0.254
2021-08-24,10.08,0.133
2021-08-25,10.08,0.207
2021-08-26,10.09,0.429
2021-08-27,10.01,0.318
2021-08-30,9.98,0.379
2021-08-31,10.16,0.529
2021-09-01,10.03,0.607
2021-09-02,10.5,0.413
2021-09-03,12.24,1.105
2021-09-07,11.77,0.792
2021-09-08,11.91,0.256
2021-09-09,12.85,1.273
2021-09-10,11.64,0.875
2021-09-13,11.31,0.303
2021-09-14,10.67,0.456
2021-09-15,10.56,0.415
2021-09-16,11.07,0.384
2021-09-17,11.36,0.341
2021-09-20,11.36,0.417
2021-09-21,11.45,0.342
2021-09-22,11.29,0.331
2021-09-23,10.89,0.335
2021-09-24,10.48,0.351
2021-09-27,9.99,0.423
2021-09-28,10.05,0.623
2021-09-29,9.85,0.429
2021-09-30,9.63,0.381
2021-10-01,9.48,0.389
2021-10-04,9.03,0.406
2021-10-05,9.11,0.768
2021-10-06,8.8,0.275
2021-10-07,9.77,1.648
2021-10-08,9.48,0.431
2021-10-11,9.25,0.476
2021-10-12,9.94,2.252
2021-10-13,12.13,13.281
2021-10-14,10.9,3.762
2021-10-15,10.25,1.764
2021-10-18,10.6,1.268
2021-10-19,10.67,0.826
2021-10-20,10.9,0.896
2021-10-21,11.24,1.208
2021-10-22,12.16,2.020
2021-10-25,13.14,17.386
2021-10-26,13.19,4.404
2021-10-27,12.95,2.369
2021-10-28,12.45,1.411
2021-10-29,11.88,1.211
2021-11-01,12.72,1.644
2021-11-02,12.6,0.901
2021-11-03,13.01,1.091
2021-11-04,12.99,0.747
2021-11-05,12.76,0.558
2021-11-08,12.23,0.788
2021-11-09,11.91,0.715
2021-11-10,9.99,3.193
2021-11-11,10.88,1.398
2021-11-12,11.25,0.635
2021-11-15,10.5,0.838
2021-11-16,10.32,5.831
2021-11-17,10,0.939
2021-11-18,10.16,1.029
2021-11-19,9.93,1.057
2021-11-22,9.61,1.157
2021-11-23,9.21,1.700
2021-11-24,9.2,1.227
2021-11-26,9.44,0.444
2021-11-29,9.1,0.799
2021-11-30,8.87,0.914
2021-12-01,8.11,1.112
2021-12-02,8.06,2.001
2021-12-03,7.71,1.828
2021-12-06,7.39,1.226
2021-12-07,7.99,1.008
2021-12-08,7.82,0.542
2021-12-09,7.91,0.726
2021-12-10,7.87,0.391
2021-12-13,7.32,0.579
2021-12-14,7.28,0.596
2021-12-15,7.63,0.665
2021-12-16,7.3,0.513
2021-12-17,7.24,1.132
2021-12-20,6.87,0.787
2021-12-21,7.05,0.469
2021-12-22,7.39,0.754
2021-12-23,7.34,0.452
2021-12-27,7.21,0.463
2021-12-28,6.82,1.150
2021-12-29,6.73,0.739
2021-12-30,6.64,0.656
2021-12-31,6.75,0.496
2022-01-03,7.19,0.518
2022-01-04,6.86,0.456
2022-01-05,6.22,0.771
2022-01-06,6.13,0.589
2022-01-07,6.32,0.404
2022-01-10,5.91,0.735
2022-01-11,6.03,0.297
2022-01-12,6.08,0.322
2022-01-13,5.62,0.339
2022-01-14,5.95,0.709
2022-01-18,5.86,0.438
2022-01-19,5.75,0.403
2022-01-20,5.67,0.278
2022-01-21,5.29,0.654
2022-01-24,5.36,0.694
2022-01-25,5.4,0.241
2022-01-26,5.37,0.307
2022-01-27,5.08,0.361
2022-01-28,4.86,0.600
2022-01-31,5.37,0.403
2022-02-01,5.51,0.343
2022-02-02,5.29,0.159
2022-02-03,5.64,9.693
2022-02-04,5.79,1.106
2022-02-07,5.87,0.446
2022-02-08,5.95,0.454
2022-02-09,6.06,0.459
2022-02-10,6.28,0.528
2022-02-11,5.89,0.441
2022-02-14,5.56,0.232
2022-02-15,5.73,0.574
2022-02-16,5.7,0.289
2022-02-17,5.23,0.404
2022-02-18,5.12,0.294
2022-02-22,4.92,0.300
2022-02-23,4.67,0.266
2022-02-24,5.23,0.514
2022-02-25,5.46,0.603
2022-02-28,5.6,0.311
2022-03-01,5.41,0.113
2022-03-02,5.55,0.240
2022-03-03,5.49,0.161
2022-03-04,5.67,0.286
2022-03-07,5.34,0.207
2022-03-08,5.75,0.438
2022-03-09,6.22,0.267
2022-03-10,6.13,0.226
2022-03-11,5.97,0.189
2022-03-14,5.76,0.245
2022-03-15,6.13,0.202
2022-03-16,6.69,0.418
2022-03-17,6.98,0.326
2022-03-18,7.57,0.392
2022-03-21,7.74,0.808
2022-03-22,7.79,0.274
2022-03-23,7.98,0.419
2022-03-24,8.09,0.218
2022-03-25,7.82,0.359
2022-03-28,7.74,0.209
2022-03-29,8.18,0.460
2022-03-30,7.96,0.408
2022-03-31,8.48,0.920
2022-04-01,6.05,3.256
2022-04-04,6.48,1.004
2022-04-05,6.32,0.818
2022-04-06,6.35,0.396
2022-04-07,6.32,0.322
2022-04-08,6.3,0.199
2022-04-11,6.16,0.256
2022-04-12,6.03,0.294
2022-04-13,6.18,0.185
2022-04-14,5.92,0.238
2022-04-18,5.76,0.300
2022-04-19,6.2,0.253
2022-04-20,6.4,0.233
2022-04-21,6.11,0.290
2022-04-22,6.29,0.211
2022-04-25,6.17,0.288
2022-04-26,5.69,0.407
2022-04-27,5.73,0.213
2022-04-28,6.16,0.302
2022-04-29,6.02,0.332
2022-05-02,6.36,0.278
2022-05-03,6.45,0.223
2022-05-04,6.52,0.218
2022-05-05,6.24,0.132
2022-05-06,6.09,0.338
2022-05-09,5.51,0.290
2022-05-10,4.99,0.463
2022-05-11,3.93,0.790
2022-05-12,3.7,0.654
2022-05-13,3.76,0.609
2022-05-16,3.76,0.299
2022-05-17,4.26,0.360
2022-05-18,4.12,0.323
2022-05-19,3.99,0.425
2022-05-20,4.01,0.640
2022-05-23,3.75,0.464
2022-05-24,3.56,0.270
2022-05-25,3.8,0.212
2022-05-26,4.02,0.206
2022-05-27,4.15,0.307
2022-05-31,4.36,0.263
2022-06-01,4.31,0.256
2022-06-02,4.46,0.240
2022-06-03,4.54,0.197
2022-06-06,4.3,0.249
2022-06-07,4.31,0.345
2022-06-08,4.22,0.194
2022-06-09,4.01,0.292
2022-06-10,3.84,0.183
2022-06-13,3.61,0.302
2022-06-14,3.52,0.199
2022-06-15,3.79,0.234
2022-06-16,3.81,0.338
2022-06-17,3.9,0.315
2022-06-21,3.68,0.429
2022-06-22,3.54,0.309
2022-06-23,3.32,0.417
2022-06-24,3.17,2.368
2022-06-27,3.16,0.296
2022-06-28,3.01,0.210
2022-06-29,2.93,0.354
2022-06-30,3.04,0.214
2022-07-01,3.13,0.095
2022-07-05,3.34,0.222
2022-07-06,3.12,0.131
2022-07-07,3.31,0.171
2022-07-08,3.33,0.101
2022-07-11,3.16,0.095
2022-07-12,3.21,0.132
2022-07-13,3.19,0.084
2022-07-14,3.15,0.144
2022-07-15,3.25,0.105
2022-07-18,3.3,0.146
