date,close,volume
2011-06-13,132.696,0.079
2011-06-14,141.257,0.055
2011-06-15,141.257,0.049
2011-06-16,148.32,0.068
2011-06-17,147.614,0.134
2011-06-20,141.214,0.057
2011-06-21,147.421,0.084
2011-06-22,145.538,0.030
2011-06-23,149.818,0.077
2011-06-24,151.958,4.611
2011-06-27,143.397,0.115
2011-06-28,139.117,0.067
2011-06-29,139.117,0.158
2011-06-30,139.117,0.068
2011-07-01,149.818,0.129
2011-07-05,147.892,0.124
2011-07-06,141.257,0.063
2011-07-07,147.678,0.023
2011-07-08,145.538,0.006
2011-07-11,143.397,0.072
2011-07-12,139.117,0.044
2011-07-13,141.257,0.018
2011-07-14,135.949,0.090
2011-07-15,134.601,0.030
2011-07-18,134.815,0.062
2011-07-19,132.696,0.272
2011-07-20,145.538,0.174
2011-07-21,160.52,0.106
2011-07-22,144.468,0.177
2011-07-25,143.397,0.073
2011-07-26,147.678,0.089
2011-07-27,141.257,0.027
2011-07-28,141.257,0.044
2011-07-29,145.966,0.001
2011-08-01,144.682,0.007
2011-08-02,139.117,0.003
2011-08-03,135.264,0.011
2011-08-04,121.995,0.038
2011-08-05,107.013,0.025
2011-08-08,108.297,0.030
2011-08-09,102.732,0.023
2011-08-10,104.873,0.006
2011-08-11,107.441,0.019
2011-08-12,111.294,0.003
2011-08-15,109.581,0.018
2011-08-16,111.294,0.001
2011-08-17,112.15,0.006
2011-08-18,109.153,0.006
2011-08-19,113.862,0.015
2011-08-22,108.297,0.001
2011-08-23,104.873,0.004
2011-08-24,111.294,0.011
2011-08-25,121.995,0.013
2011-08-26,127.56,0.023
2011-08-29,148.962,0.009
2011-08-30,154.094,0.013
2011-08-31,157.951,0.011
2011-09-01,156.239,0.017
2011-09-02,156.667,0.010
2011-09-06,154.099,0.004
2011-09-07,148.534,0.012
2011-09-08,144.253,0.014
2011-09-09,143.826,0.012
2011-09-12,142.969,0.010
2011-09-13,136.544,0.019
2011-09-14,148.106,0.027
2011-09-15,146.394,0.006
2011-09-16,146.822,0.016
2011-09-19,145.11,0.013
2011-09-20,147.678,0.014
2011-09-21,142.113,0.024
2011-09-22,124.135,0.010
2011-09-23,124.991,0.006
2011-09-26,122.851,0.005
2011-09-27,123.707,0.009
2011-09-28,127.131,0.006
2011-09-29,127.131,0.005
2011-09-30,128.416,0.005
2011-10-03,123.707,0.022
2011-10-04,124.135,0.019
2011-10-05,125.055,0.006
2011-10-06,123.279,0.005
2011-10-07,123.707,0.012
2011-10-10,113.434,0.006
2011-10-11,115.146,0.039
2011-10-12,115.146,0.010
2011-10-13,118.998,0.008
2011-10-14,119.426,0.002
2011-10-17,115.702,0.000
2011-10-18,117.286,0.004
2011-10-19,116.858,0.046
2011-10-20,102.732,0.042
2011-10-21,106.157,0.029
2011-10-24,105.301,0.029
2011-10-25,101.876,0.059
2011-10-26,96.3117,0.010
2011-10-27,101.512,0.029
2011-10-28,98.4519,0.036
2011-10-31,100.164,0.009
2011-11-01,100.592,0.008
2011-11-02,100.592,0.010
2011-11-03,96.3117,0.006
2011-11-04,93.7434,0.026
2011-11-07,93.7434,0.031
2011-11-08,94.5995,0.008
2011-11-09,94.1714,0.016
2011-11-10,89.8909,0.045
2011-11-11,94.1714,0.014
2011-11-14,91.1751,0.002
2011-11-15,94.1714,0.026
2011-11-16,92.4592,0.017
2011-11-17,94.1714,0.016
2011-11-18,94.1714,0.022
2011-11-21,94.1714,0.005
2011-11-22,94.1714,0.007
2011-11-23,94.1714,0.013
2011-11-25,94.1714,0.010
2011-11-28,93.7434,0.011
2011-11-29,89.8909,0.039
2011-11-30,82.614,0.015
2011-12-01,85.1823,0.036
2011-12-02,85.1823,0.015
2011-12-05,81.7579,0.018
2011-12-06,80.0457,0.010
2011-12-07,78.3335,0.012
2011-12-08,76.6213,0.005
2011-12-09,72.7688,0.007
2011-12-12,69.7725,0.023
2011-12-13,68.9164,0.017
2011-12-14,68.4883,0.010
2011-12-15,66.3481,0.024
2011-12-16,63.7797,0.004
2011-12-19,59.9273,0.194
2011-12-20,56.5029,0.053
2011-12-21,57.787,0.035
2011-12-22,58.6431,0.030
2011-12-23,50.5101,0.049
2011-12-27,50.0821,0.077
2011-12-28,45.93,0.066
2011-12-29,42.8052,0.041
2011-12-30,41.521,0.037
2012-01-03,41.9491,0.010
2012-01-04,41.9491,0.005
2012-01-05,40.6649,0.015
2012-01-06,40.6649,0.018
2012-01-09,41.521,0.028
2012-01-10,41.9491,0.009
2012-01-11,39.8088,0.032
2012-01-12,41.093,0.020
