date,close,volume
2012-10-12,48.69,18.137
2012-10-15,51.94,3.092
2012-10-16,52.16,0.805
2012-10-17,55.41,1.386
2012-10-18,53.42,1.523
2012-10-19,55.25,1.442
2012-10-22,55.4,0.478
2012-10-23,54.38,0.386
2012-10-24,52.12,0.470
2012-10-25,49.24,0.801
2012-10-26,50,0.485
2012-10-31,48.5,0.401
2012-11-01,48.92,0.306
2012-11-02,48.52,0.179
2012-11-05,49.88,0.310
2012-11-06,48.54,0.510
2012-11-07,48.07,0.284
2012-11-08,49.05,0.279
2012-11-09,48,0.120
2012-11-12,46.99,0.275
2012-11-13,46.99,0.279
2012-11-14,47.38,0.267
2012-11-15,47.94,0.372
2012-11-16,48.85,0.194
2012-11-19,49.61,0.216
2012-11-20,50.71,0.315
2012-11-21,51.95,0.441
2012-11-23,50.79,0.149
2012-11-26,50.82,0.342
2012-11-27,51.85,0.852
2012-11-28,53.19,1.233
2012-11-29,51.7,1.467
2012-11-30,50.1,0.584
2012-12-03,50.1,0.622
2012-12-04,49.7,0.346
2012-12-05,48.3,0.370
2012-12-06,48.4,0.163
2012-12-07,51.2,0.681
2012-12-10,51.5,0.612
2012-12-11,51.69,0.445
2012-12-12,51.4,0.327
2012-12-13,50.27,0.156
2012-12-14,50.48,0.158
2012-12-17,50.94,0.149
2012-12-18,53.39,0.517
2012-12-19,55.13,1.444
2012-12-20,56.16,0.800
2012-12-21,55.95,1.956
2012-12-24,56.17,0.109
2012-12-26,54.53,0.308
2012-12-27,54,0.356
2012-12-28,53.54,0.161
2012-12-31,54.5,0.446
2013-01-02,52.91,1.104
2013-01-03,52.3,0.434
2013-01-04,52.19,0.548
2013-01-07,52.17,0.349
2013-01-08,51.87,0.400
2013-01-09,52.75,0.319
2013-01-10,53.2,0.405
2013-01-11,52.79,0.405
2013-01-14,51.26,0.522
2013-01-15,51.04,0.284
2013-01-16,51.55,0.197
2013-01-17,50.95,0.421
2013-01-18,50.39,0.163
2013-01-22,50.63,0.312
2013-01-23,51.93,0.744
2013-01-24,53.16,0.462
2013-01-25,54.39,0.315
2013-01-28,56.5,0.386
2013-01-29,55.93,0.390
2013-01-30,53.24,0.384
2013-01-31,53.42,0.348
2013-02-01,53.52,0.308
2013-02-04,52.61,0.278
2013-02-05,52.01,0.270
2013-02-06,51.99,0.324
2013-02-07,51.08,0.189
2013-02-08,50.87,0.254
2013-02-11,50.88,0.310
2013-02-12,51.55,0.435
2013-02-13,51.54,0.242
2013-02-14,51,0.411
2013-02-15,50.44,0.436
2013-02-19,51.37,0.307
2013-02-20,54.31,1.431
2013-02-21,55.14,0.650
2013-02-22,55.25,0.295
2013-02-25,55.99,0.352
2013-02-26,55.66,0.433
2013-02-27,55.9,0.221
2013-02-28,55.29,0.320
2013-03-01,57.62,0.453
2013-03-04,61.72,1.767
2013-03-05,63.93,0.986
2013-03-06,64.54,0.821
2013-03-07,61.63,1.529
2013-03-08,62.5,1.789
2013-03-11,61.93,0.508
2013-03-12,62.3,0.532
2013-03-13,62.78,0.382
2013-03-14,63.26,0.283
2013-03-15,63.16,0.825
2013-03-18,62.49,0.366
2013-03-19,60.37,0.654
2013-03-20,60.32,0.387
2013-03-21,61.11,0.493
2013-03-22,62.49,0.435
2013-03-25,62.43,0.413
2013-03-26,61.25,0.495
2013-03-27,61.61,0.205
2013-03-28,61.63,0.350
2013-04-01,61.27,0.930
2013-04-02,61.59,0.259
2013-04-03,59.06,0.749
2013-04-04,58.59,0.803
2013-04-05,58.05,0.756
2013-04-08,59.68,1.029
2013-04-09,58.55,0.956
2013-04-10,58.83,15.512
2013-04-11,60.06,3.933
2013-04-12,61.3,2.838
2013-04-15,59.45,1.100
2013-04-16,60,0.713
2013-04-17,58.99,0.751
2013-04-18,57.68,0.864
2013-04-19,58.71,0.873
2013-04-22,58.15,0.638
2013-04-23,59.44,1.026
2013-04-24,58.83,0.461
2013-04-25,60.81,2.346
2013-04-26,61.92,1.684
2013-04-29,63.34,1.004
2013-04-30,62.65,0.747
2013-05-01,61.62,0.734
2013-05-02,62.31,0.709
2013-05-03,63.8,0.565
2013-05-06,65.68,1.356
2013-05-07,63.15,0.717
2013-05-08,63.76,0.535
2013-05-09,64.96,0.492
2013-05-10,67.41,0.867
2013-05-13,66.3,0.527
2013-05-14,68.7,1.096
2013-05-15,66.8,0.733
2013-05-16,67.21,0.541
2013-05-17,67.98,0.594
2013-05-20,67.92,0.663
2013-05-21,68.49,0.562
2013-05-22,65.75,1.300
