ticker,company,first_trade_date,proceeds_usd_b,ndq_1m,spx_1m,ndq_3m,spx_3m,ndq_6m,spx_6m,ndq_12m,spx_12m
BABA,Alibaba,2014-09-19,25.0,-5.76,-5.29,3.68,2.53,9.41,4.68,5.44,-2.16
V,Visa,2008-03-19,17.9,8.73,7.08,9.94,3.03,-5.03,-10.94,-32.87,-39.62
ENE,Enel,1999-11-02,16.5,15.8,4.55,36.64,4.55,24.34,5.0,13.01,6.06
FB,Facebook,2012-05-18,16.0,5.43,4.85,10.72,9.49,2.09,4.49,25.83,28.65
GM,General Motors,2010-11-18,15.8,5.38,4.21,12.71,12.23,11.49,11.41,2.93,1.62
DT,Deutsche Telekom,1996-11-18,13.0,2.46,-0.74,8.85,10.24,8.71,14.2,28.66,28.38
RIVN,Rivian,2021-11-10,11.9,0.05,1.41,-9.2,-3.07,-27.22,-15.42,-28.86,-14.86
AWE,AT&T Wireless,2000-04-27,10.6,-15.07,-5.93,1.81,-1.04,-14.43,-6.83,-45.0,-14.46
KFT,Kraft Foods,2001-06-13,8.7,-1.74,-2.09,-20.09,-12.01,-5.64,-8.44,-29.45,-18.69
UBER,Uber,2019-05-10,8.1,-1.19,0.15,0.53,1.29,6.54,7.07,16.11,1.7
FTE,France Telecom,1997-10-20,7.3,-5.04,-1.82,-5.79,1.59,13.77,18.31,-2.74,11.34
UPS,UPS,1999-11-10,5.5,14.71,3.17,42.13,3.16,10.89,2.5,2.4,2.61
IFX,Infineon,2000-03-13,5.2,-17.35,8.45,-23.22,4.51,-20.6,7.64,-58.94,-13.44
ARM,ARM Holdings,2023-09-14,4.9,-3.73,-3.94,5.8,4.48,14.7,13.58,26.33,25.04
CHU,China Unicom,2000-06-21,4.9,0.75,0.07,-4.1,-1.88,-38.2,-11.73,-49.34,-16.37
CIT,CIT Group,2002-07-02,4.6,-5.73,-6.69,-10.61,-10.57,-1.64,-7.2,23.63,4.82
DIDI,DiDi Global,2021-06-30,4.4,1.16,2.27,0.06,1.44,8.7,11.53,-23.96,-11.92
COC,Conoco,1998-10-22,4.4,13.25,7.89,39.16,14.42,55.76,26.11,65.42,20.69
BX,Blackstone,2007-06-22,4.1,1.97,0.56,3.18,1.54,2.0,-2.82,-7.85,-12.28
TPC,Travelers Property Casualty,2002-03-22,3.9,-6.54,-4.16,-22.17,-13.89,-34.04,-26.4,-26.01,-24.76
HCA,HCA Holdings,2011-03-10,3.8,2.94,2.55,-0.6,-0.47,-6.36,-8.43,10.64,5.85
GS,Goldman Sachs,1999-05-04,3.7,-3.29,-2.44,4.14,-0.74,19.42,1.66,52.32,8.58
AGR,Agere Systems,2001-03-28,3.6,11.95,8.65,11.9,5.01,-21.04,-12.68,-0.47,-0.51
ABNB,Airbnb,2020-12-10,3.5,5.37,3.63,8.5,8.2,14.25,16.0,25.99,28.46
SNAP,Snap,2017-03-02,3.4,0.86,-0.81,6.58,2.02,8.65,3.18,23.83,12.99
DASH,DoorDash,2020-12-09,3.4,5.65,3.45,7.95,7.37,14.02,15.65,25.76,27.08
SNOW,Snowflake,2020-09-16,3.4,6.0,2.89,13.98,9.13,18.69,15.65,37.39,32.14
CHTR,Charter Communications,1999-11-09,3.2,15.01,3.14,39.62,3.4,8.31,1.3,9.3,4.88
PRU,Prudential Financial,2001-12-13,3.0,2.79,2.4,-3.57,4.12,-20.2,-7.43,-30.01,-20.54
LU,Lucent Technologies,1996-04-03,3.0,6.16,-2.17,5.89,2.52,10.78,5.81,8.77,14.4
PTR,PetroChina,2000-04-06,2.9,-14.02,-5.14,-5.73,-1.49,-18.64,-4.33,-59.69,-24.84
MET,MetLife,2000-04-05,2.9,-8.45,-3.68,-5.0,-2.06,-15.5,-3.57,-57.19,-22.59
KMI,Kinder Morgan,2011-02-11,2.9,-5.06,-3.56,0.68,0.65,-10.73,-11.31,4.34,1.7
SYF,Synchrony Financial,2014-07-31,2.9,4.82,3.77,4.11,2.67,6.08,3.33,17.36,8.97
