date,open,high,low,close,volume,quote_volume,trades
2024-10-01,152.51000000,157.34000000,142.29000000,145.13000000,4991241.41900000,745512858.98242000,2123355
2024-10-02,145.12000000,148.96000000,138.61000000,140.18000000,3817606.11900000,550570685.31102000,2440923
2024-10-03,140.18000000,142.96000000,133.11000000,136.82000000,3742347.84500000,514812941.95153000,2544894
2024-10-04,136.81000000,144.55000000,135.95000000,143.24000000,3120151.95300000,439091983.66735000,1282445
2024-10-05,143.24000000,144.93000000,141.06000000,142.59000000,1475217.81600000,211080413.77507000,714484
2024-10-06,142.59000000,146.75000000,142.00000000,146.48000000,1409071.40000000,203954747.24911000,763554
2024-10-07,146.47000000,152.40000000,143.50000000,143.96000000,3607754.95100000,535056906.39550000,1768564
2024-10-08,143.97000000,145.60000000,141.17000000,143.49000000,2153828.15300000,309326890.82457000,1304792
2024-10-09,143.50000000,145.34000000,138.66000000,139.33000000,2071518.06100000,293977143.09486000,1265373
2024-10-10,139.33000000,140.92000000,135.52000000,139.03000000,2289782.90700000,316766669.27985000,1253504
2024-10-11,139.04000000,146.62000000,138.68000000,145.53000000,2269088.91800000,325024798.54017000,1028243
2024-10-12,145.52000000,147.32000000,144.71000000,146.40000000,1347679.54800000,197164215.71221000,587595
2024-10-13,146.39000000,148.86000000,144.45000000,147.74000000,1599054.83300000,234391884.38395000,827089
2024-10-14,147.74000000,158.10000000,146.80000000,157.59000000,3987055.14500000,612698964.45627000,1744075
2024-10-15,157.59000000,159.73000000,150.30000000,154.76000000,4480025.11100000,692975854.02436000,2210459
2024-10-16,154.76000000,158.41000000,153.00000000,154.28000000,2851816.35000000,442239613.53750000,1710126
2024-10-17,154.28000000,155.73000000,147.66000000,150.50000000,2664809.94800000,404740607.93776000,1329012
2024-10-18,150.50000000,156.65000000,149.56000000,154.94000000,1829394.11800000,281306391.09424000,1063679
2024-10-19,154.93000000,159.85000000,153.45000000,159.79000000,1724504.16600000,269205539.47737000,678270
2024-10-20,159.79000000,167.94000000,157.58000000,167.40000000,3094698.82500000,499091756.88122000,1326223
2024-10-21,167.40000000,171.76000000,160.99000000,166.17000000,4807758.74200000,802248688.37832000,2074468
2024-10-22,166.16000000,170.99000000,162.99000000,167.59000000,4115685.50200000,688160680.55922000,1526765
2024-10-23,167.60000000,174.30000000,164.13000000,170.85000000,4509792.29200000,757152123.98221000,2198916
2024-10-24,170.86000000,179.30000000,170.50000000,177.19000000,3893052.12000000,680676981.90358000,1905295
2024-10-25,177.19000000,177.60000000,159.12000000,164.90000000,5718307.06600000,975203392.12616000,2802265
2024-10-26,164.91000000,173.25000000,162.43000000,170.88000000,3010702.79600000,505678400.81293000,1497920
2024-10-27,170.87000000,178.27000000,170.26000000,176.63000000,2606131.77100000,456430957.53051000,1472999
2024-10-28,176.63000000,179.80000000,172.45000000,178.29000000,3877330.22100000,682720697.43000000,2015079
2024-10-29,178.28000000,183.38000000,176.41000000,179.42000000,4046109.93900000,729686178.77882000,2186480
2024-10-30,179.43000000,181.36000000,173.01000000,174.87000000,2893112.75100000,510367902.92025000,1693721
2024-10-31,174.87000000,176.56000000,167.56000000,168.69000000,2661529.29800000,458128321.23974000,1555163
2024-11-01,168.69000000,174.00000000,163.43000000,166.10000000,3325662.44700000,557854086.52407000,2057625
2024-11-02,166.11000000,168.61000000,162.11000000,166.17000000,1603273.60300000,264909940.27946000,985042
2024-11-03,166.16000000,166.61000000,157.82000000,162.53000000,2745309.82900000,443630725.97122000,1259979
2024-11-04,162.52000000,165.04000000,155.11000000,157.95000000,3019251.32500000,486901138.20844000,1767941
2024-11-05,157.95000000,169.30000000,156.86000000,166.62000000,3438156.87100000,563101491.34140000,1606290
2024-11-06,166.63000000,190.01000000,166.40000000,186.59000000,10385235.99200000,1909187913.25849000,3093254
2024-11-07,186.59000000,197.84000000,185.84000000,196.35000000,4210329.82000000,805298768.52591000,2196009
2024-11-08,196.36000000,205.00000000,195.64000000,199.85000000,5129244.18800000,1026696176.73963000,2638632
2024-11-09,199.86000000,203.45000000,194.86000000,199.89000000,2833304.99600000,565544974.68205000,1495027
2024-11-10,199.89000000,215.27000000,198.68000000,210.07000000,7968628.23000000,1650287820.01631000,3972272
2024-11-11,210.07000000,224.00000000,204.16000000,222.13000000,8935306.96800000,1923338631.62358000,4568795
2024-11-12,222.12000000,225.21000000,204.71000000,211.64000000,9001990.65900000,1932232237.82400000,5190083
2024-11-13,211.63000000,220.44000000,200.67000000,215.13000000,10834052.79900000,2287313943.88454000,6265437
2024-11-14,215.14000000,222.80000000,206.78000000,209.57000000,7458523.70800000,1606845662.13136000,4182236
2024-11-15,209.57000000,220.50000000,204.48000000,218.45000000,5271091.92400000,1117551465.38711000,3372136
2024-11-16,218.44000000,221.99000000,213.35000000,215.71000000,4204469.30000000,915510373.45120000,2296856
2024-11-17,215.72000000,242.33000000,212.10000000,237.47000000,8433424.20400000,1960587171.68452000,3010544
2024-11-18,237.47000000,248.44000000,234.01000000,239.79000000,7485850.36100000,1804490953.93808000,3957941
2024-11-19,239.79000000,247.50000000,233.40000000,237.63000000,5595613.40200000,1350659078.09119000,3110191
2024-11-20,237.64000000,242.54000000,230.37000000,235.48000000,5472203.47600000,1289751835.31258000,2032597
2024-11-21,235.48000000,259.80000000,229.60000000,256.37000000,8595939.99400000,2120001679.01770000,4031098
2024-11-22,256.38000000,264.39000000,251.47000000,256.90000000,5155181.90500000,1326798359.45141000,2948004
2024-11-23,256.90000000,264.00000000,252.69000000,254.89000000,4836783.22700000,1248450578.22800000,2659103
2024-11-24,254.90000000,259.78000000,240.93000000,252.73000000,3665245.81200000,918826601.65279000,2627402
2024-11-25,252.74000000,256.70000000,231.21000000,234.18000000,4699636.31700000,1149248739.70010000,2322351
2024-11-26,234.18000000,239.66000000,221.80000000,230.69000000,5012621.45600000,1157330881.01868000,2836351
2024-11-27,230.69000000,243.33000000,227.51000000,241.96000000,3807284.29700000,898274398.45495000,2039178
2024-11-28,241.96000000,245.28000000,232.80000000,237.59000000,2694033.06000000,640996914.88985000,1578431
2024-11-29,237.58000000,246.77000000,236.55000000,243.33000000,2890806.07900000,699720103.91490000,1929299
2024-11-30,243.33000000,245.40000000,237.50000000,237.60000000,2279256.81600000,550410857.76520000,1597288
2024-12-01,237.60000000,239.89000000,234.10000000,236.80000000,2435872.95400000,577329157.83331000,1318224
2024-12-02,236.79000000,238.20000000,220.00000000,225.72000000,5868060.27500000,1332640777.80382000,3614201
2024-12-03,225.73000000,239.60000000,215.00000000,233.92000000,6918604.72800000,1569314471.01514000,3078327
2024-12-04,233.92000000,241.00000000,224.67000000,229.15000000,4966864.20500000,1160635660.55354000,2318217
2024-12-05,229.15000000,244.77000000,222.95000000,235.84000000,7391549.99300000,1743320226.07373000,4216711
2024-12-06,235.84000000,247.00000000,230.92000000,236.87000000,5136553.82700000,1225759651.15259000,2524507
2024-12-07,236.87000000,243.61000000,234.12000000,238.14000000,2933621.43800000,701579666.62957000,1606160
2024-12-08,238.14000000,241.51000000,233.22000000,237.02000000,2222837.55100000,526456056.82991000,1517123
2024-12-09,237.02000000,237.28000000,203.00000000,216.63000000,7391583.70800000,1645628210.24901000,3396912
2024-12-10,216.62000000,221.06000000,203.21000000,213.60000000,7018707.73000000,1494401948.21546000,3598912
2024-12-11,213.60000000,230.65000000,211.51000000,227.29000000,4688484.80800000,1044765862.39521000,2618186
2024-12-12,227.29000000,234.69000000,225.67000000,226.96000000,3559104.06700000,818643376.99027000,2608984
2024-12-13,226.95000000,228.44000000,220.60000000,224.79000000,2889526.77100000,648285519.70338000,2190401
2024-12-14,224.79000000,227.51000000,215.13000000,219.93000000,2155654.47100000,478317134.38287000,1665180
2024-12-15,219.94000000,225.50000000,215.68000000,224.27000000,2130908.00900000,469130131.65022000,1736084
2024-12-16,224.26000000,227.56000000,213.26000000,216.19000000,3863409.20100000,847551475.44925000,2819674
2024-12-17,216.19000000,228.95000000,211.36000000,223.15000000,5177736.74800000,1148991395.56908000,3540116
2024-12-18,223.16000000,226.04000000,204.80000000,206.53000000,5565926.56300000,1191309782.42507000,3308807
2024-12-19,206.53000000,212.14000000,187.00000000,193.81000000,7402649.88600000,1481798971.45023000,2909503
2024-12-20,193.82000000,199.81000000,175.26000000,194.48000000,9793383.66800000,1829760754.59580000,2947219
2024-12-21,194.48000000,201.98000000,178.30000000,181.45000000,5243572.61700000,988401321.05068000,1709667
2024-12-22,181.46000000,187.87000000,176.88000000,180.52000000,3573368.97200000,650666980.95565000,1394689
2024-12-23,180.53000000,193.48000000,176.48000000,190.11000000,4217664.03000000,778371475.46434000,1557287
2024-12-24,190.12000000,199.00000000,186.13000000,197.09000000,2709577.67200000,525181703.24730000,1127114
2024-12-25,197.09000000,201.85000000,195.00000000,197.44000000,1958644.48700000,388541679.68554000,1035650
2024-12-26,197.45000000,199.71000000,186.54000000,188.46000000,2045566.10000000,392011204.61471000,1279313
2024-12-27,188.46000000,194.39000000,182.74000000,184.22000000,1946509.64500000,366402095.63853000,1296546
2024-12-28,184.22000000,196.10000000,183.82000000,195.50000000,1494847.86700000,283725173.66562000,840578
2024-12-29,195.50000000,197.71000000,188.57000000,189.94000000,1560190.01900000,302551036.41535000,861977
2024-12-30,189.94000000,196.47000000,185.89000000,191.38000000,2415985.48800000,462392599.37737000,1417191
2024-12-31,191.37000000,199.27000000,188.04000000,189.31000000,2461978.26200000,476451076.66598000,1249847
2025-01-01,189.31000000,195.33000000,188.00000000,194.28000000,1655160.10200000,316558431.70699000,865024
2025-01-02,194.28000000,210.48000000,193.43000000,208.31000000,3224923.98200000,660170412.59900000,1615355
2025-01-03,208.30000000,219.83000000,205.63000000,217.99000000,3251086.55600000,694370536.02236000,1394237
2025-01-04,218.00000000,218.18000000,213.54000000,216.67000000,1943711.39000000,420200326.94243000,890249
2025-01-05,216.67000000,219.05000000,211.46000000,213.41000000,2101040.54500000,451130694.57664000,902175
2025-01-06,213.41000000,223.18000000,211.56000000,218.22000000,2855362.85800000,621928433.92415000,1394456
2025-01-07,218.22000000,219.11000000,201.80000000,202.17000000,3742298.28400000,786521513.88121000,1475754
2025-01-08,202.17000000,203.28000000,188.34000000,197.48000000,4446830.23000000,873913213.74813000,2031142
2025-01-09,197.48000000,199.06000000,182.00000000,184.95000000,3607147.19300000,684344914.22428000,1961684
2025-01-10,184.96000000,193.02000000,183.51000000,187.68000000,3642892.08200000,687353802.31763000,1852360
2025-01-11,187.69000000,191.91000000,184.01000000,188.09000000,2204486.05600000,411533204.16097000,937504
2025-01-12,188.09000000,191.00000000,185.17000000,188.51000000,1330917.13500000,250109405.58559000,723323
2025-01-13,188.50000000,191.99000000,168.88000000,182.87000000,5669925.61300000,1015651889.57331000,2547519
2025-01-14,182.86000000,190.11000000,181.88000000,187.57000000,2737355.06400000,510258589.71248000,1379846
2025-01-15,187.57000000,206.04000000,185.84000000,205.86000000,3768610.58000000,735465044.82904000,1825631
2025-01-16,205.86000000,217.14000000,198.47000000,211.14000000,5710255.65700000,1196137559.83409000,2762727
2025-01-17,211.15000000,222.11000000,209.84000000,219.51000000,4384472.83800000,952526271.30062000,2186663
2025-01-18,219.52000000,270.67000000,217.29000000,261.97000000,19971981.58000000,4849480490.65198000,9712182
