ticker,first_trade_date,first_close_adj_usd,return_from_first_close_1d_pct,return_from_first_close_1m_pct,return_from_first_close_3m_pct,return_from_first_close_6m_pct,source
META,2012-05-18,37.93,-11.0,-16.5,-50.2,-40.0,"yfinance adjusted close downloaded 2026-06-08; returns start at first listed close, not IPO allocation price"
BABA,2014-09-19,89.17,-4.3,-6.0,16.4,-10.3,"yfinance adjusted close downloaded 2026-06-08; returns start at first listed close, not IPO allocation price"
V,2008-03-19,12.42,13.9,22.1,48.4,13.6,"yfinance adjusted close downloaded 2026-06-08; returns start at first listed close, not IPO allocation price"
UBER,2019-05-10,41.57,-10.8,2.1,-3.7,-34.1,"yfinance adjusted close downloaded 2026-06-08; returns start at first listed close, not IPO allocation price"
ABNB,2020-12-10,144.71,-3.8,11.1,45.1,3.1,"yfinance adjusted close downloaded 2026-06-08; returns start at first listed close, not IPO allocation price"
ARM,2023-09-14,63.59,-4.5,-20.1,3.2,99.7,"yfinance adjusted close downloaded 2026-06-08; returns start at first listed close, not IPO allocation price"
SNOW,2020-09-16,253.93,-10.4,-5.1,29.4,-14.7,"yfinance adjusted close downloaded 2026-06-08; returns start at first listed close, not IPO allocation price"
DASH,2020-12-09,189.51,-1.9,-11.9,-25.1,-18.7,"yfinance adjusted close downloaded 2026-06-08; returns start at first listed close, not IPO allocation price"
RIVN,2021-11-10,100.73,22.1,13.8,-35.7,-75.9,"yfinance adjusted close downloaded 2026-06-08; returns start at first listed close, not IPO allocation price"
CRWD,2019-06-12,58.0,16.5,26.7,19.2,-18.0,"yfinance adjusted close downloaded 2026-06-08; returns start at first listed close, not IPO allocation price"
DDOG,2019-09-19,37.55,-3.7,-15.9,1.8,-11.1,"yfinance adjusted close downloaded 2026-06-08; returns start at first listed close, not IPO allocation price"
