order,event,timing,model_date_if_prospectus_2026_06_11,incremental_perf_case_m,incremental_perf_case_x_ipo_float,cumulative_perf_case_m,cumulative_perf_case_x_ipo_float,cumulative_perf_case_pct_basic_common,cumulative_perf_case_pct_post_class_a,incremental_no_perf_case_m,incremental_no_perf_case_x_ipo_float,cumulative_no_perf_case_m,cumulative_no_perf_case_x_ipo_float,cumulative_no_perf_case_pct_basic_common,cumulative_no_perf_case_pct_post_class_a,note,event_date,date_basis,date_precision
0,IPO float,At offering,2026-06-11,555.555555,1.0,555.555555,1.0,4.248709722567172,7.527652199187732,555.555555,1.0,555.555555,1.0,4.248709722567172,7.527652199187732,Starting tradable Class A supply.,2026-06-11,At offering,model_calendar_date
1,First earnings release unlock,Q2 2026 earnings window,TBD - likely Aug 2026,911.5,1.6407000016406998,1467.055555,2.6407000016407,11.21956777135399,19.87827117474566,911.5,1.6407000016406998,1467.055555,2.6407000016407,11.21956777135399,19.87827117474566,20% release from 180-day pool.,TBD - likely Aug 2026,Q2 2026 earnings window,expected_month
2,Performance early release,Q2 2026 earnings window,TBD - likely Aug 2026,455.8,0.82044000082044,1922.8555549999999,3.4611400024611396,14.705379179622813,26.05425815122323,0.0,0.0,1467.055555,2.6407000016407,11.21956777135399,19.87827117474566,Only in performance case: price at least 30% above IPO price for 5 of 10 trading days.,TBD - likely Aug 2026,Q2 2026 earnings window,expected_month
3,Day 70 release,70th day after prospectus,2026-08-20,319.0,0.5742000005742,2241.855555,4.03534000303534,17.144988304760496,30.376636048319206,319.0,0.5742000005742,1786.055555,3.2149000022149,13.65917689649167,24.200649071841635,7% release from 180-day pool.,2026-08-20,70th day after prospectus,model_calendar_date
4,Day 90 release,90th day after prospectus,2026-09-09,319.0,0.5742000005742,2560.855555,4.60954000360954,19.584597429898174,34.69901394541518,319.0,0.5742000005742,2105.055555,3.7891000027890995,16.098786021629348,28.52302696893761,7% release from 180-day pool.,2026-09-09,90th day after prospectus,model_calendar_date
5,Affiliate catch-up release,91st day after prospectus,2026-09-10,59.1,0.10638000010638,2619.955555,4.71592000371592,20.036575170636848,35.49980558716556,59.1,0.10638000010638,2164.155555,3.8954800028954795,16.550763762368025,29.32381861068799,"Rule 144 timing catch-up; shown as incremental tradable supply, not a new percentage tranche.",2026-09-10,91st day after prospectus,model_calendar_date
6,Day 105 release,105th day after prospectus,2026-09-24,328.4,0.5911200005911199,2948.355555,5.30704000430704,22.548072464352252,39.94955135959916,328.4,0.5911200005911199,2492.555555,4.4866000034866,19.062261056083425,33.77356438312159,7% release from 180-day pool.,2026-09-24,105th day after prospectus,model_calendar_date
7,Day 120 release,120th day after prospectus,2026-10-09,328.4,0.5911200005911199,3276.755555,5.89816000489816,25.059569758067656,44.399297132032764,328.4,0.5911200005911199,2820.955555,5.07772000407772,21.573758349798833,38.22331015555518,7% release from 180-day pool.,2026-10-09,120th day after prospectus,model_calendar_date
8,Day 135 release,135th day after prospectus,2026-10-24,328.4,0.5911200005911199,3605.1555550000003,6.48928000548928,27.57106705178306,48.84904290446636,328.4,0.5911200005911199,3149.355555,5.66884000466884,24.085255643514238,42.673055927988784,7% release from 180-day pool.,2026-10-24,135th day after prospectus,model_calendar_date
9,Q3 2026 earnings release unlock,Q3 2026 earnings window,TBD - likely Nov 2026,1300.0,2.34000000234,4905.155555,8.82928000782928,37.51304781253222,66.46374906818036,1300.0,2.34000000234,4449.355555,8.008840007008839,34.0272364042634,60.28776209170279,28% release from 180-day pool.,TBD - likely Nov 2026,Q3 2026 earnings window,expected_month
10,Day 180 final release,180th day after prospectus,2026-12-08,328.4,0.5911200005911199,5233.555555,9.4204000084204,40.02454510624763,70.91349484061395,797.6,1.4356800014356799,5246.9555550000005,9.44452000844452,40.127023984858425,71.09506181183993,"Final 180-day release is smaller if the performance release happened, larger if it did not.",2026-12-08,180th day after prospectus,model_calendar_date
