date,close,volume
2020-12-10,144.71,70.448
2020-12-11,139.25,26.981
2020-12-14,130,16.966
2020-12-15,124.8,10.914
2020-12-16,137.99,20.410
2020-12-17,147.05,15.055
2020-12-18,157.3,15.954
2020-12-21,163.02,17.788
2020-12-22,163.19,9.873
2020-12-23,158.01,5.853
2020-12-24,154.84,3.621
2020-12-28,149,6.229
2020-12-29,150,5.402
2020-12-30,148.43,3.462
2020-12-31,146.8,2.796
2021-01-04,139.15,6.410
2021-01-05,148.3,5.974
2021-01-06,142.77,4.214
2021-01-07,151.27,4.483
2021-01-08,149.77,4.616
2021-01-11,148.13,2.802
2021-01-12,160.8,8.124
2021-01-13,169.99,12.530
2021-01-14,180.5,9.927
2021-01-15,169.27,8.576
2021-01-19,173.69,4.685
2021-01-20,161.83,8.517
2021-01-21,180.4,17.618
2021-01-22,181.87,7.137
2021-01-25,177.53,7.473
2021-01-26,192.74,6.461
2021-01-27,201.25,11.020
2021-01-28,187.37,7.078
2021-01-29,183.63,4.530
2021-02-01,180.44,3.877
2021-02-02,179.17,4.414
2021-02-03,185.72,4.169
2021-02-04,195.8,3.632
2021-02-05,195.31,2.870
2021-02-08,200.43,3.488
2021-02-09,199.88,4.726
2021-02-10,211.66,5.257
2021-02-11,216.84,3.595
2021-02-12,212.68,3.042
2021-02-16,209.86,3.488
2021-02-17,201.96,4.091
2021-02-18,198.04,2.791
2021-02-19,201.07,2.606
2021-02-22,195.34,3.674
2021-02-23,187.59,5.902
2021-02-24,200.2,5.984
2021-02-25,182.06,11.569
2021-02-26,206.35,19.369
2021-03-01,196.42,15.799
2021-03-02,189.9,9.145
2021-03-03,180.4,10.593
2021-03-04,180.23,9.994
2021-03-05,179.81,8.789
2021-03-08,180.81,4.989
2021-03-09,183.11,6.080
2021-03-10,183.79,6.146
2021-03-11,197.87,6.031
2021-03-12,206.74,5.557
2021-03-15,209.99,4.329
2021-03-16,200.01,4.606
2021-03-17,201.36,3.782
2021-03-18,191.45,3.712
2021-03-19,194.39,4.445
2021-03-22,195,3.740
2021-03-23,187.14,3.461
2021-03-24,178.85,3.756
2021-03-25,176.16,5.264
2021-03-26,174.4,3.563
2021-03-29,182.5,4.509
2021-03-30,183.1,2.903
2021-03-31,187.94,3.080
2021-04-01,188.24,2.921
2021-04-05,186.69,2.591
2021-04-06,190.03,3.566
2021-04-07,179.94,6.664
2021-04-08,180.18,2.625
2021-04-09,179.5,2.910
2021-04-12,176.49,2.620
2021-04-13,177.95,3.574
2021-04-14,176.43,2.939
2021-04-15,175.35,2.895
2021-04-16,178.69,3.058
2021-04-19,174.58,3.126
2021-04-20,169.57,4.575
2021-04-21,167.07,3.879
2021-04-22,170.71,3.857
2021-04-23,174.25,3.330
2021-04-26,174.88,2.549
2021-04-27,177.94,2.883
2021-04-28,180,2.410
2021-04-29,177.68,3.116
2021-04-30,172.71,3.580
2021-05-03,168.11,3.150
2021-05-04,168.9,4.658
2021-05-05,162.33,3.590
2021-05-06,153.64,8.529
2021-05-07,151.21,7.134
2021-05-10,146.73,5.827
2021-05-11,142.73,8.257
2021-05-12,140.25,5.308
2021-05-13,135.75,13.005
2021-05-14,141.2,20.325
2021-05-17,132.5,39.755
2021-05-18,135.02,18.556
2021-05-19,138.19,15.566
2021-05-20,136.2,8.904
2021-05-21,134.71,10.057
2021-05-24,135.91,8.544
2021-05-25,133.99,10.436
2021-05-26,134.75,8.179
2021-05-27,143.17,21.270
2021-05-28,140.4,12.001
2021-06-01,144.31,16.552
2021-06-02,151,16.245
2021-06-03,144.19,11.083
2021-06-04,150.73,8.535
2021-06-07,148.97,7.780
2021-06-08,147.01,7.126
2021-06-09,144.85,5.607
2021-06-10,146.12,9.483
2021-06-11,148.44,4.820
2021-06-14,149.21,6.108
2021-06-15,151.78,12.008
2021-06-16,149.15,9.633
2021-06-17,150.7,8.171
2021-06-18,152.52,11.629
2021-06-21,149.7,8.040
2021-06-22,149.68,5.790
2021-06-23,151.58,9.336
2021-06-24,150.73,8.173
2021-06-25,149.67,6.452
2021-06-28,149.94,6.451
2021-06-29,146.08,7.479
2021-06-30,153.14,9.799
2021-07-01,153.08,9.787
2021-07-02,150.23,4.827
2021-07-06,148.37,5.069
2021-07-07,143.72,5.651
2021-07-08,142.53,4.827
2021-07-09,149.64,7.065
2021-07-12,146.69,3.276
2021-07-13,143.41,5.872
2021-07-14,139.09,8.546
2021-07-15,137.5,6.576
2021-07-16,134.31,6.095
2021-07-19,131.88,7.216
2021-07-20,136.09,6.275
2021-07-21,139.25,5.270
2021-07-22,139.47,4.628
2021-07-23,138.73,2.811
2021-07-26,142,6.490
2021-07-27,141.58,5.113
2021-07-28,143.3,4.467
2021-07-29,143.47,5.006
2021-07-30,144.01,4.167
2021-08-02,145.49,4.522
2021-08-03,145.65,5.491
2021-08-04,147.4,4.631
2021-08-05,150.32,4.738
2021-08-06,149.99,4.044
2021-08-09,149.44,5.542
2021-08-10,147.95,5.150
2021-08-11,148.16,6.718
2021-08-12,151.15,8.794
2021-08-13,152.76,16.789
2021-08-16,148.57,7.715
2021-08-17,143.9,7.855
2021-08-18,146.74,5.190
2021-08-19,142.65,4.732
2021-08-20,143.7,2.996
2021-08-23,146.79,4.727
2021-08-24,161.42,22.097
2021-08-25,160.35,7.268
2021-08-26,152.73,7.243
2021-08-27,154.18,4.819
2021-08-30,156.02,3.969
2021-08-31,154.99,7.404
2021-09-01,156.59,4.325
2021-09-02,157.2,3.301
2021-09-03,158,4.456
2021-09-07,165,11.009
2021-09-08,163.93,5.867
2021-09-09,166,5.936
2021-09-10,165.2,3.985
2021-09-13,160.32,7.521
2021-09-14,163.3,4.656
2021-09-15,166.37,5.656
2021-09-16,168.15,6.095
2021-09-17,166.59,20.025
