date,close,volume
2017-03-02,24.48,217.110
2017-03-03,27.09,148.227
2017-03-06,23.77,72.939
2017-03-07,21.44,71.900
2017-03-08,22.81,49.834
2017-03-09,22.71,25.803
2017-03-10,22.07,18.338
2017-03-13,21.09,20.606
2017-03-14,20.58,20.033
2017-03-15,20.77,24.986
2017-03-16,19.89,25.630
2017-03-17,19.54,34.252
2017-03-20,19.93,21.016
2017-03-21,20.38,20.080
2017-03-22,21.82,47.599
2017-03-23,23.13,40.645
2017-03-24,22.74,17.257
2017-03-27,23.83,48.398
2017-03-28,22.21,49.890
2017-03-29,22.55,31.476
2017-03-30,22.23,17.094
2017-03-31,22.53,15.087
2017-04-03,22.35,12.521
2017-04-04,22.14,16.314
2017-04-05,20.7,26.099
2017-04-06,20.57,21.934
2017-04-07,20.82,10.581
2017-04-10,20.97,8.630
2017-04-11,20.7,13.311
2017-04-12,20.22,9.363
2017-04-13,20.19,13.600
2017-04-17,19.94,11.715
2017-04-18,20.55,15.975
2017-04-19,20.62,8.738
2017-04-20,21.15,10.026
2017-04-21,20.93,7.742
2017-04-24,21.2,5.928
2017-04-25,21.34,9.588
2017-04-26,21.58,10.141
2017-04-27,22.01,10.764
2017-04-28,22.55,9.032
2017-05-01,22.21,7.959
2017-05-02,21.99,8.136
2017-05-03,21.82,7.074
2017-05-04,22.59,19.005
2017-05-05,23.19,12.834
2017-05-08,22.46,18.088
2017-05-09,23.32,17.935
2017-05-10,22.98,47.513
2017-05-11,18.05,131.860
2017-05-12,19.14,68.971
2017-05-15,20.74,69.830
2017-05-16,20.78,41.017
2017-05-17,19.9,29.254
2017-05-18,20.27,16.005
2017-05-19,20,18.961
2017-05-22,20.08,9.152
2017-05-23,20.03,8.239
2017-05-24,20.53,13.810
2017-05-25,21.93,24.326
2017-05-26,21.22,13.374
2017-05-30,21.45,9.509
2017-05-31,21.21,9.507
2017-06-01,21.34,7.147
2017-06-02,21.09,9.595
2017-06-05,20.21,15.225
2017-06-06,20.36,6.666
2017-06-07,19.56,16.977
2017-06-08,18.85,32.645
2017-06-09,18.08,31.119
2017-06-12,18.2,16.173
2017-06-13,18.1,11.899
2017-06-14,17.88,9.455
2017-06-15,17,22.971
2017-06-16,17.54,18.956
2017-06-19,17.88,28.863
2017-06-20,17.31,13.961
2017-06-21,17.27,8.711
2017-06-22,17.64,9.873
2017-06-23,17.54,7.084
2017-06-26,17.29,9.873
2017-06-27,17.34,7.719
2017-06-28,17.76,10.457
2017-06-29,17.89,12.194
2017-06-30,17.77,5.994
2017-07-03,17.59,3.286
2017-07-05,17.32,6.043
2017-07-06,17.31,6.192
2017-07-07,17.18,4.547
2017-07-10,16.99,8.567
2017-07-11,15.47,41.936
2017-07-12,15.24,19.528
2017-07-13,15.69,21.598
2017-07-14,15.27,14.646
2017-07-17,15.13,13.290
2017-07-18,14.73,19.934
2017-07-19,14.97,14.395
2017-07-20,14.89,11.870
2017-07-21,14.48,14.253
2017-07-24,14.08,14.764
2017-07-25,13.89,15.149
2017-07-26,13.4,21.614
2017-07-27,14,27.168
2017-07-28,13.81,16.736
2017-07-31,13.67,48.965
2017-08-01,13.1,27.630
2017-08-02,12.65,25.295
2017-08-03,12.93,61.534
2017-08-04,13.52,53.081
2017-08-07,13.39,34.038
2017-08-08,13.02,30.038
2017-08-09,13.56,26.832
2017-08-10,13.77,57.717
2017-08-11,11.83,83.853
2017-08-14,12.6,84.795
2017-08-15,12.74,43.528
2017-08-16,13.12,33.265
2017-08-17,13.35,36.194
2017-08-18,14.01,46.205
2017-08-21,13.58,44.264
2017-08-22,14.53,38.183
2017-08-23,15.09,65.743
2017-08-24,14.53,30.675
2017-08-25,14.78,23.067
2017-08-28,15.19,28.019
2017-08-29,14.99,20.726
2017-08-30,14.96,22.479
