date,close,volume
2011-11-04,522.2,49.813
2011-11-07,519.4,9.516
2011-11-08,498,4.267
2011-11-09,480.4,4.544
2011-11-10,488.2,2.344
2011-11-11,485,1.316
2011-11-14,481.4,1.578
2011-11-15,481.4,1.210
2011-11-16,480.6,0.755
2011-11-17,495.4,1.623
2011-11-18,523.8,2.504
2011-11-21,471.6,2.590
2011-11-22,401.4,5.228
2011-11-23,339.2,7.887
2011-11-25,335,2.125
2011-11-28,304.8,6.019
2011-11-29,320.2,3.373
2011-11-30,350,2.409
2011-12-01,379,2.154
2011-12-02,379,3.659
2011-12-05,380.8,1.794
2011-12-06,384.8,1.671
2011-12-07,423,3.512
2011-12-08,445.4,3.115
2011-12-09,469.6,2.729
2011-12-12,445,2.277
2011-12-13,466.4,2.335
2011-12-14,451,2.341
2011-12-15,461.6,1.136
2011-12-16,460.8,4.532
2011-12-19,440,1.130
2011-12-20,455,1.104
2011-12-21,459.2,1.028
2011-12-22,442,1.297
2011-12-23,456.8,1.228
2011-12-27,461,0.771
2011-12-28,452.4,0.732
2011-12-29,427.6,0.875
2011-12-30,412.6,1.240
2012-01-03,385.4,2.516
2012-01-04,375.8,1.455
2012-01-05,357.6,2.736
2012-01-06,356.2,1.461
2012-01-09,366,1.771
2012-01-10,383,1.525
2012-01-11,380,1.684
2012-01-12,385.2,1.343
2012-01-13,383,0.857
2012-01-17,390.2,1.721
2012-01-18,411.4,1.852
2012-01-19,423.8,1.602
2012-01-20,417,0.925
2012-01-23,415.2,1.125
2012-01-24,412,1.076
2012-01-25,401.6,1.763
2012-01-26,390.6,1.119
2012-01-27,400.8,1.241
2012-01-30,392.6,2.407
2012-01-31,407.8,1.543
2012-02-01,429.8,2.290
2012-02-02,461.6,5.157
2012-02-03,488.6,3.047
2012-02-06,470.2,2.494
2012-02-07,483.8,2.633
2012-02-08,491.6,8.745
2012-02-09,423.4,11.127
2012-02-10,420.6,2.039
2012-02-13,389,5.470
2012-02-14,387,2.284
2012-02-15,390.2,1.381
2012-02-16,406,2.561
2012-02-17,405.2,2.491
2012-02-21,396.8,1.482
2012-02-22,388.2,1.192
2012-02-23,387.8,1.516
2012-02-24,390,1.355
2012-02-27,389.8,1.204
2012-02-28,397.4,2.474
2012-02-29,394.4,1.371
2012-03-01,390.2,1.252
2012-03-02,384,1.353
2012-03-05,362.6,3.027
2012-03-06,366.6,1.630
2012-03-07,346.4,2.313
2012-03-08,339.6,4.497
2012-03-09,341.2,1.942
2012-03-12,334.8,1.292
2012-03-13,341.2,1.912
2012-03-14,337.6,1.336
2012-03-15,356.8,3.595
2012-03-16,360.4,2.025
2012-03-19,356.4,0.962
2012-03-20,354.4,1.608
2012-03-21,346,2.361
2012-03-22,337.8,2.211
2012-03-23,337.8,2.081
2012-03-26,347.6,2.233
2012-03-27,365.6,2.169
2012-03-28,356,2.564
2012-03-29,354,1.127
2012-03-30,367.6,2.593
2012-04-02,305.6,10.090
2012-04-03,300.4,3.501
2012-04-04,290.8,3.570
2012-04-05,283.6,4.371
2012-04-09,277.8,3.238
2012-04-10,271,3.462
2012-04-11,261.6,2.423
2012-04-12,271.2,2.819
2012-04-13,262.4,1.954
2012-04-16,253.4,1.672
2012-04-17,251.6,1.852
