date,close,volume
2011-06-13,7.7509,0.512
2011-06-14,8.0233,0.424
2011-06-15,7.8918,0.587
2011-06-16,7.8166,0.543
2011-06-17,7.8824,0.596
2011-06-20,7.9106,0.424
2011-06-21,7.9576,0.455
2011-06-22,8.0045,0.542
2011-06-23,7.7603,0.945
2011-06-24,7.6945,1.605
2011-06-27,7.7978,0.580
2011-06-28,8.0139,0.589
2011-06-29,8.0139,0.349
2011-06-30,8.1267,0.666
2011-07-01,8.1924,0.613
2011-07-05,8.183,0.319
2011-07-06,8.2958,0.482
2011-07-07,8.3521,0.512
2011-07-08,8.3052,0.549
2011-07-11,8.1267,0.300
2011-07-12,8.1549,0.288
2011-07-13,8.2112,0.208
2011-07-14,7.9857,0.249
2011-07-15,7.8918,0.241
2011-07-18,7.7791,0.240
2011-07-19,7.9482,0.169
2011-07-20,7.873,0.174
2011-07-21,8.183,0.458
2011-07-22,8.1642,0.593
2011-07-25,8.0985,0.278
2011-07-26,8.1361,0.231
2011-07-27,8.0703,0.376
2011-07-28,8.0515,0.327
2011-07-29,8.0139,0.402
2011-08-01,7.9482,0.275
2011-08-02,7.8824,0.742
2011-08-03,7.9388,0.435
2011-08-04,7.6193,1.019
2011-08-05,7.422,0.953
2011-08-08,6.6235,1.016
2011-08-09,7.0932,0.869
2011-08-10,6.7174,0.507
2011-08-11,6.9241,0.551
2011-08-12,6.802,0.406
2011-08-15,7.2623,0.499
2011-08-16,7.2623,0.435
2011-08-17,7.3093,0.377
2011-08-18,6.9899,0.493
2011-08-19,6.6704,0.617
2011-08-22,6.6141,0.355
2011-08-23,6.9711,0.531
2011-08-24,7.0744,0.181
2011-08-25,6.6986,0.213
2011-08-26,6.7456,0.282
2011-08-29,6.9335,0.300
2011-08-30,6.9523,0.276
2011-08-31,6.9429,0.416
2011-09-01,6.9899,0.431
2011-09-02,6.8396,0.366
2011-09-06,6.8114,0.348
2011-09-07,7.0838,0.501
2011-09-08,6.8865,0.244
2011-09-09,6.398,0.668
2011-09-12,6.4074,0.965
2011-09-13,6.6329,0.560
2011-09-14,6.7268,0.384
2011-09-15,6.661,0.252
2011-09-16,6.5577,0.400
2011-09-19,6.5859,0.278
2011-09-20,6.5107,0.290
2011-09-21,6.4544,0.372
2011-09-22,6.2477,0.712
2011-09-23,6.2852,0.465
2011-09-26,6.1349,0.318
2011-09-27,6.2195,0.499
2011-09-28,5.9376,0.477
2011-09-29,6.0034,0.429
2011-09-30,5.8249,0.254
2011-10-03,5.4867,0.514
2011-10-04,5.994,0.905
2011-10-05,5.5806,0.855
2011-10-06,5.5994,0.949
2011-10-07,5.186,1.090
2011-10-10,5.684,0.667
2011-10-11,5.6182,0.387
2011-10-12,5.7591,1.026
2011-10-13,5.6934,0.596
2011-10-14,5.637,0.554
2011-10-17,5.4773,0.359
2011-10-18,5.4961,0.511
2011-10-19,5.327,0.664
2011-10-20,5.3551,0.576
2011-10-21,5.4867,0.496
2011-10-24,5.9282,0.585
2011-10-25,5.8343,0.564
2011-10-26,6.0034,0.456
2011-10-27,6.2571,0.579
2011-10-28,6.1537,0.333
2011-10-31,5.9752,0.410
2011-11-01,5.8531,0.722
2011-11-02,6.0128,0.291
2011-11-03,6.0692,0.280
2011-11-04,6.0692,0.252
2011-11-07,5.947,0.308
2011-11-08,6.8865,1.774
2011-11-09,6.4919,1.132
2011-11-10,6.6704,0.585
2011-11-11,6.708,0.366
2011-11-14,6.5765,0.315
2011-11-15,7.0275,0.821
2011-11-16,6.8677,0.416
2011-11-17,6.7926,0.380
2011-11-18,6.9241,0.446
2011-11-21,6.661,0.372
2011-11-22,6.5765,0.223
2011-11-23,6.2665,0.338
2011-11-25,6.2195,0.164
2011-11-28,6.5483,0.404
2011-11-29,6.4731,0.457
2011-11-30,6.6798,0.475
2011-12-01,6.5013,0.245
2011-12-02,6.8302,0.359
2011-12-05,7.0087,0.305
2011-12-06,6.9241,0.327
2011-12-07,7.0181,0.396
2011-12-08,6.6423,0.379
2011-12-09,7.0932,0.274
2011-12-12,7.1496,0.387
2011-12-13,7.2623,0.599
2011-12-14,7.0368,0.435
2011-12-15,7.0744,0.239
2011-12-16,7.0275,0.403
2011-12-19,6.5953,0.424
2011-12-20,7.1214,0.558
2011-12-21,6.9993,0.212
2011-12-22,7.0087,0.219
2011-12-23,6.8583,0.189
2011-12-27,7.1966,0.412
2011-12-28,7.0275,0.246
2011-12-29,7.1214,0.208
2011-12-30,7.2435,0.260
2012-01-03,7.0932,0.317
2012-01-04,6.8583,0.375
2012-01-05,6.755,0.194
2012-01-06,6.7738,0.345
2012-01-09,6.7926,0.216
2012-01-10,6.7926,0.193
2012-01-11,7.0087,0.185
2012-01-12,7.1214,0.303
2012-01-13,7.1308,0.174
2012-01-17,7.0744,0.287
2012-01-18,7.1308,0.176
2012-01-19,7.1308,0.291
2012-01-20,7.0744,0.359
2012-01-23,7.0932,0.239
2012-01-24,7.2247,0.200
2012-01-25,7.2811,0.170
2012-01-26,7.4126,0.348
2012-01-27,7.5818,0.390
2012-01-30,7.4596,0.153
