date,close,volume
2021-04-26,9.9,0.018
2021-04-27,9.92,0.072
2021-04-28,9.92,0.022
2021-04-29,10,0.133
2021-04-30,9.92,0.034
2021-05-03,9.9,0.016
2021-05-04,9.9,0.007
2021-05-05,9.87,0.003
2021-05-06,9.87,0.011
2021-05-07,9.82,0.005
2021-05-10,9.87,0.012
2021-05-11,9.81,0.296
2021-05-12,9.84,0.032
2021-05-13,9.84,0.000
2021-05-14,9.84,0.046
2021-05-17,9.82,0.006
2021-05-18,9.785,0.001
2021-05-19,9.78,0.276
2021-05-20,9.79,0.004
2021-05-21,9.79,0.218
2021-05-24,9.82,0.001
2021-05-25,9.82,0.000
2021-05-26,9.876,0.004
2021-05-27,9.88,0.014
2021-05-28,9.85,0.018
2021-06-01,9.81,0.016
2021-06-02,9.81,0.007
2021-06-03,9.82,0.014
2021-06-04,9.9,0.044
2021-06-07,9.88,0.005
2021-06-08,9.94,0.077
2021-06-09,9.95,0.017
2021-06-10,9.93,0.112
2021-06-11,9.955,0.000
2021-06-14,9.92,0.024
2021-06-15,9.871,0.001
2021-06-16,9.85,0.010
2021-06-17,9.86,0.011
2021-06-18,9.88,0.025
2021-06-21,9.856,0.008
2021-06-22,9.85,0.003
2021-06-23,9.9,0.012
2021-06-24,9.87,0.008
2021-06-25,9.843,0.001
2021-06-28,9.83,0.062
2021-06-29,9.88,0.018
2021-06-30,9.77,0.147
2021-07-01,9.82,0.085
2021-07-02,9.8,0.040
2021-07-06,9.806,0.006
2021-07-07,9.97,8.624
2021-07-08,9.95,0.706
2021-07-09,9.9,0.854
2021-07-12,9.93,0.657
2021-07-13,9.92,0.192
2021-07-14,9.9,0.142
2021-07-15,9.9,0.191
2021-07-16,9.9,0.056
2021-07-19,9.85,0.211
2021-07-20,9.85,0.059
2021-07-21,9.9,0.077
2021-07-22,9.92,0.035
2021-07-23,9.89,0.025
2021-07-26,9.88,0.036
2021-07-27,9.875,0.024
2021-07-28,9.85,1.390
2021-07-29,9.86,0.307
