date,close,volume
2011-06-13,1.8953,1.713
2011-06-14,1.9067,1.573
2011-06-15,1.8213,1.345
2011-06-16,1.7667,1.842
2011-06-17,1.7667,1.714
2011-06-20,1.734,1.538
2011-06-21,1.8353,1.496
2011-06-22,1.814,1.476
2011-06-23,1.8473,1.170
2011-06-24,1.838,3.609
2011-06-27,1.8307,1.809
2011-06-28,1.874,0.889
2011-06-29,1.886,1.462
2011-06-30,1.942,0.947
2011-07-01,1.9347,0.855
2011-07-05,1.9427,0.996
2011-07-06,1.9307,0.927
2011-07-07,1.982,1.328
2011-07-08,1.9207,1.241
2011-07-11,1.89,0.976
2011-07-12,1.878,1.045
2011-07-13,1.9093,1.066
2011-07-14,1.8407,1.159
2011-07-15,1.8387,0.709
2011-07-18,1.8153,0.852
2011-07-19,1.8593,1.026
2011-07-20,1.9127,3.048
2011-07-21,1.9133,1.012
2011-07-22,1.9527,0.584
2011-07-25,1.8993,0.673
2011-07-26,1.8667,0.761
2011-07-27,1.8427,0.959
2011-07-28,1.878,0.939
2011-07-29,1.878,0.948
2011-08-01,1.918,1.165
2011-08-02,1.8227,1.549
2011-08-03,1.8133,1.795
2011-08-04,1.65,3.065
2011-08-05,1.616,1.964
2011-08-08,1.576,2.609
2011-08-09,1.6707,1.333
2011-08-10,1.588,1.564
2011-08-11,1.6867,0.837
2011-08-12,1.754,1.009
2011-08-15,1.7487,0.739
2011-08-16,1.74,0.538
2011-08-17,1.722,0.644
2011-08-18,1.6173,1.057
2011-08-19,1.4867,1.375
2011-08-22,1.4633,0.986
2011-08-23,1.5307,0.869
2011-08-24,1.5913,0.684
2011-08-25,1.5407,0.680
2011-08-26,1.582,0.762
2011-08-29,1.6473,0.803
2011-08-30,1.642,0.366
2011-08-31,1.6493,0.824
2011-09-01,1.6,0.848
2011-09-02,1.538,0.770
2011-09-06,1.5293,0.810
2011-09-07,1.5893,0.459
2011-09-08,1.574,0.506
2011-09-09,1.5313,0.669
2011-09-12,1.5253,0.567
2011-09-13,1.6053,0.727
2011-09-14,1.6227,0.831
2011-09-15,1.6547,0.563
2011-09-16,1.72,1.417
2011-09-19,1.718,1.157
2011-09-20,1.734,1.180
2011-09-21,1.7233,0.988
2011-09-22,1.7087,0.776
2011-09-23,1.7587,1.156
