ticker,day1_close_date,abs_6m,excess_ndq_6m,excess_spx_6m,abs_12m,excess_ndq_12m,excess_spx_12m
ABNB,2020-12-10,3.1,-11.1,-12.9,24.7,-1.3,-3.8
ARM,2023-09-14,99.7,85.0,86.1,117.6,91.3,92.6
BABA,2014-09-19,-10.3,-19.7,-14.9,-31.9,-37.4,-29.8
DASH,2020-12-09,-18.7,-32.7,-34.3,-13.0,-38.8,-40.1
META,2012-05-18,-40.0,-42.1,-44.5,-34.2,-60.0,-62.8
RIVN,2021-11-10,-75.9,-48.7,-60.5,-67.3,-38.4,-52.4
SNAP,2017-03-02,-38.9,-47.5,-42.1,-26.4,-50.3,-39.4
SNOW,2020-09-16,-14.7,-33.4,-30.3,27.4,-10.0,-4.7
SYF,2014-07-31,34.2,28.1,30.8,49.4,32.0,40.4
UBER,2019-05-10,-34.1,-40.7,-41.2,-23.9,-40.0,-25.6
