cohort,series,horizon,median,hit_rate_pos,n
pres_all,SPX,+20,4.243936273143512,0.6666666666666666,9
pres_all,SPX,pre20,0.5484699969782519,0.7777777777777778,9
pres_all,SPX,+60,4.393389680794498,0.7777777777777778,9
pres_all,SPX,pre60,0.25825926202707655,0.6666666666666666,9
pres_all,SPX,+120,4.217751454055745,0.6666666666666666,9
pres_all,SPX,pre120,4.76307931479573,0.7777777777777778,9
pres_all,US,+20,4.975866693178208,0.6666666666666666,6
pres_all,US,pre20,0.275519272402996,0.6666666666666666,6
pres_all,US,+60,4.463087734361757,0.8333333333333334,6
pres_all,US,pre60,0.8588308083214333,0.6666666666666666,6
pres_all,US,+120,5.829678694628963,0.6666666666666666,6
pres_all,US,pre120,5.874479362912172,0.8333333333333334,6
pres_all,EM,+20,-1.4693125723338316,0.5,6
pres_all,EM,pre20,0.7596494575840655,0.8333333333333334,6
pres_all,EM,+60,2.3385674609165044,0.6666666666666666,6
pres_all,EM,pre60,3.616173636237885,0.6666666666666666,6
pres_all,EM,+120,5.27784917146397,0.8333333333333334,6
pres_all,EM,pre120,11.980819570960357,0.8333333333333334,6
pres_all,China,+20,0.14690019608220847,0.6,5
pres_all,China,pre20,-1.1441079267137362,0.4,5
pres_all,China,+60,-1.4344603165496843,0.4,5
pres_all,China,pre60,7.242388667000567,0.6,5
pres_all,China,+120,4.467302151655691,0.8,5
pres_all,China,pre120,11.98766254408305,0.8,5
pres_all,Europe,+20,1.9957570484112308,0.625,8
pres_all,Europe,pre20,-0.7395211735083913,0.375,8
pres_all,Europe,+60,3.9467858379726204,0.75,8
pres_all,Europe,pre60,0.3339339956856948,0.5,8
pres_all,Europe,+120,9.34359464816287,0.75,8
pres_all,Europe,pre120,3.8768742508327216,0.5,8
pres_all,Japan,+20,1.79467385566651,0.75,8
pres_all,Japan,pre20,-0.09118410551733896,0.5,8
pres_all,Japan,+60,0.56856786109217,0.5,8
pres_all,Japan,pre60,-0.44378096996358984,0.5,8
pres_all,Japan,+120,1.9940694054982906,0.625,8
pres_all,Japan,pre120,0.40320593992741516,0.625,8
pres_all,Taiwan,+20,1.5893259226663634,0.5,6
pres_all,Taiwan,pre20,0.39033562849786485,0.5,6
pres_all,Taiwan,+60,1.9358888155496314,0.5,6
pres_all,Taiwan,pre60,1.8693131087762014,0.8333333333333334,6
pres_all,Taiwan,+120,6.101152599496477,0.8333333333333334,6
pres_all,Taiwan,pre120,6.338176929571963,0.6666666666666666,6
pres_all,Bonds,+20,0.3468418232432346,0.5,6
pres_all,Bonds,pre20,-1.0430047581659032,0.3333333333333333,6
pres_all,Bonds,+60,-1.8436011920251503,0.3333333333333333,6
pres_all,Bonds,pre60,-1.863260653895221,0.3333333333333333,6
pres_all,Bonds,+120,-0.31192052281011273,0.5,6
pres_all,Bonds,pre120,0.29111645259368935,0.6666666666666666,6
pres_all,Gold,+20,-3.4760503438368775,0.2,5
pres_all,Gold,pre20,0.9400128710811344,0.6,5
pres_all,Gold,+60,-2.564248650773743,0.4,5
pres_all,Gold,pre60,-4.921627256515471,0.4,5
pres_all,Gold,+120,-3.0568252436337593,0.4,5
pres_all,Gold,pre120,9.217807358587233,0.8,5
pres_all,EM_minus_US,+20,-3.498738732975606,0.5,6
pres_all,EM_minus_US,pre20,1.3751161656264568,0.8333333333333334,6
pres_all,EM_minus_US,+60,-0.6564698943244074,0.3333333333333333,6
pres_all,EM_minus_US,pre60,1.7510256849680454,0.6666666666666666,6
pres_all,EM_minus_US,+120,-1.4054143927941647,0.3333333333333333,6
pres_all,EM_minus_US,pre120,3.522025081574498,0.6666666666666666,6
pres_all,China_minus_US,+20,-5.258472309991834,0.4,5
pres_all,China_minus_US,pre20,-1.4464519924775192,0.4,5
pres_all,China_minus_US,+60,1.1675966176293073,0.6,5
pres_all,China_minus_US,pre60,6.999615178758254,0.8,5
pres_all,China_minus_US,+120,-6.4178717703265455,0.4,5
pres_all,China_minus_US,pre120,3.5273537430417417,0.8,5
pres_all,Europe_minus_US,+20,0.12476249164700315,0.5,6
pres_all,Europe_minus_US,pre20,-1.5814755296893033,0.3333333333333333,6
pres_all,Europe_minus_US,+60,0.032299348755957524,0.5,6
pres_all,Europe_minus_US,pre60,-2.395064105207439,0.3333333333333333,6
pres_all,Europe_minus_US,+120,3.6305050627843567,0.6666666666666666,6
pres_all,Europe_minus_US,pre120,-3.927673389504526,0.3333333333333333,6
pres_all,flow_US,+4,2.428202077489485,1.0,6
pres_all,flow_US,pre4,1.5195653847848218,0.8333333333333334,6
pres_all,flow_US,+13,6.47950143625425,1.0,6
pres_all,flow_US,pre13,2.7669040119354418,1.0,6
pres_all,flow_US,+26,16.360062067799213,1.0,6
pres_all,flow_US,pre26,9.587214870387381,1.0,6
pres_all,flow_EM,+4,0.5685063075509668,0.5,6
pres_all,flow_EM,pre4,3.489356326853093,0.8333333333333334,6
pres_all,flow_EM,+13,11.212771199809062,0.8333333333333334,6
pres_all,flow_EM,pre13,4.5649749666339785,1.0,6
pres_all,flow_EM,+26,16.573545743002448,1.0,6
pres_all,flow_EM,pre26,13.55882497569536,0.6666666666666666,6
pres_all,flow_China,+4,4.409869102065155,0.6,5
pres_all,flow_China,pre4,-1.5426722225964857,0.2,5
pres_all,flow_China,+13,3.0260432234045886,0.6,5
pres_all,flow_China,pre13,10.10904457337623,0.8,5
pres_all,flow_China,+26,13.521291605409068,0.6,5
pres_all,flow_China,pre26,6.465024150793921,0.6,5
pres_all,flow_Europe,+4,2.538461958294917,0.75,8
pres_all,flow_Europe,pre4,0.5978007290858187,0.625,8
pres_all,flow_Europe,+13,4.39255481649444,0.75,8
pres_all,flow_Europe,pre13,2.974232767234955,0.625,8
pres_all,flow_Europe,+26,7.90018534831639,0.625,8
pres_all,flow_Europe,pre26,6.617089081127775,0.625,8
pres_all,flow_Bonds,+4,-1.879485272380642,0.16666666666666666,6
pres_all,flow_Bonds,pre4,0.3492858914903927,0.5,6
pres_all,flow_Bonds,+13,-2.1554836476748003,0.16666666666666666,6
pres_all,flow_Bonds,pre13,2.5710617005190373,0.8333333333333334,6
pres_all,flow_Bonds,+26,1.64277623563514,0.5,6
pres_all,flow_Bonds,pre26,6.610320923451634,1.0,6
pres_all,flow_Gold,+4,0.20695922556767998,0.6,5
pres_all,flow_Gold,pre4,1.3776934938933971,0.6,5
pres_all,flow_Gold,+13,3.112922984347791,0.6,5
pres_all,flow_Gold,pre13,6.351905339054724,0.8,5
pres_all,flow_Gold,+26,-6.503538360031037,0.4,5
pres_all,flow_Gold,pre26,10.450139109996197,1.0,5
pres_all,flow_Cash,+4,0.003932958445815871,0.6,5
pres_all,flow_Cash,pre4,-2.225713030954921,0.4,5
pres_all,flow_Cash,+13,6.25314065119238,0.6,5
pres_all,flow_Cash,pre13,13.54463697315413,0.6,5
pres_all,flow_Cash,+26,16.36310033434037,0.8,5
pres_all,flow_Cash,pre26,7.978272991063589,0.6,5
pres_flip,SPX,+20,3.4971662915016974,0.6666666666666666,6
pres_flip,SPX,pre20,0.7497687892118425,1.0,6
pres_flip,SPX,+60,4.355289876100074,0.6666666666666666,6
pres_flip,SPX,pre60,-1.108917491942792,0.5,6
pres_flip,SPX,+120,0.5401056210512403,0.5,6
pres_flip,SPX,pre120,3.1954244021214757,0.6666666666666666,6
pres_flip,US,+20,5.0169111417768155,0.75,4
pres_flip,US,pre20,0.3323587383160076,1.0,4
pres_flip,US,+60,5.510942322625599,0.75,4
pres_flip,US,pre60,-1.1139926113164713,0.5,4
pres_flip,US,+120,3.8310144161714854,0.5,4
pres_flip,US,pre120,6.61291729266331,0.75,4
pres_flip,EM,+20,-3.569079615493754,0.25,4
pres_flip,EM,pre20,1.235556596705254,0.75,4
pres_flip,EM,+60,-2.3845844266625322,0.5,4
pres_flip,EM,pre60,1.1700198738568472,0.5,4
pres_flip,EM,+120,5.27784917146397,0.75,4
pres_flip,EM,pre120,9.74929480891412,0.75,4
pres_flip,China,+20,-0.44997660234293846,0.5,4
pres_flip,China,pre20,-2.1455552931629422,0.25,4
pres_flip,China,+60,-1.7150881470214485,0.25,4
pres_flip,China,pre60,3.5082194697700793,0.5,4
pres_flip,China,+120,5.200064222850567,1.0,4
pres_flip,China,pre120,15.286530628062934,0.75,4
pres_flip,Europe,+20,-1.3462680850187134,0.4,5
pres_flip,Europe,pre20,-1.3289224883832402,0.2,5
pres_flip,Europe,+60,0.7569011855364789,0.6,5
