cohort,metric,median,hit_rate_pos,n
all_presidential,pre60,0.85,0.64,25
all_presidential,post20,1.08,0.6,25
all_presidential,post60,3.55,0.72,25
all_presidential,post120,1.86,0.64,25
all_presidential,rv_change_20d,-0.33,0.44,25
pres_D_win,pre60,0.26,0.62,13
pres_D_win,post20,-0.43,0.46,13
pres_D_win,post60,3.22,0.69,13
pres_D_win,post120,4.43,0.62,13
pres_D_win,rv_change_20d,-0.13,0.46,13
pres_R_win,pre60,3.49,0.67,12
pres_R_win,post20,3.82,0.75,12
pres_R_win,post60,3.94,0.75,12
pres_R_win,post120,1.5,0.67,12
pres_R_win,rv_change_20d,-0.45,0.42,12
pres_flip,pre60,-1.34,0.42,12
pres_flip,post20,3.06,0.75,12
pres_flip,post60,2.35,0.67,12
pres_flip,post120,1.5,0.67,12
pres_flip,rv_change_20d,-2.76,0.17,12
pres_hold,pre60,3.87,0.85,13
pres_hold,post20,-0.64,0.46,13
pres_hold,post60,3.55,0.77,13
pres_hold,post120,4.43,0.62,13
pres_hold,rv_change_20d,1.63,0.69,13
all_midterm,pre60,2.4,0.67,24
all_midterm,post20,1.02,0.71,24
all_midterm,post60,6.38,0.79,24
all_midterm,post120,11.13,0.92,24
all_midterm,rv_change_20d,-1.88,0.29,24
pres_1928-1948,pre60,2.36,0.67,6
pres_1928-1948,post20,-1.44,0.33,6
pres_1928-1948,post60,-0.74,0.5,6
pres_1928-1948,post120,4.0,0.5,6
pres_1928-1948,rv_change_20d,4.44,0.67,6
pres_1952-1990,pre60,1.84,0.6,10
pres_1952-1990,post20,1.26,0.7,10
pres_1952-1990,post60,1.6,0.8,10
pres_1952-1990,post120,1.5,0.7,10
pres_1952-1990,rv_change_20d,-0.54,0.4,10
pres_1992-2024,pre60,0.26,0.67,9
pres_1992-2024,post20,4.24,0.67,9
pres_1992-2024,post60,4.39,0.78,9
pres_1992-2024,post120,4.22,0.67,9
pres_1992-2024,rv_change_20d,-0.56,0.33,9
