event,date,industry,post20,post60,post120,rel_mkt_60
WWII begins (Europe),1939-09-01,Aero,24.4,37.4,35.9,23.8
Pearl Harbor,1941-12-08,Aero,5.9,-7.1,-15.9,-1.1
Korea invasion,1950-06-26,Aero,14.7,13.9,22.3,6.5
Kuwait invaded,1990-08-02,Guns,-10.7,-9.7,9.4,5.4
Kuwait invaded,1990-08-02,Aero,-9.9,-16.0,-9.0,-0.9
Desert Storm,1991-01-17,Guns,9.8,12.9,14.3,-5.1
Desert Storm,1991-01-17,Aero,5.9,5.1,8.7,-12.9
9/11 (reopen),2001-09-17,Guns,7.5,3.1,27.0,-7.1
9/11 (reopen),2001-09-17,Aero,1.7,11.6,35.4,1.4
Iraq invasion,2003-03-20,Guns,-3.2,4.1,8.6,-11.5
Iraq invasion,2003-03-20,Aero,-2.9,22.0,24.6,6.4
Russia invades Ukraine,2022-02-24,Guns,12.5,5.2,12.0,15.8
Russia invades Ukraine,2022-02-24,Aero,4.6,-16.2,-0.8,-5.6
Israel-Iran war,2025-06-13,Guns,1.1,0.5,-8.3,-9.5
Israel-Iran war,2025-06-13,Aero,7.3,9.4,13.0,-0.6
US strikes Iran,2025-06-22,Guns,-6.7,2.2,0.2,-8.0
US strikes Iran,2025-06-22,Aero,5.4,8.7,12.1,-1.5
