president,party,months,cum_gold_pct,ann_gold_pct,ann_vol_pct,sharpe,max_dd_pct,note
Nixon,R,35,267.9,56.3,27.4,1.58,-21.0,from 1971-08
Ford,R,28,-12.8,-5.7,18.0,-0.54,-40.2,
Carter,D,47,309.1,43.3,33.4,0.99,-23.9,
Reagan,R,95,-19.2,-2.7,17.2,-0.55,-40.2,
Bush 41,R,47,-15.1,-4.1,10.0,-0.96,-21.1,
Clinton,D,95,-19.4,-2.7,10.7,-0.64,-36.7,
Bush 43,R,95,227.9,16.2,14.2,0.95,-21.4,
Obama,D,95,26.4,3.0,12.7,0.3,-39.3,
Trump I,R,47,51.3,11.1,9.6,1.0,-10.2,
Biden,D,47,49.9,10.9,10.7,0.74,-14.5,
Trump II,R,16,41.9,30.0,19.8,1.22,-18.2,term in progress
