event,date,gold_5d,gold_20d,gold_60d,spx_5d,spx_20d,spx_60d
2016 election,2016-11-08,-4.0,-8.5,-3.1,1.9,4.6,6.9
2024 election,2024-11-05,-5.3,-3.2,3.4,3.4,5.1,4.3
2018 steel tariffs,2018-03-01,1.3,1.5,0.0,2.3,-1.4,1.6
2019 escalation tweets,2019-05-05,1.4,3.2,10.7,-4.2,-4.5,1.6
2025 Feb tariff EOs,2025-02-01,2.8,2.6,15.4,1.2,-3.7,-7.4
2025 Liberation Day,2025-04-02,-2.7,2.2,4.8,-3.8,-1.2,9.0
2025 pause,2025-04-09,8.5,7.6,8.6,-3.4,3.7,13.2
2025 Geneva step-down,2025-05-12,0.3,3.1,4.8,2.0,3.3,8.1
2025 Israel-Iran war,2025-06-13,-1.6,-2.4,6.0,0.8,4.4,8.9
2025 US strikes Iran,2025-06-22,-2.5,0.7,8.8,2.9,4.6,9.1
