industry,d_win_post60,d_hit,d_n,r_win_post60,r_hit,r_n,r_minus_d
Guns,-3.4,0.43,7,4.2,0.89,9,7.6
Mines,2.8,0.77,13,9.1,0.75,12,6.3
Smoke,1.7,0.69,13,7.5,0.83,12,5.8
Rtail,-0.0,0.46,13,4.0,0.75,12,4.0
Banks,5.1,0.77,13,8.6,0.83,12,3.5
BldMt,5.8,0.69,13,8.6,0.67,12,2.8
Gold,-4.9,0.43,7,-2.2,0.44,9,2.7
Paper,2.8,0.62,13,5.4,0.73,11,2.6
Autos,2.6,0.69,13,4.6,0.67,12,2.0
Drugs,1.6,0.69,13,3.5,0.75,12,1.9
Meals,4.9,0.69,13,6.6,0.83,12,1.7
Trans,7.2,0.69,13,8.6,0.75,12,1.4
Telcm,3.3,0.85,13,4.4,0.92,12,1.1
Chems,4.1,0.77,13,5.2,0.83,12,1.1
Steel,5.6,0.69,13,6.5,0.58,12,0.9
Books,3.6,0.69,13,4.4,0.67,12,0.8
Hardw,4.6,0.77,13,5.3,0.75,12,0.7
ElcEq,4.3,0.77,13,4.8,0.58,12,0.5
Mach,5.4,0.85,13,5.3,0.67,12,-0.1
Coal,7.0,0.62,13,6.9,0.75,12,-0.1
Clths,5.4,0.92,13,5.2,0.75,12,-0.2
Boxes,4.4,0.77,13,4.1,0.67,12,-0.3
Cnstr,6.9,0.77,13,6.6,0.67,12,-0.3
Insur,6.6,0.85,13,5.9,0.75,12,-0.7
Agric,6.3,0.77,13,5.6,0.92,12,-0.7
Aero,4.9,0.85,13,4.1,0.75,12,-0.8
Food,3.9,0.77,13,2.9,0.67,12,-1.0
Whlsl,7.1,0.69,13,6.1,0.83,12,-1.0
Other,7.3,0.77,13,6.3,0.58,12,-1.0
Fin,7.8,0.77,13,6.7,0.83,12,-1.1
Fun,12.0,0.85,13,10.6,0.83,12,-1.4
Soda,3.0,0.71,7,0.9,0.67,9,-2.1
BusSv,5.9,0.77,13,3.6,0.75,12,-2.3
Util,5.2,0.69,13,2.8,0.83,12,-2.4
PerSv,6.6,0.85,13,3.6,0.67,12,-3.0
Ships,9.7,0.77,13,6.7,0.92,12,-3.0
Hshld,5.2,0.62,13,1.9,0.67,12,-3.3
Toys,5.5,0.69,13,2.2,0.58,12,-3.3
MedEq,8.0,0.77,13,4.7,0.67,12,-3.3
Beer,4.2,0.77,13,0.8,0.5,12,-3.4
Oil,6.2,0.77,13,2.1,0.75,12,-4.1
Rubbr,7.2,0.77,13,2.2,0.64,11,-5.0
FabPr,8.6,0.71,7,3.4,0.67,9,-5.2
RlEst,13.0,0.69,13,7.4,0.92,12,-5.6
LabEq,8.8,0.92,13,2.6,0.75,12,-6.2
Softw,10.8,0.83,6,4.0,0.67,9,-6.8
Chips,5.3,0.77,13,-1.9,0.42,12,-7.2
Txtls,9.5,0.77,13,1.7,0.67,12,-7.8
