date,open,high,low,close,volume,quote_volume,trades
2024-10-01,2.45900000,2.60000000,2.15100000,2.29700000,147990638.71000000,351658815.41330000,2136638
2024-10-02,2.29700000,2.49500000,2.09700000,2.20600000,106091461.17000000,243541957.88188000,1715647
2024-10-03,2.20700000,2.29600000,1.96900000,2.03800000,102608978.86000000,215899686.20096000,1564934
2024-10-04,2.03800000,2.36400000,2.00200000,2.29100000,104524098.63000000,230211083.11780000,1393797
2024-10-05,2.29200000,2.38900000,2.18200000,2.25100000,47759474.31000000,110070237.26795000,691744
2024-10-06,2.25200000,2.58700000,2.21600000,2.56300000,58555448.52000000,139471204.02154000,892843
2024-10-07,2.56200000,2.80800000,2.52300000,2.52500000,119577326.48000000,318116862.13640000,1956902
2024-10-08,2.52500000,2.60200000,2.41900000,2.45700000,80043421.43000000,199777627.79853000,1197612
2024-10-09,2.45700000,2.56200000,2.30100000,2.32400000,81768801.76000000,198657223.69984000,1210812
2024-10-10,2.32500000,2.45900000,2.22000000,2.43500000,98440399.34000000,231213620.15255000,1277302
2024-10-11,2.43500000,2.81800000,2.41700000,2.75700000,106080603.84000000,277487352.51845000,1296671
2024-10-12,2.75800000,2.82300000,2.66000000,2.67000000,63524176.14000000,173556720.56578000,815056
2024-10-13,2.66900000,2.86400000,2.59400000,2.66500000,80864049.45000000,220574546.85412000,819439
2024-10-14,2.66500000,2.97400000,2.59200000,2.82900000,105970621.92000000,299732983.79881700,1206162
2024-10-15,2.83000000,2.86300000,2.55000000,2.64700000,106066643.90000000,285867869.57454000,1707928
2024-10-16,2.64700000,2.73000000,2.49800000,2.63400000,72337444.87000000,188245023.94757000,1231836
2024-10-17,2.63400000,2.66700000,2.44400000,2.54600000,60468429.82000000,154937295.33585000,1061772
2024-10-18,2.54600000,2.73000000,2.53600000,2.66000000,52512800.07000000,139078633.64359000,958641
2024-10-19,2.66000000,2.74800000,2.57000000,2.64300000,25998869.90000000,68956747.80594000,482991
2024-10-20,2.64300000,2.74800000,2.57000000,2.71600000,37872846.18000000,100613090.70237000,657524
2024-10-21,2.71700000,2.78400000,2.48500000,2.50100000,48058816.04000000,125479679.17760000,796634
2024-10-22,2.50000000,2.56000000,2.37000000,2.42500000,42614764.29000000,104677262.19805000,682877
2024-10-23,2.42500000,2.55600000,2.33000000,2.50800000,54972416.71000000,133622505.10171000,855917
2024-10-24,2.50900000,2.60700000,2.46300000,2.55300000,41817403.18000000,106348507.62973000,695912
2024-10-25,2.55400000,2.59800000,2.19600000,2.31400000,77472868.24000000,189181389.13279000,1126927
2024-10-26,2.31400000,2.40700000,2.24500000,2.36100000,34801469.92000000,81193175.76451000,602185
2024-10-27,2.36200000,2.52000000,2.33200000,2.49000000,26070458.45000000,63116519.41635000,460230
2024-10-28,2.49100000,2.54300000,2.24700000,2.46600000,67967934.88000000,162482402.27565000,978367
2024-10-29,2.46700000,2.69900000,2.44200000,2.61500000,55499389.68000000,144669770.88074000,996416
2024-10-30,2.61500000,2.67500000,2.52100000,2.57700000,34820265.56000000,89865566.15093000,672720
2024-10-31,2.57800000,2.59900000,2.34700000,2.38200000,36147223.39000000,89883006.12644000,643315
2024-11-01,2.38300000,2.43400000,2.17800000,2.19700000,57762785.60000000,133218451.03454000,808397
2024-11-02,2.19700000,2.24600000,2.11600000,2.17900000,27699350.20000000,60308516.31431000,422123
2024-11-03,2.17900000,2.18400000,1.96100000,2.07800000,51777044.48000000,105865811.58494000,785025
2024-11-04,2.07800000,2.13600000,1.87800000,1.92300000,50850831.02000000,102236666.11693000,817739
2024-11-05,1.92300000,2.17900000,1.92200000,2.10300000,59375196.50000000,123242818.95533000,763719
