date,close,volume
2020-12-03,102,0.000
2020-12-04,102,0.000
2020-12-07,102,0.000
2020-12-08,102,0.000
2020-12-09,189.51,25.374
2020-12-10,186,9.308
2020-12-11,175,4.761
2020-12-14,160,7.860
2020-12-15,158.89,5.017
2020-12-16,158.05,3.061
2020-12-17,154.21,6.370
2020-12-18,166.35,8.158
2020-12-21,160.23,3.884
2020-12-22,156.79,2.389
2020-12-23,158.22,1.760
2020-12-24,158.46,0.673
2020-12-28,147.89,3.808
2020-12-29,141.27,3.849
2020-12-30,140.2,3.121
2020-12-31,142.75,2.637
2021-01-04,139.19,2.026
2021-01-05,144.43,1.032
2021-01-06,140.01,1.931
2021-01-07,152.77,3.215
2021-01-08,156.09,2.549
2021-01-11,167,2.541
2021-01-12,191.99,7.089
2021-01-13,198,6.059
2021-01-14,207.24,4.512
2021-01-15,187.15,3.351
2021-01-19,198.75,3.486
2021-01-20,189.46,2.066
2021-01-21,190.89,2.339
2021-01-22,192,1.680
2021-01-25,191.81,3.430
2021-01-26,198.22,2.363
2021-01-27,193.07,5.918
2021-01-28,183.8,1.693
2021-01-29,193.27,1.852
2021-02-01,191.17,1.170
2021-02-02,182.53,1.339
2021-02-03,180.58,1.326
2021-02-04,189.33,1.143
2021-02-05,181.23,1.521
2021-02-08,177.43,2.000
2021-02-09,187.75,2.137
2021-02-10,215.16,3.997
2021-02-11,213.26,1.949
2021-02-12,202.97,1.376
2021-02-16,212.17,2.663
2021-02-17,197.87,2.014
2021-02-18,200.06,1.728
2021-02-19,205.97,1.879
2021-02-22,178.07,3.149
2021-02-23,173.5,3.005
2021-02-24,176.32,1.984
2021-02-25,166.87,4.006
2021-02-26,169.49,7.580
2021-03-01,168.89,4.146
2021-03-02,160.59,5.312
2021-03-03,148.25,4.071
2021-03-04,150,4.367
2021-03-05,151.48,6.176
2021-03-08,133.41,6.886
2021-03-09,141.48,20.400
2021-03-10,135.77,5.398
2021-03-11,144.97,3.612
2021-03-12,142.03,3.255
2021-03-15,140.69,2.111
2021-03-16,133.66,2.477
2021-03-17,133.8,3.287
2021-03-18,130.62,2.985
2021-03-19,135.03,2.259
2021-03-22,135.91,1.958
2021-03-23,131.76,1.887
2021-03-24,125.53,2.165
2021-03-25,131.75,3.017
2021-03-26,134.01,2.038
2021-03-29,129.98,2.303
2021-03-30,130.6,1.447
2021-03-31,131.13,2.939
2021-04-01,133.14,2.191
2021-04-05,133.55,1.460
2021-04-06,131.09,1.755
2021-04-07,127.5,1.867
2021-04-08,128.14,1.880
2021-04-09,140.5,6.672
2021-04-12,147.83,5.730
2021-04-13,149.46,2.823
2021-04-14,143.65,2.235
2021-04-15,151.5,3.339
2021-04-16,149.49,0.921
2021-04-19,146.67,2.246
2021-04-20,144.35,1.648
2021-04-21,143.32,1.169
2021-04-22,143.96,0.991
2021-04-23,152.75,2.089
2021-04-26,153.8,1.564
2021-04-27,162.13,3.096
2021-04-28,162.45,1.622
2021-04-29,150.11,4.110
2021-04-30,143.17,1.807
2021-05-03,140.47,1.413
2021-05-04,135.22,2.092
2021-05-05,128.39,2.786
2021-05-06,122.77,3.115
2021-05-07,124.89,1.888
2021-05-10,120.45,2.278
2021-05-11,124.54,2.724
2021-05-12,112.99,4.434
2021-05-13,115.49,6.869
2021-05-14,141.07,15.265
2021-05-17,133.79,5.192
2021-05-18,138.56,10.724
2021-05-19,140.2,5.589
2021-05-20,137,6.766
2021-05-21,137.57,3.250
2021-05-24,140.46,3.976
2021-05-25,136.27,2.813
2021-05-26,141.86,3.151
2021-05-27,152.82,5.997
2021-05-28,150.28,2.239
2021-06-01,149.27,2.209
2021-06-02,149.83,3.098
