date,close,volume
2021-11-03,78,0.000
2021-11-04,78,0.000
2021-11-05,78,0.000
2021-11-08,78,0.000
2021-11-09,78,0.000
2021-11-10,100.73,103.680
2021-11-11,122.99,83.668
2021-11-12,129.95,50.637
2021-11-15,149.36,64.982
2021-11-16,172.01,94.037
2021-11-17,146.07,71.766
2021-11-18,123.38,63.604
2021-11-19,128.6,49.479
2021-11-22,118.11,40.994
2021-11-23,119.85,24.968
2021-11-24,114.85,11.539
2021-11-26,112.13,9.871
2021-11-29,119.77,13.924
2021-11-30,119.76,20.205
2021-12-01,115.69,13.290
2021-12-02,110.77,10.836
2021-12-03,104.67,13.819
2021-12-06,116.78,19.725
2021-12-07,116.18,12.173
2021-12-08,122.12,12.816
2021-12-09,115.4,8.475
2021-12-10,114.66,8.388
2021-12-13,118.9,14.738
2021-12-14,117.14,8.058
2021-12-15,115,10.829
2021-12-16,108.87,13.628
2021-12-17,97.7,44.475
2021-12-20,89.98,16.073
2021-12-21,96.82,12.915
2021-12-22,96.34,8.644
2021-12-23,96.84,5.670
2021-12-27,107.09,15.497
2021-12-28,102.87,8.821
2021-12-29,99.34,8.755
2021-12-30,103.42,10.875
2021-12-31,103.69,5.815
2022-01-03,102.72,8.347
2022-01-04,101.39,12.152
2022-01-05,90.01,18.645
2022-01-06,87.33,39.827
2022-01-07,86.28,17.516
2022-01-10,81.44,17.290
2022-01-11,83.55,19.971
2022-01-12,86.48,14.423
2022-01-13,80.31,13.678
2022-01-14,79.95,15.838
2022-01-18,73.16,16.804
2022-01-19,69.4,15.068
2022-01-20,65.02,18.643
2022-01-21,64.51,19.345
2022-01-24,63.9,24.116
2022-01-25,59.61,16.557
2022-01-26,60.27,23.694
2022-01-27,53.94,23.416
2022-01-28,57.12,23.965
2022-01-31,65.74,18.685
2022-02-01,69.62,24.477
2022-02-02,64.32,15.610
2022-02-03,60.36,19.776
2022-02-04,60.87,14.589
2022-02-07,58.36,14.782
2022-02-08,60.95,12.079
2022-02-09,64.53,13.344
2022-02-10,64.72,17.665
2022-02-11,58.85,15.293
2022-02-14,62.65,26.875
2022-02-15,66.29,16.267
2022-02-16,66.25,12.768
2022-02-17,64.74,22.388
2022-02-18,66.37,14.966
2022-02-22,62.39,22.737
2022-02-23,57.53,22.637
2022-02-24,63.71,24.082
2022-02-25,63.43,13.455
2022-02-28,67.56,19.270
