date,close,volume
2019-05-09,45,0.000
2019-05-10,41.57,186.323
2019-05-13,37.1,79.442
2019-05-14,39.96,46.661
2019-05-15,41.29,36.086
2019-05-16,43,38.116
2019-05-17,41.91,20.226
2019-05-20,41.59,29.222
2019-05-21,41.5,10.803
2019-05-22,41.25,9.089
2019-05-23,40.47,11.120
2019-05-24,41.51,8.787
2019-05-28,40.95,13.392
2019-05-29,39.94,14.060
2019-05-30,39.8,26.452
2019-05-31,40.41,23.210
2019-06-03,41.25,16.605
2019-06-04,42.75,23.432
2019-06-05,45,28.610
2019-06-06,44.92,16.404
2019-06-07,44.16,12.655
2019-06-10,42.61,11.619
2019-06-11,42.45,9.095
2019-06-12,42.17,5.965
2019-06-13,44.31,10.179
2019-06-14,43.23,7.902
2019-06-17,43.78,6.558
2019-06-18,43.86,7.314
2019-06-19,44.86,10.332
2019-06-20,43.86,9.567
2019-06-21,44,4.974
2019-06-24,43.09,5.985
2019-06-25,43.09,5.755
2019-06-26,42.5,8.109
2019-06-27,45.13,20.155
2019-06-28,46.38,28.657
2019-07-01,44.27,17.740
2019-07-02,44,11.881
2019-07-03,44.23,3.380
2019-07-05,43.53,8.239
2019-07-08,42.95,9.304
2019-07-09,44.2,5.252
2019-07-10,43.7,9.747
2019-07-11,43.99,8.051
2019-07-12,43.99,8.761
2019-07-15,44.53,5.811
2019-07-16,44.13,5.613
2019-07-17,43.62,5.854
2019-07-18,43.71,4.124
2019-07-19,43.18,4.021
2019-07-22,43.69,3.822
2019-07-23,43.36,5.110
2019-07-24,43.76,3.776
2019-07-25,43.4,4.412
2019-07-26,44.52,7.599
2019-07-29,43.88,8.652
2019-07-30,42.59,7.686
2019-07-31,42.14,5.971
2019-08-01,41.31,7.350
2019-08-02,40.4,8.226
2019-08-05,39.05,9.799
2019-08-06,39.15,8.570
2019-08-07,39.7,8.896
2019-08-08,42.97,29.610
2019-08-09,40.05,35.139
2019-08-12,37,21.231
2019-08-13,36.45,19.031
2019-08-14,33.96,24.482
2019-08-15,33.22,13.266
2019-08-16,35.23,13.883
2019-08-19,34.61,10.853
2019-08-20,35.29,10.766
2019-08-21,34.91,7.949
2019-08-22,34,8.516
2019-08-23,33.43,8.187
2019-08-26,33.31,5.670
2019-08-27,33.11,6.596
2019-08-28,32.59,6.261
2019-08-29,32.76,5.811
2019-08-30,32.57,6.637
2019-09-03,30.7,12.194
2019-09-04,31.99,10.367
2019-09-05,32.51,7.938
2019-09-06,31.86,7.036
2019-09-09,32.24,7.448
2019-09-10,33.51,10.817
2019-09-11,34,14.716
2019-09-12,34.07,7.735
2019-09-13,33.25,9.429
2019-09-16,34.43,7.943
2019-09-17,34.29,5.588
2019-09-18,34.26,6.624
2019-09-19,33.82,6.884
2019-09-20,32.6,12.027
2019-09-23,33,5.526
2019-09-24,31.3,10.626
2019-09-25,31.68,7.880
2019-09-26,31.57,6.062
2019-09-27,30.29,11.875
2019-09-30,30.47,5.021
2019-10-01,29.15,13.448
2019-10-02,29,9.371
2019-10-03,29.72,9.462
2019-10-04,29.67,8.634
2019-10-07,30.37,10.151
2019-10-08,29.28,7.807
2019-10-09,29.07,7.163
2019-10-10,28.87,7.798
2019-10-11,30.13,10.299
2019-10-14,31.12,7.967
2019-10-15,32,7.905
2019-10-16,31.87,7.803
2019-10-17,32.62,7.239
2019-10-18,32.06,8.074
2019-10-21,31.41,7.232
2019-10-22,32.53,19.244
2019-10-23,33.05,6.843
2019-10-24,33.28,6.790
2019-10-25,32.71,8.107
2019-10-28,33.22,8.073
2019-10-29,32.42,9.357
2019-10-30,33.75,10.861
2019-10-31,31.5,16.130
2019-11-01,31.37,10.460
2019-11-04,31.08,32.330
2019-11-05,28.02,52.181
2019-11-06,26.94,133.570
2019-11-07,27.38,65.949
2019-11-08,27.01,45.263
2019-11-11,27.14,41.446
2019-11-12,26.7,37.095
2019-11-13,26.71,34.513
2019-11-14,25.99,28.028
2019-11-15,26.79,41.373
2019-11-18,26.75,37.310
2019-11-19,27.05,34.116
2019-11-20,28.03,54.076
2019-11-21,29.46,55.659
2019-11-22,29.56,44.384
2019-11-25,29.11,37.572
2019-11-26,29.53,29.590
2019-11-27,29.49,22.464
2019-11-29,29.6,8.115
2019-12-02,28.98,17.424
2019-12-03,29.02,25.389
2019-12-04,29.06,22.526
2019-12-05,28.65,22.567
2019-12-06,27.86,33.144
2019-12-09,27.68,21.098
2019-12-10,27.89,23.605
2019-12-11,28.42,23.287
2019-12-12,28.69,23.581
2019-12-13,28.49,25.431
2019-12-16,30.05,57.408
2019-12-17,29.75,38.254
2019-12-18,30.13,35.390
2019-12-19,29.99,33.817
2019-12-20,30.45,95.462
2019-12-23,30.33,31.212
2019-12-24,30.44,12.939
2019-12-26,30.67,22.225
2019-12-27,30.17,18.466
2019-12-30,29.74,18.813
2019-12-31,29.74,16.233
2020-01-02,30.99,20.583
2020-01-03,31.37,18.831
2020-01-06,31.58,21.216
2020-01-07,32.81,30.269
2020-01-08,33.93,43.955
2020-01-09,33.97,29.408
2020-01-10,34.01,34.277
2020-01-13,34.14,16.833
2020-01-14,34.84,26.030
2020-01-15,35.01,20.762
2020-01-16,34.68,21.955
2020-01-17,35.13,17.251
2020-01-21,37.6,48.747
2020-01-22,37.04,29.765
2020-01-23,37.4,21.366
2020-01-24,36.8,21.598
2020-01-27,36.3,18.818
2020-01-28,37.01,28.974
2020-01-29,36.99,16.882
2020-01-30,36.68,22.847
2020-01-31,36.29,21.554
2020-02-03,37.59,23.537
2020-02-04,38.53,32.426
2020-02-05,36.81,38.413
2020-02-06,37.09,52.699
2020-02-07,40.63,112.326
2020-02-10,40.01,60.841
2020-02-11,41.27,33.896
2020-02-12,41.25,26.445
2020-02-13,40.09,23.851
2020-02-14,39.66,32.014
2020-02-18,40.18,22.168
2020-02-19,41.05,23.287
2020-02-20,40.92,25.446
2020-02-21,40.72,20.601
2020-02-24,38.31,37.123
2020-02-25,35.89,49.282
2020-02-26,34.45,44.109
2020-02-27,32.45,66.557
2020-02-28,33.87,52.100
2020-03-02,32.85,46.662
2020-03-03,33.04,35.182
2020-03-04,34.53,44.739
2020-03-05,32.21,32.765
2020-03-06,31.68,34.809
2020-03-09,28.17,37.439
2020-03-10,28.97,36.308
2020-03-11,26.24,43.213
2020-03-12,22.61,54.042
2020-03-13,22.6,53.844
2020-03-16,20.29,56.914
2020-03-17,18.91,60.004
2020-03-18,14.82,78.286
2020-03-19,20.49,83.989
2020-03-20,21.33,76.530
2020-03-23,22.4,47.787
2020-03-24,26.39,58.505
2020-03-25,26.19,52.474
2020-03-26,28.12,41.371
2020-03-27,27.28,40.292
2020-03-30,27.83,37.726
2020-03-31,27.92,43.126
2020-04-01,25.42,38.538
2020-04-02,23.68,35.838
2020-04-03,22.82,40.572
2020-04-06,25.99,34.384
2020-04-07,25.74,36.434
2020-04-08,26.94,36.167
2020-04-09,27.11,36.190
2020-04-13,27.99,24.672
2020-04-14,27.75,32.625
2020-04-15,27.41,18.721
2020-04-16,27.03,24.089
2020-04-17,28,34.130
2020-04-20,28.19,32.224
2020-04-21,27.19,20.969
2020-04-22,28.24,21.222
2020-04-23,28.33,26.992
2020-04-24,29.49,20.649
2020-04-27,30.08,31.706
2020-04-28,30.12,27.383
2020-04-29,31.37,28.288
2020-04-30,30.27,20.095
2020-05-01,28.39,19.290
2020-05-04,27.42,23.428
2020-05-05,28.07,30.725
2020-05-06,27.82,31.076
2020-05-07,30.93,62.230
2020-05-08,32.79,69.526
2020-05-11,31.64,26.439
2020-05-12,32.4,89.586
2020-05-13,33.02,47.279
2020-05-14,32.79,32.913
2020-05-15,32.47,25.950
2020-05-18,33.62,47.562
2020-05-19,33.4,20.224
2020-05-20,34.48,21.387
2020-05-21,34.26,24.075
2020-05-22,34.83,18.676
2020-05-26,34.56,23.483
2020-05-27,34.88,27.515
2020-05-28,34.15,21.960
2020-05-29,36.32,72.423
2020-06-01,35.82,21.894
2020-06-02,35.81,19.328
2020-06-03,36.75,23.052
2020-06-04,36.43,17.424
2020-06-05,37.21,30.393
2020-06-08,37.08,30.100
2020-06-09,36.59,15.127
2020-06-10,34.83,43.474
2020-06-11,31.1,45.299
2020-06-12,32.24,27.685
2020-06-15,32.67,21.350
2020-06-16,33.49,21.377
2020-06-17,33.29,14.828
2020-06-18,33.4,15.496
2020-06-19,32.3,29.426
2020-06-22,32.68,17.790
2020-06-23,33.05,13.622
2020-06-24,30.46,29.477
2020-06-25,30.58,19.143
2020-06-26,29.61,46.482
2020-06-29,29.63,20.795
2020-06-30,31.08,21.283
2020-07-01,30.43,13.612
2020-07-02,30.68,14.981
2020-07-06,32.52,42.392
2020-07-07,32.82,34.875
2020-07-08,33.93,24.602
2020-07-09,33.15,25.062
2020-07-10,33.14,13.586
2020-07-13,31.72,19.605
2020-07-14,30.93,21.782
2020-07-15,32.81,20.977
2020-07-16,32.35,11.091
2020-07-17,32.55,13.668
2020-07-20,33.66,16.214
2020-07-21,32.55,16.743
2020-07-22,32.66,12.128
2020-07-23,32.17,12.750
2020-07-24,31.18,16.896
2020-07-27,30.99,10.182
2020-07-28,30.81,12.977
2020-07-29,31.02,8.216
2020-07-30,30.24,13.063
2020-07-31,30.26,16.361
2020-08-03,31.19,17.084
2020-08-04,32.68,21.958
2020-08-05,33.2,17.279
2020-08-06,34.71,38.601
2020-08-07,32.9,39.071
2020-08-10,32.27,21.348
2020-08-11,31.21,31.570
2020-08-12,30.84,23.415
2020-08-13,30.46,21.977
2020-08-14,29.99,17.632
2020-08-17,29.48,18.545
2020-08-18,30.08,29.398
2020-08-19,29.42,14.050
2020-08-20,31.41,56.663
2020-08-21,30.83,20.217
2020-08-24,31.04,17.406
2020-08-25,31.19,10.057
2020-08-26,32.3,20.600
2020-08-27,32.8,21.306
2020-08-28,33.8,17.833
2020-08-31,33.63,14.981
2020-09-01,34.3,16.026
2020-09-02,34.37,16.553
2020-09-03,33.41,17.289
2020-09-04,33.24,17.481
2020-09-08,34.32,33.683
2020-09-09,35.01,22.804
2020-09-10,35.98,35.468
2020-09-11,36.98,27.131
2020-09-14,37.95,28.016
2020-09-15,37.47,23.533
2020-09-16,37.66,21.787
2020-09-17,37.06,23.535
2020-09-18,37.12,68.429
2020-09-21,36.49,19.101
2020-09-22,34.4,28.243
2020-09-23,33.55,15.797
2020-09-24,33.35,16.404
2020-09-25,34.46,10.736
2020-09-28,35.56,22.878
2020-09-29,35.43,16.503
2020-09-30,36.48,21.386
2020-10-01,37.14,19.188
2020-10-02,37.72,20.123
2020-10-05,37.14,13.093
2020-10-06,36.26,13.075
2020-10-07,36.78,13.782
2020-10-08,37.34,12.212
2020-10-09,37.27,13.172
2020-10-12,36.26,16.569
2020-10-13,35.56,15.463
2020-10-14,35.11,15.403
2020-10-15,34.26,15.450
2020-10-16,33.72,14.904
2020-10-19,34.22,19.279
2020-10-20,36.31,29.821
2020-10-21,35.2,19.059
2020-10-22,36.7,14.244
2020-10-23,36.75,15.961
2020-10-26,35.49,12.512
2020-10-27,34.16,13.692
2020-10-28,33.65,15.788
2020-10-29,34.06,13.735
2020-10-30,33.41,13.509
2020-11-02,34.81,18.350
2020-11-03,35.77,16.209
2020-11-04,40.99,101.818
2020-11-05,41.96,34.178
2020-11-06,44.87,57.671
2020-11-09,48.18,61.632
2020-11-10,47,33.080
2020-11-11,46.23,19.214
2020-11-12,46.4,16.255
2020-11-13,47.61,15.570
2020-11-16,49.21,29.302
2020-11-17,48.89,16.638
