side,date,fwd20
LONG SOXL setup,2018-07-26,-0.053167431342075244
LONG SOXL setup,2018-08-07,0.002547940340909216
LONG SOXL setup,2019-12-12,0.1377673042400287
LONG SOXL setup,2020-09-02,-0.12535676474749602
LONG SOXL setup,2023-05-18,0.4284097340124502
LONG SOXL setup,2023-05-25,0.15352480417754566
LONG SOXL setup,2023-05-26,0.06512237762237771
LONG SOXL setup,2023-12-11,0.07889697433933374
LONG SOXL setup,2023-12-13,0.006446991404011504
LONG SOXL setup,2023-12-15,-0.07000327118089633
LONG SOXL setup,2025-09-18,0.20600475624256842
SHORT SOXS setup,2017-04-11,-0.16748768472906406
SHORT SOXS setup,2017-04-12,-0.21525821596244132
SHORT SOXS setup,2017-04-13,-0.23797468354430384
SHORT SOXS setup,2017-06-27,-0.1810897435897436
SHORT SOXS setup,2017-06-29,-0.14779874213836475
SHORT SOXS setup,2017-07-03,-0.18884248210023868
SHORT SOXS setup,2017-08-10,-0.10463531015678251
SHORT SOXS setup,2018-02-05,-0.3077905491698595
SHORT SOXS setup,2018-02-08,-0.40119402985074626
SHORT SOXS setup,2018-03-28,0.03023255813953485
SHORT SOXS setup,2018-04-02,0.044642857142857206
SHORT SOXS setup,2018-04-23,-0.23277737490935457
SHORT SOXS setup,2018-04-24,-0.2627478753541076
SHORT SOXS setup,2018-06-25,-0.05220522052205223
SHORT SOXS setup,2018-06-27,-0.1703389830508475
SHORT SOXS setup,2018-07-27,-0.019133937562940573
SHORT SOXS setup,2018-07-30,-0.09001956947162426
SHORT SOXS setup,2018-07-31,-0.08291708291708288
SHORT SOXS setup,2018-08-01,-0.09433962264150941
SHORT SOXS setup,2018-08-10,-0.056640625
SHORT SOXS setup,2018-08-13,-0.0273972602739726
SHORT SOXS setup,2018-08-14,0.0004875670404680399
SHORT SOXS setup,2018-08-15,-0.0702247191011236
SHORT SOXS setup,2018-10-05,0.10294117647058831
SHORT SOXS setup,2018-10-08,0.09519572953736666
SHORT SOXS setup,2018-10-10,-0.10344827586206895
SHORT SOXS setup,2018-10-11,-0.11987860394537175
SHORT SOXS setup,2018-10-24,-0.14294830887045307
SHORT SOXS setup,2018-12-04,0.08250825082508251
SHORT SOXS setup,2018-12-06,0.005681818181818121
SHORT SOXS setup,2018-12-07,-0.08394160583941601
SHORT SOXS setup,2018-12-10,-0.11509146341463417
SHORT SOXS setup,2018-12-11,-0.12635658914728687
SHORT SOXS setup,2018-12-19,-0.2810143934201508
SHORT SOXS setup,2018-12-20,-0.239812959251837
SHORT SOXS setup,2018-12-21,-0.25798212005108556
SHORT SOXS setup,2018-12-24,-0.4326074161271336
SHORT SOXS setup,2019-05-13,-0.06320907617504057
SHORT SOXS setup,2019-05-17,0.07729468599033806
SHORT SOXS setup,2019-05-20,-0.162589928057554
SHORT SOXS setup,2019-05-23,-0.20770288858321873
SHORT SOXS setup,2019-05-28,-0.22091503267973855
SHORT SOXS setup,2019-08-05,-0.14556724267468069
SHORT SOXS setup,2020-01-31,-0.02975133214920067
SHORT SOXS setup,2020-02-25,-0.15614186851211076
SHORT SOXS setup,2020-02-27,-0.38714613618974747
SHORT SOXS setup,2020-03-09,-0.5471063257065949
SHORT SOXS setup,2020-03-12,-0.6552
SHORT SOXS setup,2020-03-16,-0.7055298283846363
SHORT SOXS setup,2020-04-15,-0.16423043852106622
SHORT SOXS setup,2020-04-21,-0.35703125
SHORT SOXS setup,2020-09-08,-0.24567901234567902
SHORT SOXS setup,2020-09-10,-0.2841742130228547
SHORT SOXS setup,2021-03-04,-0.40788579197824604
SHORT SOXS setup,2021-03-08,-0.4537216828478965
SHORT SOXS setup,2021-05-03,-0.13604060913705585
SHORT SOXS setup,2021-05-04,-0.19398642095053342
SHORT SOXS setup,2021-05-12,-0.3130724396336386
SHORT SOXS setup,2021-09-29,-0.11581920903954801
SHORT SOXS setup,2021-10-04,-0.28083989501312334
SHORT SOXS setup,2022-01-19,-0.0815850815850816
SHORT SOXS setup,2022-01-20,-0.07006369426751591
SHORT SOXS setup,2022-01-21,-0.09090909090909094
SHORT SOXS setup,2022-01-27,-0.2674825174825175
SHORT SOXS setup,2022-03-07,-0.32576028622540254
SHORT SOXS setup,2022-03-14,-0.08491228070175438
SHORT SOXS setup,2022-04-01,0.2745891276864729
SHORT SOXS setup,2022-04-05,0.01213252449836677
SHORT SOXS setup,2022-04-12,0.12753458404396434
SHORT SOXS setup,2022-04-14,-0.0734272300469484
SHORT SOXS setup,2022-04-22,-0.05358449158741774
SHORT SOXS setup,2022-04-26,-0.06443914081145585
SHORT SOXS setup,2022-04-27,-0.13596784996651035
SHORT SOXS setup,2022-05-09,-0.31627274273082806
SHORT SOXS setup,2022-05-11,-0.21899159663865542
SHORT SOXS setup,2022-06-13,0.03404958677685954
SHORT SOXS setup,2022-06-16,-0.16947621914509337
SHORT SOXS setup,2022-07-01,-0.4729030501089324
SHORT SOXS setup,2022-07-26,-0.15518311607697077
SHORT SOXS setup,2022-08-29,0.4160924649922204
SHORT SOXS setup,2022-08-30,0.31100171232876717
SHORT SOXS setup,2022-09-01,0.38958742632612964
SHORT SOXS setup,2022-09-22,0.17736598279285243
SHORT SOXS setup,2022-09-23,0.007936507936507908
SHORT SOXS setup,2022-09-26,-0.05291166185190821
SHORT SOXS setup,2022-09-29,-0.056789387390073
SHORT SOXS setup,2022-09-30,-0.21094302276261845
SHORT SOXS setup,2022-10-10,-0.23906496486447726
SHORT SOXS setup,2022-10-11,-0.3397274771795211
SHORT SOXS setup,2022-11-09,-0.40853323567112254
SHORT SOXS setup,2022-12-22,-0.3833753148614609
SHORT SOXS setup,2022-12-28,-0.458256880733945
SHORT SOXS setup,2023-04-25,-0.24650112866817153
SHORT SOXS setup,2023-08-09,0.004008016032064132
SHORT SOXS setup,2023-08-10,0.005923000987166915
SHORT SOXS setup,2023-08-11,-0.058118081180811854
SHORT SOXS setup,2023-08-16,-0.08597285067873306
SHORT SOXS setup,2023-08-17,-0.03427065026362042
SHORT SOXS setup,2023-09-20,-0.023336214347450257
SHORT SOXS setup,2023-09-21,-0.02950819672131144
SHORT SOXS setup,2023-09-26,-0.018729641693811083
SHORT SOXS setup,2023-10-23,-0.3646496815286624
SHORT SOXS setup,2023-10-25,-0.38137472283813745
SHORT SOXS setup,2023-10-26,-0.39332365747460085
SHORT SOXS setup,2024-04-17,-0.26564495530012766
SHORT SOXS setup,2024-04-18,-0.29222195299248843
SHORT SOXS setup,2024-04-19,-0.3563841318014308
SHORT SOXS setup,2024-07-19,-0.09271255060728745
SHORT SOXS setup,2024-07-24,-0.19053073692248945
SHORT SOXS setup,2024-07-25,-0.1655937052932761
SHORT SOXS setup,2024-07-30,-0.23687798227675516
SHORT SOXS setup,2024-08-01,-0.16268446943078008
SHORT SOXS setup,2024-08-02,-0.3360409145607701
SHORT SOXS setup,2024-08-05,-0.22190284564530038
SHORT SOXS setup,2024-10-31,0.02469670710571914
SHORT SOXS setup,2024-11-15,-0.21329088738559498
SHORT SOXS setup,2024-12-18,-0.23194081810269807
SHORT SOXS setup,2024-12-19,-0.2981727574750831
SHORT SOXS setup,2024-12-20,-0.2643877109476417
SHORT SOXS setup,2024-12-23,-0.12777242044358728
SHORT SOXS setup,2025-01-10,-0.06153846153846143
SHORT SOXS setup,2025-01-13,-0.06901343214451139
SHORT SOXS setup,2025-01-14,-0.05918271488961946
SHORT SOXS setup,2025-01-27,-0.03330333033303323
SHORT SOXS setup,2025-01-28,-0.0740909090909091
SHORT SOXS setup,2025-01-29,0.10284664830119361
SHORT SOXS setup,2025-02-27,0.09408825978351376
SHORT SOXS setup,2025-03-03,0.14766429136975456
SHORT SOXS setup,2025-03-10,0.5587044534412957
SHORT SOXS setup,2025-03-28,-0.3497742271622091
SHORT SOXS setup,2025-04-03,-0.5373539798967673
SHORT SOXS setup,2025-04-04,-0.6181898066783831
SHORT SOXS setup,2025-05-06,-0.39442896935933147
SHORT SOXS setup,2025-11-18,-0.135632183908046
SHORT SOXS setup,2025-11-20,-0.31991525423728817
SHORT SOXS setup,2025-12-17,-0.4441489361702128
SHORT SOXS setup,2026-03-03,-0.032524271844660224
SHORT SOXS setup,2026-03-06,-0.23511179986716857
SHORT SOXS setup,2026-03-30,-0.6801395157981125
SHORT SOXS setup,2026-04-28,-0.5811417575368826
SHORT SOXS setup,2026-05-04,-0.6297134238310709
SHORT SOXS setup,2026-05-12,-0.4446927374301676
