date,close,volume
2011-06-10,2.4201,1.021
2011-06-13,2.3986,1.652
2011-06-14,2.4524,1.565
2011-06-15,2.4114,1.379
2011-06-16,2.3978,1.564
2011-06-17,2.3353,1.452
2011-06-20,2.3532,1.374
2011-06-21,2.4481,1.325
2011-06-22,2.5867,2.758
2011-06-23,2.5738,2.739
2011-06-24,2.5523,7.376
2011-06-27,2.5472,1.299
2011-06-28,2.655,2.238
2011-06-29,2.7096,1.845
2011-06-30,2.7304,1.892
2011-07-01,2.7779,1.400
2011-07-05,2.7994,0.684
2011-07-06,2.8081,0.885
2011-07-07,2.7779,1.661
2011-07-08,2.7276,1.452
2011-07-11,2.6866,1.047
2011-07-12,2.5443,2.492
2011-07-13,2.5422,1.398
2011-07-14,2.5278,1.606
2011-07-15,2.5515,0.988
2011-07-18,2.5149,0.861
2011-07-19,2.6011,1.286
2011-07-20,2.5918,1.066
2011-07-21,2.6414,1.473
2011-07-22,2.6636,1.073
2011-07-25,2.5932,1.032
2011-07-26,2.6342,1.958
2011-07-27,2.4164,2.911
2011-07-28,2.489,3.380
2011-07-29,2.4164,2.760
2011-08-01,2.3856,1.710
2011-08-02,2.3029,1.512
2011-08-03,2.3554,1.222
2011-08-04,2.2203,1.870
2011-08-05,2.1082,3.143
2011-08-08,1.9537,3.140
2011-08-09,2.129,3.026
2011-08-10,2.1017,2.187
2011-08-11,2.2066,1.945
2011-08-12,2.2303,1.850
2011-08-15,2.2713,1.226
2011-08-16,2.2253,1.254
2011-08-17,2.2059,1.367
2011-08-18,2.0557,1.657
2011-08-19,2.0327,0.906
2011-08-22,1.986,1.853
2011-08-23,2.1024,2.585
2011-08-24,2.3187,4.983
2011-08-25,2.2188,1.801
2011-08-26,2.2648,1.503
2011-08-29,2.3604,0.967
2011-08-30,2.3805,1.232
2011-08-31,2.3791,1.646
2011-09-01,2.2677,2.237
2011-09-02,2.2368,1.212
2011-09-06,2.2605,0.848
2011-09-07,2.3496,1.049
2011-09-08,2.3776,1.393
2011-09-09,2.3209,1.368
2011-09-12,2.4093,1.471
2011-09-13,2.466,1.474
2011-09-14,2.627,3.392
2011-09-15,2.6479,2.161
2011-09-16,2.6299,1.299
2011-09-19,2.6918,2.966
2011-09-20,2.6176,1.953
2011-09-21,2.5931,2.374
2011-09-22,2.449,2.561
2011-09-23,2.5081,1.504
2011-09-26,2.4576,1.834
2011-09-27,2.4857,1.677
2011-09-28,2.3791,7.676
2011-09-29,2.3906,3.537
2011-09-30,2.3618,3.724
2011-10-03,2.2983,2.641
2011-10-04,2.3308,2.681
2011-10-05,2.3502,2.531
2011-10-06,2.3747,1.791
2011-10-07,2.3697,1.315
2011-10-10,2.4259,2.709
2011-10-11,2.4021,0.937
2011-10-12,2.4252,2.082
2011-10-13,2.4547,4.339
2011-10-14,2.5729,2.523
2011-10-17,2.5268,1.535
2011-10-18,2.583,1.005
2011-10-19,2.4958,2.185
2011-10-20,2.449,1.956
2011-10-21,2.4389,1.958
2011-10-24,2.5477,1.851
2011-10-25,2.4821,1.774
2011-10-26,2.4338,1.667
2011-10-27,2.4331,3.111
2011-10-28,2.4209,5.160
2011-10-31,2.4338,2.578
2011-11-01,2.3783,1.167
2011-11-02,2.3495,1.545
2011-11-03,2.4742,2.267
2011-11-04,2.4778,1.233
2011-11-07,2.4922,1.246
2011-11-08,2.503,0.683
2011-11-09,2.3949,1.113
2011-11-10,2.3863,0.689
2011-11-11,2.4713,0.833
2011-11-14,2.3848,1.158
2011-11-15,2.3776,1.170
2011-11-16,2.3135,1.238
2011-11-17,2.2486,1.250
2011-11-18,2.152,2.326
2011-11-21,2.1225,2.623
2011-11-22,2.1196,1.731
2011-11-23,2.0879,1.717
2011-11-25,2.0497,0.645
2011-11-28,2.0598,3.434
2011-11-29,2.0807,2.270
2011-11-30,2.1564,2.637
2011-12-01,2.1556,3.503
2011-12-02,2.2457,4.158
2011-12-05,2.2371,2.089
2011-12-06,2.2205,1.950
2011-12-07,2.25,1.803
2011-12-08,2.2111,2.119
2011-12-09,2.2061,2.429
2011-12-12,2.1232,2.647
2011-12-13,2.1073,2.373
2011-12-14,2.0692,1.523
2011-12-15,2.0728,1.731
2011-12-16,2.0844,6.540
2011-12-19,1.9939,2.253
2011-12-20,2.0865,2.143
2011-12-21,2.0199,1.992
2011-12-22,2.1003,2.017
2011-12-23,2.1271,0.852
2011-12-27,2.1234,0.578
2011-12-28,2.08,0.968
2011-12-29,2.1075,0.740
2011-12-30,2.0887,0.605
2012-01-03,2.0952,1.667
2012-01-04,2.059,1.466
2012-01-05,2.0619,1.453
2012-01-06,2.0489,1.763
2012-01-09,2.1871,2.423
2012-01-10,2.2182,1.942
2012-01-11,2.258,1.961
2012-01-12,2.2928,1.438
2012-01-13,2.2848,1.757
2012-01-17,2.2906,2.300
2012-01-18,2.4563,3.204
2012-01-19,2.4332,2.283
2012-01-20,2.4469,1.698
2012-01-23,2.4361,1.456
2012-01-24,2.4513,2.228
2012-01-25,2.4571,2.197
2012-01-26,2.4665,1.848
2012-01-27,2.4592,2.133
2012-01-30,2.4412,1.201
2012-01-31,2.4563,1.174
2012-02-01,2.5056,2.849
2012-02-02,2.5331,2.619
2012-02-03,2.5425,1.724
2012-02-06,2.4824,1.364
2012-02-07,2.5027,1.091
2012-02-08,2.5244,1.088
2012-02-09,2.5425,0.853
2012-02-10,2.4962,0.644
2012-02-13,2.5193,1.039
2012-02-14,2.4976,1.326
2012-02-15,2.5316,1.438
2012-02-16,2.5953,1.214
2012-02-17,2.5504,1.332
2012-02-21,2.5671,1.480
2012-02-22,2.5982,1.761
2012-02-23,2.6916,3.445
2012-02-24,2.6286,1.399
2012-02-27,2.6764,1.897
2012-02-28,2.6785,1.562
2012-02-29,2.722,2.497
2012-03-01,2.701,0.908
2012-03-02,2.6489,1.419
2012-03-05,2.5656,1.801
2012-03-06,2.5555,1.443
2012-03-07,2.5873,0.930
2012-03-08,2.6358,1.265
2012-03-09,2.6612,0.963
2012-03-12,2.6489,0.631
2012-03-13,2.7234,0.934
2012-03-14,2.6858,1.613
2012-03-15,2.7424,1.180
2012-03-16,2.7526,1.708
2012-03-19,2.7642,0.730
2012-03-20,2.762,1.281
2012-03-21,2.786,0.988
2012-03-22,2.7562,1.429
2012-03-23,2.7671,1.079
2012-03-26,2.8209,1.211
2012-03-27,2.8165,1.278
2012-03-28,2.7577,1.212
2012-03-29,2.7845,0.946
2012-03-30,2.8303,1.758
2012-04-02,2.81,1.044
2012-04-03,2.7867,0.894
2012-04-04,2.717,0.953
2012-04-05,2.7315,1.002
2012-04-09,2.7293,0.886
2012-04-10,2.6727,1.458
2012-04-11,2.7221,1.158
2012-04-12,2.7707,0.910
2012-04-13,2.7076,0.649
2012-04-16,2.6909,1.281
2012-04-17,2.741,0.820
2012-04-18,2.7221,0.642
2012-04-19,2.5935,2.104
2012-04-20,2.4897,5.839
2012-04-23,2.4134,3.189
2012-04-24,2.3735,2.705
2012-04-25,2.5405,2.919
2012-04-26,2.5463,1.180
2012-04-27,2.5129,1.235
2012-04-30,2.5042,0.978
2012-05-01,2.5028,0.854
2012-05-02,2.526,0.643
2012-05-03,2.4229,1.334
2012-05-04,2.2972,2.804
2012-05-07,2.2732,1.441
2012-05-08,2.2914,2.072
2012-05-09,2.2565,1.786
2012-05-10,2.2427,1.619
2012-05-11,2.2471,2.109
2012-05-14,2.2609,1.350
2012-05-15,2.2551,1.561
2012-05-16,2.2348,1.413
2012-05-17,2.1839,1.371
2012-05-18,2.1803,1.660
2012-05-21,2.2449,2.060
2012-05-22,2.2711,2.068
2012-05-23,2.4345,3.467
2012-05-24,2.3611,1.996
2012-05-25,2.4076,1.123
2012-05-29,2.502,1.392
