date,close,volume
2019-09-19,37.55,22.073
2019-09-20,36.15,3.330
2019-09-23,36.11,2.247
2019-09-24,34.5,3.210
2019-09-25,35.25,3.028
2019-09-26,32.44,2.660
2019-09-27,32.27,2.479
2019-09-30,33.91,1.387
2019-10-01,32.39,1.292
2019-10-02,31.1,1.877
2019-10-03,32.89,2.439
2019-10-04,34.72,0.921
2019-10-07,36.81,1.986
2019-10-08,35.45,1.218
2019-10-09,36.75,1.168
2019-10-10,35.6,1.351
2019-10-11,35.67,2.170
2019-10-14,33.09,2.196
2019-10-15,34.8,1.474
2019-10-16,32.2,1.989
2019-10-17,33.96,1.489
2019-10-18,31.57,1.306
2019-10-21,30.01,1.982
2019-10-22,28.04,1.966
2019-10-23,28.76,2.784
2019-10-24,32.5,3.817
2019-10-25,34.3,2.120
2019-10-28,33.28,1.906
2019-10-29,33.65,0.717
2019-10-30,34.81,0.920
2019-10-31,33.59,0.966
2019-11-01,34.02,0.806
2019-11-04,34.44,0.871
2019-11-05,34.91,1.021
2019-11-06,33.06,1.258
2019-11-07,31.29,1.017
2019-11-08,32.81,0.932
2019-11-11,33.55,1.665
2019-11-12,34.4,3.259
2019-11-13,40.19,10.608
2019-11-14,41.37,2.570
2019-11-15,40.63,2.122
2019-11-18,40.32,1.154
2019-11-19,39.15,1.891
2019-11-20,38.4,1.161
2019-11-21,40.03,1.420
2019-11-22,41.04,2.672
2019-11-25,42.81,2.301
2019-11-26,40.55,1.786
2019-11-27,41.86,1.279
2019-11-29,40.77,0.575
2019-12-02,39.6,2.049
2019-12-03,37.77,2.120
2019-12-04,36.92,1.663
2019-12-05,35.86,2.033
2019-12-06,35.91,2.884
2019-12-09,35.16,3.172
2019-12-10,34.81,5.371
2019-12-11,35.55,3.372
2019-12-12,35.73,2.066
2019-12-13,38.79,4.404
2019-12-16,38.79,2.944
2019-12-17,37.18,5.174
2019-12-18,38.21,3.146
2019-12-19,38.1,1.524
2019-12-20,38.51,3.421
2019-12-23,37.8,2.285
2019-12-24,37.09,0.784
2019-12-26,37.96,1.378
