date,close,volume
2011-06-13,6.6035,55.656
2011-06-14,6.7492,30.838
2011-06-15,6.6085,44.594
2011-06-16,6.4477,46.155
2011-06-17,6.4176,38.083
2011-06-20,6.503,25.827
2011-06-21,6.694,36.439
2011-06-22,6.7141,21.398
2011-06-23,6.7693,29.832
2011-06-24,6.6538,41.583
2011-06-27,6.7643,25.130
2011-06-28,6.699,27.144
2011-06-29,6.7442,27.191
2011-06-30,6.9302,37.228
2011-07-01,7.0457,33.321
2011-07-05,7.0859,23.629
2011-07-06,7.0156,23.235
2011-07-07,7.096,33.260
2011-07-08,6.9754,34.444
2011-07-11,6.694,30.845
2011-07-12,6.5934,29.032
2011-07-13,6.6688,22.277
2011-07-14,6.5784,23.112
2011-07-15,6.5784,20.709
2011-07-18,6.4829,33.211
2011-07-19,6.5784,27.084
2011-07-20,6.5733,16.811
2011-07-21,6.6739,21.964
2011-07-22,6.6889,13.308
2011-07-25,6.6186,22.783
2011-07-26,6.503,54.861
2011-07-27,6.2165,57.194
2011-07-28,6.1914,35.120
2011-07-29,6.1361,34.486
2011-08-01,6.2065,37.074
2011-08-02,5.9552,48.833
2011-08-03,5.8547,63.970
2011-08-04,5.4577,77.076
2011-08-05,5.4476,69.982
2011-08-08,4.9903,101.593
2011-08-09,5.4828,89.117
2011-08-10,5.2315,60.244
2011-08-11,5.4979,57.756
2011-08-12,5.5582,39.842
2011-08-15,5.7039,23.260
2011-08-16,5.6386,26.835
2011-08-17,5.5833,26.264
2011-08-18,5.2165,43.759
2011-08-19,5.0205,43.826
2011-08-22,5.0305,36.899
2011-08-23,5.1813,26.187
2011-08-24,5.2516,26.653
2011-08-25,5.1662,25.211
2011-08-26,5.2265,29.851
2011-08-29,5.4929,24.554
2011-08-30,5.4627,25.301
2011-08-31,5.5883,34.818
2011-09-01,5.4527,32.179
2011-09-02,5.2366,31.169
2011-09-06,5.1361,32.946
2011-09-07,5.3069,22.641
2011-09-08,5.1964,22.668
2011-09-09,5.0506,35.134
2011-09-12,5.0808,29.325
2011-09-13,5.1109,22.215
2011-09-14,5.1863,35.586
2011-09-15,5.3421,27.059
2011-09-16,5.3371,23.549
2011-09-19,5.2969,20.938
2011-09-20,5.2366,18.950
2011-09-21,5.0104,31.272
2011-09-22,4.8345,58.221
2011-09-23,4.9551,35.531
2011-09-26,5.0657,27.351
2011-09-27,5.0858,32.697
2011-09-28,4.9903,21.895
2011-09-29,5.0255,26.452
2011-09-30,4.8597,28.493
2011-10-03,4.7089,36.600
2011-10-04,5.0657,52.215
2011-10-05,5.3069,48.404
2011-10-06,5.523,43.359
2011-10-07,5.3723,44.130
2011-10-10,5.6336,28.981
2011-10-11,5.6487,30.823
2011-10-12,5.719,41.665
2011-10-13,5.6989,30.164
2011-10-14,5.8095,27.407
2011-10-17,5.7291,26.995
2011-10-18,5.92,33.572
2011-10-19,5.8095,34.932
2011-10-20,5.8798,31.231
2011-10-21,6.1613,43.539
2011-10-24,6.2869,34.669
2011-10-25,6.2467,38.721
2011-10-26,5.9653,80.247
2011-10-27,6.0708,66.601
2011-10-28,6.0306,30.336
2011-10-31,5.8698,20.977
2011-11-01,5.5682,54.393
2011-11-02,5.6034,26.514
2011-11-03,5.6889,29.049
2011-11-04,5.6637,21.676
2011-11-07,5.6386,20.064
2011-11-08,5.8346,30.602
2011-11-09,5.5481,36.196
2011-11-10,5.523,25.406
2011-11-11,5.5984,16.520
2011-11-14,5.5381,15.343
2011-11-15,5.4627,22.099
2011-11-16,5.3069,24.625
2011-11-17,5.1109,35.013
