date,close,volume
2019-03-22,72,0.000
2019-03-28,72,0.000
2019-03-29,78.29,71.485
2019-04-01,69.01,41.799
2019-04-02,68.97,22.483
2019-04-03,70,15.648
2019-04-04,72,9.229
2019-04-05,74.45,11.200
2019-04-08,70.23,6.600
2019-04-09,67.44,8.223
2019-04-10,60.12,26.392
2019-04-11,61.01,12.406
2019-04-12,59.895,13.788
2019-04-15,56.11,14.346
2019-04-16,56.25,9.965
2019-04-17,59.51,10.768
2019-04-18,58.36,6.870
2019-04-22,60.94,5.266
2019-04-23,60.25,11.975
2019-04-24,57.82,5.158
2019-04-25,56.34,5.097
2019-04-26,57.24,5.981
2019-04-29,60.59,7.232
2019-04-30,59.8,6.073
2019-05-01,58.75,3.443
2019-05-02,61.5,6.634
2019-05-03,62.51,9.394
2019-05-06,60.57,5.185
2019-05-07,59.34,11.592
2019-05-08,52.91,22.640
2019-05-09,55.18,9.604
2019-05-10,51.09,23.111
2019-05-13,48.15,10.007
2019-05-14,50.52,7.007
2019-05-15,54.04,7.909
2019-05-16,55.6,7.102
2019-05-17,53.79,4.327
2019-05-20,54.63,2.710
2019-05-21,55.51,3.491
2019-05-22,57.88,3.914
2019-05-23,58.11,3.649
2019-05-24,57.1,2.413
2019-05-28,56.89,2.836
2019-05-29,56.26,3.167
2019-05-30,54.83,2.558
2019-05-31,57.62,5.124
2019-06-03,59.54,5.549
2019-06-04,59.17,4.093
2019-06-05,63.01,4.834
2019-06-06,61.63,3.845
2019-06-07,59.26,3.882
2019-06-10,56.76,2.677
2019-06-11,58.07,2.719
2019-06-12,58.41,1.535
2019-06-13,61.21,2.682
2019-06-14,60.96,1.956
2019-06-17,63.6,4.386
2019-06-18,64.4,4.670
2019-06-19,63.55,3.015
2019-06-20,62.84,2.324
2019-06-21,64.26,3.922
2019-06-24,63.76,2.282
2019-06-25,64.04,2.060
2019-06-26,62.97,1.914
2019-06-27,65.27,3.735
2019-06-28,65.71,6.317
2019-07-01,62,4.446
2019-07-02,60.35,3.038
2019-07-03,60.6,1.247
2019-07-05,59.39,3.332
2019-07-08,59.79,2.792
2019-07-09,61.83,3.091
2019-07-10,62.3,2.338
2019-07-11,61.85,1.923
2019-07-12,64.25,5.665
2019-07-15,64.79,1.922
2019-07-16,64.8,1.807
2019-07-17,65.17,1.597
2019-07-18,66,1.894
2019-07-19,67.45,3.735
2019-07-22,66,1.915
2019-07-23,64.93,1.492
2019-07-24,65.23,1.428
2019-07-25,65.01,1.047
2019-07-26,65.52,1.911
2019-07-29,64.03,2.179
2019-07-30,62.46,2.619
2019-07-31,60.87,2.230
2019-08-01,59.77,2.278
2019-08-02,58.61,2.253
2019-08-05,59.51,2.487
2019-08-06,58.7,2.850
2019-08-07,60.29,8.787
2019-08-08,62.1,13.257
2019-08-09,59.12,8.687
2019-08-12,56.18,5.457
2019-08-13,58.08,4.367
2019-08-14,54.49,4.097
2019-08-15,52.8,5.203
2019-08-16,52.47,6.014
2019-08-19,51.68,26.211
2019-08-20,53.65,11.094
2019-08-21,54.15,6.536
2019-08-22,51.36,6.492
2019-08-23,49.11,9.549
2019-08-26,51.21,7.190
2019-08-27,49.61,6.308
2019-08-28,48.84,4.792
2019-08-29,49.73,5.730
2019-08-30,48.97,5.594
2019-09-03,45.42,9.135
2019-09-04,46.35,8.567
2019-09-05,46.4,8.452
2019-09-06,44.5,9.668
2019-09-09,44.38,11.125
2019-09-10,45.45,7.964
2019-09-11,46.53,13.489
2019-09-12,46.99,5.029
2019-09-13,46.1,4.094
2019-09-16,47.79,8.635
2019-09-17,48.06,4.337
2019-09-18,46.62,8.007
2019-09-19,47.28,7.964
2019-09-20,46.43,15.211
2019-09-23,45.31,6.582
2019-09-24,41.88,9.874
2019-09-25,41.78,9.831
2019-09-26,41.9,5.504
2019-09-27,41.35,6.425
2019-09-30,40.84,3.910
2019-10-01,39.57,8.110
2019-10-02,38.39,7.859
2019-10-03,39.52,5.126
2019-10-04,39.16,3.678
2019-10-07,39.24,3.902
2019-10-08,38.66,3.318
2019-10-09,38.2,4.089
2019-10-10,37.7,7.306
2019-10-11,39.485,6.901
2019-10-14,39.8,4.574
2019-10-15,41.08,5.676
2019-10-16,40.51,4.503
2019-10-17,41.67,6.167
2019-10-18,40.79,5.511
2019-10-21,40.88,3.016
2019-10-22,43.56,19.544
2019-10-23,43.08,4.773
2019-10-24,43.72,4.102
2019-10-25,44.54,5.057
2019-10-28,44.42,4.596
2019-10-29,43.68,3.764
2019-10-30,44.11,7.939
2019-10-31,41.44,16.193
2019-11-01,42.98,7.492
2019-11-04,42.83,6.178
2019-11-05,41.37,6.618
2019-11-06,42.92,9.550
2019-11-07,43.29,6.013
2019-11-08,43.23,4.860
2019-11-11,42.97,3.840
2019-11-12,42.33,4.293
2019-11-13,43.3,3.993
2019-11-14,41.92,8.868
2019-11-15,43.04,7.363
2019-11-18,44.86,9.063
2019-11-19,44.15,3.741
2019-11-20,43.95,7.548
2019-11-21,46.76,10.807
2019-11-22,46.46,6.345
2019-11-25,48.94,9.646
2019-11-26,49,6.769
2019-11-27,49.37,3.044
2019-11-29,48.98,1.702
2019-12-02,47.39,4.325
2019-12-03,47.51,2.870
2019-12-04,47.315,3.145
2019-12-05,45.065,13.028
2019-12-06,45.2,5.043
2019-12-09,45.42,2.771
2019-12-10,45.26,2.888
2019-12-11,47.36,3.803
2019-12-12,46.6,4.695
2019-12-13,46.75,3.012
2019-12-16,47.93,9.094
2019-12-17,47.5,4.078
2019-12-18,47.01,3.577
2019-12-19,46.28,4.478
2019-12-20,47.92,16.993
2019-12-23,45.54,10.835
2019-12-24,45.7,2.512
2019-12-26,45.73,5.179
2019-12-27,45.84,4.455
2019-12-30,43.5,8.655
2019-12-31,43.02,5.500
2020-01-02,43.58,3.912
2020-01-03,43.19,4.407
2020-01-06,43.1,4.965
2020-01-07,44.25,4.774
2020-01-08,45.08,5.636
2020-01-09,45.59,4.641
2020-01-10,46.06,4.512
2020-01-13,46.35,3.796
2020-01-14,47.68,4.941
2020-01-15,47.08,3.180
2020-01-16,46.83,3.355
2020-01-17,46.52,3.499
2020-01-21,47.98,6.253
2020-01-22,47.47,4.135
2020-01-23,48.48,4.143
2020-01-24,48.43,5.475
2020-01-27,47.36,3.803
2020-01-28,48.21,2.877
2020-01-29,46.84,7.489
2020-01-30,47.79,3.101
