date,close,volume
2017-10-19,32.07,11.509
2017-10-20,30.68,2.359
2017-10-23,30.5,0.749
2017-10-24,30.57,0.421
2017-10-25,31,1.219
2017-10-26,31.1,0.605
2017-10-27,30.89,0.550
2017-10-30,29.85,0.728
2017-10-31,30.48,0.318
2017-11-01,29.8,0.432
2017-11-02,29.95,0.313
2017-11-03,29.63,0.229
2017-11-06,30.61,0.305
2017-11-07,29.81,0.279
2017-11-08,29.88,0.241
2017-11-09,29.22,0.205
2017-11-10,30.2,0.138
2017-11-13,30.68,0.296
2017-11-14,29.88,0.124
2017-11-15,29.63,0.176
2017-11-16,29.87,0.141
2017-11-17,29.83,0.090
2017-11-20,29.26,0.292
2017-11-21,29.21,0.242
2017-11-22,29.28,0.225
2017-11-24,29.92,0.081
2017-11-27,29.69,0.171
2017-11-28,29.55,0.153
2017-11-29,28.71,0.680
2017-11-30,28.53,0.198
2017-12-01,27.8,0.229
2017-12-04,27.36,0.171
2017-12-05,26.15,0.393
2017-12-06,26.87,0.400
2017-12-07,26.62,0.244
2017-12-08,25.76,0.296
2017-12-11,26.86,0.707
2017-12-12,29,1.165
2017-12-13,27.35,0.710
2017-12-14,28.13,0.401
2017-12-15,29.42,0.796
2017-12-18,28.3,0.276
2017-12-19,28.05,0.204
2017-12-20,29.5,0.411
2017-12-21,28.68,0.163
2017-12-22,28.45,0.183
2017-12-26,28.8,0.084
2017-12-27,29.1,0.191
2017-12-28,30.24,0.483
2017-12-29,29.68,0.325
2018-01-02,29.25,0.232
2018-01-03,29.15,0.257
2018-01-04,29.05,0.199
2018-01-05,29.05,0.206
2018-01-08,28.81,0.205
2018-01-09,28.79,0.088
2018-01-10,28.87,0.162
2018-01-11,29.61,0.219
2018-01-12,29.28,0.109
2018-01-16,29.06,0.170
2018-01-17,29.53,0.161
2018-01-18,29.08,0.108
2018-01-19,29.12,0.224
2018-01-22,28.81,0.131
2018-01-23,28.83,0.088
2018-01-24,28.17,0.277
2018-01-25,28.01,0.090
2018-01-26,28.19,0.144
2018-01-29,27.68,0.127
2018-01-30,27.83,0.197
2018-01-31,27.11,0.235
2018-02-01,27.45,0.149
2018-02-02,26.52,0.169
2018-02-05,25.88,0.180
2018-02-06,25.78,0.077
2018-02-07,26.39,0.075
2018-02-08,26.5,0.150
2018-02-09,26.4,0.176
2018-02-12,27.16,0.098
2018-02-13,28.15,0.089
2018-02-14,30.13,0.423
2018-02-15,29.89,0.152
2018-02-16,29.96,0.116
2018-02-20,30.27,0.082
2018-02-21,31.05,0.167
2018-02-22,30.08,0.152
2018-02-23,31.62,0.149
2018-02-26,30.87,0.153
2018-02-27,31.4,0.195
2018-02-28,32.21,0.548
2018-03-01,32.94,0.756
2018-03-02,35.25,0.690
2018-03-05,36.01,0.876
2018-03-06,34.52,0.650
2018-03-07,38.02,0.788
2018-03-08,38.56,0.695
2018-03-09,37.79,0.897
2018-03-12,39.5,0.594
2018-03-13,37.86,0.943
2018-03-14,40.67,1.291
2018-03-15,39.73,0.508
2018-03-16,39.28,0.777
2018-03-19,39.62,0.541
2018-03-20,39.98,0.658
2018-03-21,40.12,0.626
2018-03-22,40.2,0.688
2018-03-23,38.72,0.962
2018-03-26,44.8,1.132
2018-03-27,41.94,1.421
2018-03-28,41.71,0.676
2018-03-29,43.4,0.611
2018-04-02,44.2,0.722
2018-04-03,42.79,0.731
2018-04-04,42.44,0.329
2018-04-05,43,0.347
2018-04-06,40.77,0.293
2018-04-09,40.08,0.433
2018-04-10,40.57,0.403
2018-04-11,40.69,0.348
2018-04-12,40.21,0.493
2018-04-13,39.66,0.409
2018-04-16,39.46,0.642
2018-04-17,38.35,3.647
2018-04-18,38.47,1.011
2018-04-19,37.82,0.941
2018-04-20,37.77,0.609
2018-04-23,36.75,0.593
2018-04-24,34.77,0.985
2018-04-25,34.9,1.595
2018-04-26,37.39,2.301
2018-04-27,36.26,0.851
2018-04-30,35.99,0.692
2018-05-01,36.51,0.963
2018-05-02,37.11,0.433
2018-05-03,38.55,1.452
2018-05-04,36.97,1.249
2018-05-07,37.76,0.563
2018-05-08,41.01,2.732
2018-05-09,41.2,0.574
2018-05-10,40.75,0.439
2018-05-11,43.21,1.044
2018-05-14,43.32,1.008
2018-05-15,42.06,0.808
2018-05-16,42.14,0.412
2018-05-17,41.49,0.528
2018-05-18,43.38,0.544
2018-05-21,43.53,0.395
2018-05-22,43.25,0.327
2018-05-23,44.45,0.445
2018-05-24,44.45,0.480
2018-05-25,44.99,0.408
2018-05-29,45.76,0.556
2018-05-30,46.3,0.834
2018-05-31,47.13,0.645
2018-06-01,46.52,0.945
2018-06-04,48.25,1.610
2018-06-05,49.24,1.061
2018-06-06,51.26,1.520
2018-06-07,49.58,1.685
2018-06-08,51.92,0.942
2018-06-11,53.86,1.846
2018-06-12,56.23,1.614
2018-06-13,57.21,1.257
2018-06-14,58.61,0.964
2018-06-15,59.23,1.239
2018-06-18,59.2,0.876
2018-06-19,58.79,1.273
2018-06-20,58.42,0.614
2018-06-21,56.86,1.056
2018-06-22,56.94,0.841
2018-06-25,53.45,1.555
2018-06-26,51.52,1.493
2018-06-27,48,1.882
2018-06-28,49.21,0.934
2018-06-29,49.63,0.744
2018-07-02,50.03,0.580
2018-07-03,50.23,0.262
2018-07-05,51.18,0.513
2018-07-06,51.91,0.522
2018-07-09,52.91,1.342
2018-07-10,52.79,0.791
2018-07-11,53.24,0.397
2018-07-12,57.88,1.316
2018-07-13,56.94,1.533
2018-07-16,56.69,0.660
2018-07-17,57.72,0.694
2018-07-18,57.71,0.704
2018-07-19,57.71,0.493
2018-07-20,57.75,0.480
2018-07-23,58.95,0.945
2018-07-24,58.81,1.633
2018-07-25,60.56,0.896
2018-07-26,61.38,0.760
2018-07-27,59.56,1.310
2018-07-30,55.49,1.505
2018-07-31,54.11,1.521
2018-08-01,54.09,1.157
2018-08-02,58.21,1.114
2018-08-03,57.89,0.585
2018-08-06,58.87,0.503
2018-08-07,60.17,0.586
2018-08-08,60.03,0.557
2018-08-09,61.58,0.647
2018-08-10,63.1,0.839
2018-08-13,62.99,0.841
2018-08-14,64.22,0.595
2018-08-15,63.68,0.659
2018-08-16,64.07,0.361
2018-08-17,64.75,0.433
2018-08-20,65,0.384
2018-08-21,64.99,0.405
2018-08-22,66.45,0.456
2018-08-23,68.25,0.699
2018-08-24,70.23,0.847
2018-08-27,70.82,0.612
2018-08-28,71.86,0.333
2018-08-29,71.91,0.724
2018-08-30,70.19,0.836
