date,close,volume
2020-11-24,9.744,0.001
2020-11-25,9.744,0.000
2020-11-27,9.82,0.005
2020-11-30,9.95,0.053
2020-12-01,9.97,0.002
2020-12-02,10.05,0.079
2020-12-03,10.05,0.001
2020-12-04,10.06,0.084
2020-12-07,10.2,0.188
2020-12-08,10.19,0.014
2020-12-09,10.3,0.214
2020-12-10,10.25,0.268
2020-12-11,10.35,0.269
2020-12-14,10.3,0.063
2020-12-15,10.341,0.101
2020-12-16,10.44,0.004
2020-12-17,10.3,0.008
2020-12-18,10.34,0.028
2020-12-21,10.23,0.411
2020-12-22,10.24,0.042
2020-12-23,10.25,0.070
2020-12-24,10.3,0.003
2020-12-28,10.32,0.280
2020-12-29,10.29,0.096
2020-12-30,10.42,0.356
2020-12-31,10.11,0.131
2021-01-04,10.3,0.058
2021-01-05,10.353,0.016
2021-01-06,10.38,0.006
2021-01-07,10.41,0.001
2021-01-08,10.42,0.004
2021-01-11,10.4,0.004
2021-01-12,10.31,0.200
2021-01-13,10.52,0.419
2021-01-14,10.5,0.157
2021-01-15,10.35,0.544
2021-01-19,10.4,0.364
2021-01-20,10.425,0.054
2021-01-21,10.42,0.017
2021-01-22,10.5,0.082
2021-01-25,10.46,0.102
2021-01-26,10.45,0.282
2021-01-27,10.3,0.337
2021-01-28,10.39,0.317
2021-01-29,10.38,0.057
2021-02-01,10.35,0.050
2021-02-02,10.5,0.051
2021-02-03,10.62,0.074
2021-02-04,10.51,0.073
2021-02-05,10.52,0.048
2021-02-08,10.45,0.068
2021-02-09,10.39,0.054
2021-02-10,10.43,0.092
2021-02-11,10.52,0.373
2021-02-12,10.46,0.284
2021-02-16,10.48,0.111
2021-02-17,10.76,0.210
2021-02-18,10.98,0.287
2021-02-19,10.8,0.166
2021-02-22,10.7,0.221
2021-02-23,10.45,0.163
2021-02-24,10.44,0.104
2021-02-25,10.32,0.131
2021-02-26,10.25,0.150
2021-03-01,13.95,40.482
2021-03-02,13.14,10.932
2021-03-03,12.59,5.237
2021-03-04,11.33,6.856
2021-03-05,12.5,3.703
2021-03-08,12,2.489
2021-03-09,12.29,1.774
2021-03-10,12.41,2.066
2021-03-11,12.41,1.986
2021-03-12,12.22,1.250
2021-03-15,12.31,1.103
2021-03-16,11.87,1.553
2021-03-17,11.99,1.240
2021-03-18,11.47,1.409
2021-03-19,11.6,0.857
2021-03-22,12.51,2.589
2021-03-23,12.08,1.878
