date,close,volume
2017-09-29,202,0.213
2017-10-02,201.6,0.037
2017-10-03,202,0.013
2017-10-04,202.2,0.056
2017-10-05,202,0.213
2017-10-06,202.64,0.145
2017-10-09,202.4,0.049
2017-10-10,202.2,0.128
2017-10-11,201.8,0.423
2017-10-12,202.4,0.080
2017-10-13,202.4,0.199
2017-10-16,202.6,0.019
2017-10-17,203.4,0.027
2017-10-18,203.4,0.146
2017-10-19,203,0.033
2017-10-20,203.6,0.040
2017-10-23,204.6,0.059
2017-10-24,204.8,0.097
2017-10-25,204.5,0.051
2017-10-26,204.54,0.029
2017-10-27,205,0.079
2017-10-30,204.32,0.009
2017-10-31,204.84,0.064
2017-11-01,205.38,0.032
2017-11-02,205,0.068
2017-11-03,205,0.106
2017-11-06,204.98,0.012
2017-11-07,205,0.031
2017-11-08,205,0.022
2017-11-09,204.2,0.085
2017-11-10,204.4,0.079
2017-11-13,204.58,0.027
2017-11-14,204,0.227
2017-11-15,202,0.074
2017-11-16,201.4,0.021
2017-11-17,200.7,0.442
2017-11-20,199.64,0.047
2017-11-21,200,0.036
2017-11-22,200,0.011
2017-11-24,200.5,0.051
2017-11-27,200.4,0.139
2017-11-28,200,0.377
2017-11-29,199.4,0.227
2017-11-30,199,0.050
2017-12-01,198.8,0.053
2017-12-04,198.4,0.069
2017-12-05,198.8,0.068
2017-12-06,198.4,0.097
2017-12-07,197.8,0.147
2017-12-08,197.4,0.090
2017-12-11,198,0.094
2017-12-12,199.6,0.192
2017-12-13,199,0.080
2017-12-14,200.6,0.134
2017-12-15,200.2,0.156
2017-12-18,201.1,0.062
2017-12-19,200.2,0.693
2017-12-20,200.4,0.195
2017-12-21,200.6,0.123
2017-12-22,200.8,0.453
2017-12-26,201.4,0.018
2017-12-27,201.3,0.020
2017-12-28,201,0.033
2017-12-29,201.8,0.041
2018-01-02,201.4,0.036
2018-01-03,201.2,0.359
2018-01-04,201.2,0.031
2018-01-05,201.4,0.415
2018-01-08,201.4,0.169
2018-01-09,201,0.109
2018-01-10,201.2,1.626
2018-01-11,201.2,0.123
2018-01-12,201,0.351
2018-01-16,201.2,0.272
2018-01-17,200.6,0.096
2018-01-18,201,0.170
2018-01-19,201.2,0.297
2018-01-22,201.6,0.136
2018-01-23,201.6,0.471
2018-01-24,201.3,0.071
2018-01-25,201,0.215
2018-01-26,201.2,0.131
2018-01-29,201.2,0.067
2018-01-30,201,0.135
2018-01-31,201.2,0.043
2018-02-01,201.4,0.060
2018-02-02,200.8,0.068
2018-02-05,200,0.216
2018-02-06,199.8,0.152
2018-02-07,200,0.173
2018-02-08,200,0.074
2018-02-09,199.2,0.116
2018-02-12,199.6,0.049
2018-02-13,200,0.057
2018-02-14,199.6,0.047
2018-02-15,199.6,0.033
2018-02-16,200,0.019
2018-02-20,200.2,0.114
2018-02-21,200,0.055
2018-02-22,200.4,0.080
2018-02-23,200.4,0.090
2018-02-26,200.6,0.095
2018-02-27,200.4,0.018
2018-02-28,201,0.052
2018-03-01,201.2,0.023
2018-03-02,201,0.039
2018-03-05,200.8,0.032
2018-03-06,200.6,0.080
2018-03-07,200.8,0.084
2018-03-08,200.6,0.049
2018-03-09,200.6,0.039
2018-03-12,200.2,0.338
2018-03-13,200,0.035
2018-03-14,200.6,0.445
2018-03-15,200.8,0.020
2018-03-16,200.8,0.039
2018-03-19,200.2,0.084
2018-03-20,201,0.036
2018-03-21,201.2,0.039
2018-03-22,201,0.084
2018-03-23,201.2,0.235
2018-03-26,201.6,0.105
2018-03-27,201.4,0.044
2018-03-28,201,0.039
2018-03-29,200.6,0.046
2018-04-02,200.6,0.075
2018-04-03,200.6,0.228
2018-04-04,200.8,0.115
2018-04-05,201.4,0.187
2018-04-06,201.2,0.013
2018-04-09,200.8,0.011
2018-04-10,201,0.036
2018-04-11,201,0.017
2018-04-12,200.8,0.019
2018-04-13,201,0.154
2018-04-16,200.8,0.953
2018-04-17,201,0.148
2018-04-18,200.8,0.019
2018-04-19,200.8,0.033
2018-04-20,200.8,0.091
2018-04-23,200.4,1.088
2018-04-24,200.8,0.298
2018-04-25,200.7,0.602
2018-04-26,201,0.215
2018-04-27,201.6,0.041
2018-04-30,201.2,0.085
2018-05-01,200.6,0.038
2018-05-02,200.2,0.910
2018-05-03,200.6,0.043
2018-05-04,200.4,0.046
2018-05-07,201,0.036
2018-05-08,200.6,0.016
2018-05-09,200.4,0.040
2018-05-10,200.4,0.035
2018-05-11,200.6,0.016
2018-05-14,200.4,0.036
2018-05-15,200.4,0.031
2018-05-16,200.6,0.429
2018-05-17,200,0.010
2018-05-18,200.2,0.047
2018-05-21,200.6,0.334
2018-05-22,200.2,0.035
2018-05-23,200,0.464
2018-05-24,200,0.017
2018-05-25,201.6,0.080
2018-05-29,201.2,0.017
2018-05-30,201,0.005
2018-05-31,200.8,0.011
2018-06-01,201.8,0.019
2018-06-04,201.6,0.010
2018-06-05,201.4,0.033
2018-06-06,202.4,0.030
2018-06-07,201.8,0.010
2018-06-08,201.2,0.016
2018-06-11,201,0.058
2018-06-12,200.8,0.023
2018-06-13,200.8,0.007
2018-06-14,201.2,0.010
2018-06-15,200.8,0.069
2018-06-18,201.2,0.056
2018-06-19,200.6,0.035
2018-06-20,201,0.123
2018-06-21,200.7,0.030
2018-06-22,200.6,0.011
2018-06-25,200,0.287
2018-06-26,200.6,0.045
2018-06-27,200.2,0.005
2018-06-28,200.2,0.083
2018-06-29,201,0.047
2018-07-02,200.6,0.009
2018-07-03,200,0.010
2018-07-05,200,0.139
2018-07-06,200,0.059
2018-07-09,200,0.103
2018-07-10,200,0.039
2018-07-11,199.8,0.007
2018-07-12,200,0.190
2018-07-13,200,0.002
2018-07-16,199.8,0.040
2018-07-17,199.2,0.397
2018-07-18,199.4,0.273
2018-07-19,199.6,0.042
2018-07-20,199.8,0.019
2018-07-23,199.4,0.041
2018-07-24,199.4,0.114
2018-07-25,199.2,0.057
2018-07-26,199.4,0.140
2018-07-27,199.4,0.029
2018-07-30,199.2,0.058
2018-07-31,200,0.044
2018-08-01,199.8,0.025
2018-08-02,199.2,0.003
2018-08-03,199.4,0.071
2018-08-06,199.4,0.010
2018-08-07,199,0.056
2018-08-08,199,0.092
2018-08-09,199.2,0.106
2018-08-10,199.6,0.000
2018-08-13,199.8,0.005
2018-08-14,199.8,0.004
2018-08-15,199,0.006
2018-08-16,199.4,0.068
2018-08-17,199,0.015
2018-08-20,199,0.315
2018-08-21,199,0.036
2018-08-22,199.4,0.003
2018-08-23,200,0.038
2018-08-24,200,0.007
2018-08-27,199.6,0.030
2018-08-28,199.4,0.008
2018-08-29,199.2,0.240
2018-08-30,199.4,0.064
2018-08-31,199.4,0.036
2018-09-04,199.2,0.012
2018-09-05,199.2,0.362
2018-09-06,199.4,0.052
2018-09-07,198.2,1.316
2018-09-10,197.8,0.164
2018-09-11,197.6,1.346
2018-09-12,198,0.013
2018-09-13,198,0.278
2018-09-14,197.4,0.012
2018-09-17,197.6,0.098
2018-09-18,198,0.104
2018-09-19,197.8,0.086
2018-09-20,198.4,1.779
2018-09-21,198,0.022
2018-09-24,198,0.012
2018-09-25,198,0.079
2018-09-26,198.8,0.027
2018-09-27,198.2,1.400
2018-09-28,198.2,0.056
2018-10-01,198.4,0.049
2018-10-02,198.8,0.005
2018-10-03,198.2,0.034
2018-10-04,198.2,0.053
2018-10-05,198.4,0.007
2018-10-08,198.6,0.026
2018-10-09,198.2,0.008
2018-10-10,198.6,0.031
2018-10-11,198.6,0.011
2018-10-12,198.4,0.179
2018-10-15,198.6,0.007
2018-10-16,198.6,0.017
2018-10-17,198.8,0.005
2018-10-18,198.4,0.033
2018-10-19,198.6,0.080
2018-10-22,198.4,0.043
2018-10-23,198.6,0.014
2018-10-24,198.6,0.033
2018-10-25,198.4,0.083
2018-10-26,198.6,0.037
2018-10-29,198.4,0.171
2018-10-30,198.4,0.293
2018-10-31,199,0.061
2018-11-01,198.6,0.010
2018-11-02,198.6,0.021
2018-11-05,198.8,0.016
2018-11-06,199.2,0.015
2018-11-07,198.8,0.012
2018-11-08,198.8,0.043
2018-11-09,199,0.051
2018-11-12,199.6,0.002
2018-11-13,198.8,0.030
2018-11-14,199.2,0.017
2018-11-15,199.8,0.045
2018-11-16,199.8,0.023
2018-11-19,199,0.019
2018-11-20,199.4,0.043
2018-11-21,198.8,0.110
2018-11-23,200,0.000
2018-11-26,199.8,0.022
2018-11-27,199.2,0.008
2018-11-28,199.2,0.010
2018-11-29,198.8,0.024
2018-11-30,199,0.005
