date,close,volume
2020-08-27,21.22,82.220
2020-08-28,22.79,44.847
2020-08-31,20.5,20.816
2020-09-01,21.61,15.291
2020-09-02,21.09,9.090
2020-09-03,20.03,7.897
2020-09-04,19.03,10.957
2020-09-08,17.73,8.724
2020-09-09,18.07,5.889
2020-09-10,19.28,15.465
2020-09-11,19.1,4.260
2020-09-14,20.48,6.297
2020-09-15,21.12,4.332
2020-09-16,19.92,4.054
2020-09-17,19.24,2.888
2020-09-18,18.9,2.789
2020-09-21,18.15,5.191
2020-09-22,19.31,4.131
2020-09-23,18.41,3.274
2020-09-24,17.45,3.995
2020-09-25,17.93,5.331
2020-09-28,19.06,5.508
2020-09-29,18.78,5.834
2020-09-30,20.07,10.406
2020-10-01,18.67,10.024
2020-10-02,18.19,4.525
2020-10-05,20.04,14.572
2020-10-06,19.7,7.054
2020-10-07,20.16,4.939
2020-10-08,19.86,3.517
2020-10-09,20,2.932
2020-10-12,19.88,4.899
2020-10-13,19.64,3.824
2020-10-14,22.05,18.303
2020-10-15,22.16,10.449
2020-10-16,21.77,6.252
2020-10-19,19.84,8.204
2020-10-20,20.14,5.994
2020-10-21,20.42,4.160
2020-10-22,20.82,6.383
2020-10-23,20.05,4.466
2020-10-26,19.62,4.264
2020-10-27,19.9,3.604
2020-10-28,19.02,5.552
2020-10-29,20.72,10.753
2020-10-30,19.38,9.324
2020-11-02,20.72,19.916
2020-11-03,22.21,11.308
2020-11-04,27.39,50.724
2020-11-05,35.85,89.539
2020-11-06,34.81,102.189
2020-11-09,34.07,34.809
2020-11-10,32.9,32.340
2020-11-11,33.53,24.899
2020-11-12,44.73,166.146
2020-11-13,41.99,92.072
2020-11-16,44.1,39.098
2020-11-17,42.91,28.769
2020-11-18,42.18,26.429
2020-11-19,48.11,35.123
2020-11-20,53.89,79.526
2020-11-23,72.17,100.012
2020-11-24,70.63,99.908
2020-11-25,64.27,49.197
2020-11-27,64.28,26.583
2020-11-30,58.76,38.927
2020-12-01,52.36,48.817
2020-12-02,56,60.694
2020-12-03,51.82,32.476
2020-12-04,49.34,27.406
2020-12-07,48.3,37.935
2020-12-08,48.69,26.377
2020-12-09,44.65,57.541
2020-12-10,44.8,27.260
2020-12-11,44.31,22.731
2020-12-14,47.17,34.420
2020-12-15,49.49,35.699
2020-12-16,47.4,22.523
