date,close,volume
2012-03-02,24.58,17.508
2012-03-05,20.99,2.995
2012-03-06,20.5,1.154
2012-03-07,20.25,0.445
2012-03-08,20,0.437
2012-03-09,19.8,0.668
2012-03-12,22.49,1.358
2012-03-13,23.3,2.057
2012-03-14,22.32,0.590
2012-03-15,21.75,0.876
2012-03-16,21.74,0.434
2012-03-19,22.99,0.858
2012-03-20,22.9,0.783
2012-03-21,23.12,1.375
2012-03-22,23.22,0.371
2012-03-23,23.18,0.307
2012-03-26,24.6,1.052
2012-03-27,27.65,3.142
2012-03-28,28.09,5.271
2012-03-29,28.01,1.428
2012-03-30,26.89,1.888
2012-04-02,27.12,1.167
2012-04-03,26.7,1.385
2012-04-04,26.16,0.441
2012-04-05,24.17,1.353
2012-04-09,25.22,1.398
2012-04-10,25.81,1.029
2012-04-11,25.43,1.006
2012-04-12,26.2,0.730
2012-04-13,26.33,0.512
2012-04-16,25.87,0.632
2012-04-17,25.57,0.387
2012-04-18,24.99,0.344
2012-04-19,24.27,0.605
2012-04-20,23.1,0.441
2012-04-23,22.27,0.593
2012-04-24,21.18,0.905
2012-04-25,21.13,0.568
2012-04-26,21.2,0.735
2012-04-27,21.9,0.617
2012-04-30,22.86,0.615
2012-05-01,22.57,0.368
2012-05-02,23.16,0.874
2012-05-03,20.64,1.780
2012-05-04,21.3,0.390
2012-05-07,21.41,0.452
2012-05-08,20.81,0.508
2012-05-09,20.98,0.558
2012-05-10,20.05,0.511
2012-05-11,20.27,0.461
2012-05-14,20.04,0.779
2012-05-15,20.8,0.744
2012-05-16,21.6,0.453
2012-05-17,21.27,0.558
2012-05-18,18.64,1.459
2012-05-21,19.3,1.662
2012-05-22,18,0.792
2012-05-23,18.32,0.427
2012-05-24,18.89,0.315
2012-05-25,18.19,0.327
2012-05-29,17.07,0.664
2012-05-30,16.61,0.792
2012-05-31,16.71,0.471
2012-06-01,15.69,0.522
2012-06-04,15.22,0.556
2012-06-05,15.22,0.648
2012-06-06,16.46,0.528
2012-06-07,17.52,0.737
2012-06-08,19.64,1.130
2012-06-11,18.85,1.040
2012-06-12,19.65,0.394
2012-06-13,19.78,0.307
2012-06-14,19.85,0.254
2012-06-15,21.13,0.728
2012-06-18,21.15,0.847
2012-06-19,21.39,0.369
2012-06-20,21.07,0.277
2012-06-21,21,0.521
2012-06-22,21.64,1.358
2012-06-25,21.95,0.470
2012-06-26,22.04,0.401
2012-06-27,22.79,0.763
2012-06-28,22.51,0.446
2012-06-29,22.73,0.481
2012-07-02,23.74,0.337
2012-07-03,24.72,0.341
2012-07-05,26.16,1.602
2012-07-06,25.3,0.345
2012-07-09,24.79,0.491
2012-07-10,22.63,0.745
2012-07-11,21.36,0.363
2012-07-12,22.14,0.381
2012-07-13,21.64,0.323
2012-07-16,21.43,0.244
2012-07-17,23.02,0.404
2012-07-18,22.7,0.272
2012-07-19,24,0.424
2012-07-20,24.05,0.333
2012-07-23,23.29,0.441
2012-07-24,22.51,0.227
2012-07-25,21.5,0.437
2012-07-26,19.68,0.755
2012-07-27,19.51,0.464
2012-07-30,20.62,0.440
2012-07-31,19.96,0.310
2012-08-01,18.82,0.906
2012-08-02,22,2.672
2012-08-03,23.4,0.702
2012-08-06,25.43,1.265
2012-08-07,25.84,0.664
2012-08-08,26.46,0.674
2012-08-09,25.73,1.811
2012-08-10,25.85,0.549
2012-08-13,23.87,0.695
2012-08-14,22.29,1.041
2012-08-15,22.11,0.779
2012-08-16,21.76,0.891
2012-08-17,21.5,0.906
2012-08-20,20.22,1.242
2012-08-21,19,1.100
2012-08-22,17.87,1.237
2012-08-23,18.19,0.923
2012-08-24,19.48,1.747
2012-08-27,19.11,0.935
2012-08-28,18.26,1.354
2012-08-29,22.37,8.655
2012-08-30,21.69,2.239
2012-08-31,22,1.377
2012-09-04,24.25,2.336
2012-09-05,25.77,3.175
2012-09-06,25.55,1.644
2012-09-07,24.82,1.095
2012-09-10,25.07,0.853
2012-09-11,26.2,1.537
2012-09-12,25.8,1.758
2012-09-13,23.95,1.635
2012-09-14,26.18,1.726
2012-09-17,25.7,0.500
2012-09-18,24.77,1.104
2012-09-19,25.71,2.073
2012-09-20,26.31,1.818
2012-09-21,26.78,1.249
2012-09-24,25.67,0.854
2012-09-25,25.5,1.134
2012-09-26,25.68,1.086
2012-09-27,26.24,0.672
2012-09-28,27.05,1.074
2012-10-01,27.76,1.327
2012-10-02,27.59,0.621
2012-10-03,28.09,0.720
2012-10-04,28.89,1.433
2012-10-05,28.4,0.961
2012-10-08,28.27,0.526
2012-10-09,27.43,0.611
2012-10-10,25.61,1.473
2012-10-11,25.73,0.791
2012-10-12,25.24,0.417
2012-10-15,25.31,0.229
2012-10-16,24.85,0.762
2012-10-17,25.7,0.483
2012-10-18,24.76,0.670
2012-10-19,24.61,0.700
2012-10-22,24.27,0.485
2012-10-23,24,0.733
2012-10-24,25.77,1.655
2012-10-25,24.03,0.863
2012-10-26,23.17,0.711
2012-10-31,24.1,0.628
2012-11-01,24.03,0.726
2012-11-02,20.51,2.533
2012-11-05,19.11,1.820
2012-11-06,18.25,2.014
2012-11-07,18.4,2.060
2012-11-08,17.77,1.152
2012-11-09,17.72,1.086
2012-11-12,17.07,1.014
2012-11-13,17.21,0.853
2012-11-14,16.77,0.795
2012-11-15,17.21,0.908
2012-11-16,17.32,0.985
2012-11-19,18.8,1.377
2012-11-20,18.81,0.717
2012-11-21,18.71,0.411
2012-11-23,18.98,0.259
2012-11-26,18.99,0.664
2012-11-27,20.24,1.467
2012-11-28,20.2,0.872
2012-11-29,19.45,0.701
2012-11-30,18.91,1.588
2012-12-03,19.27,0.937
2012-12-04,19.05,0.678
2012-12-05,18.84,0.600
2012-12-06,18.09,1.583
2012-12-07,19.05,1.283
2012-12-10,18.82,0.531
2012-12-11,19.3,1.142
2012-12-12,19.62,1.603
2012-12-13,19.66,0.868
2012-12-14,19.46,0.467
2012-12-17,18.93,1.027
2012-12-18,18.06,1.550
2012-12-19,18.45,1.455
2012-12-20,18.91,1.105
2012-12-21,19,1.057
2012-12-24,18.44,0.541
2012-12-26,18.63,0.388
2012-12-27,18.83,0.722
