ticker,layer,cik,fy,fy_end,capex,revenue,ocf,capex_tag,rev_tag,ocf_tag,status
MSFT,Hyperscaler,0000789019,2008,2008-06-30,3182000000,,21612000000,PaymentsToAcquirePropertyPlantAndEquipment,RevenueFromContractWithCustomerExcludingAssessedTax,NetCashProvidedByUsedInOperatingActivities,ok
MSFT,Hyperscaler,0000789019,2009,2009-06-30,3119000000,,19037000000,PaymentsToAcquirePropertyPlantAndEquipment,RevenueFromContractWithCustomerExcludingAssessedTax,NetCashProvidedByUsedInOperatingActivities,ok
MSFT,Hyperscaler,0000789019,2010,2010-06-30,1977000000,,24073000000,PaymentsToAcquirePropertyPlantAndEquipment,RevenueFromContractWithCustomerExcludingAssessedTax,NetCashProvidedByUsedInOperatingActivities,ok
MSFT,Hyperscaler,0000789019,2011,2011-06-30,2355000000,,26994000000,PaymentsToAcquirePropertyPlantAndEquipment,RevenueFromContractWithCustomerExcludingAssessedTax,NetCashProvidedByUsedInOperatingActivities,ok
MSFT,Hyperscaler,0000789019,2012,2012-06-30,2305000000,,31626000000,PaymentsToAcquirePropertyPlantAndEquipment,RevenueFromContractWithCustomerExcludingAssessedTax,NetCashProvidedByUsedInOperatingActivities,ok
MSFT,Hyperscaler,0000789019,2013,2013-06-30,4257000000,,28833000000,PaymentsToAcquirePropertyPlantAndEquipment,RevenueFromContractWithCustomerExcludingAssessedTax,NetCashProvidedByUsedInOperatingActivities,ok
MSFT,Hyperscaler,0000789019,2014,2014-06-30,5485000000,,,PaymentsToAcquirePropertyPlantAndEquipment,RevenueFromContractWithCustomerExcludingAssessedTax,NetCashProvidedByUsedInOperatingActivities,ok
MSFT,Hyperscaler,0000789019,2015,2015-06-30,5944000000,,,PaymentsToAcquirePropertyPlantAndEquipment,RevenueFromContractWithCustomerExcludingAssessedTax,NetCashProvidedByUsedInOperatingActivities,ok
MSFT,Hyperscaler,0000789019,2016,2016-06-30,8343000000,91154000000,33325000000,PaymentsToAcquirePropertyPlantAndEquipment,RevenueFromContractWithCustomerExcludingAssessedTax,NetCashProvidedByUsedInOperatingActivities,ok
MSFT,Hyperscaler,0000789019,2017,2017-06-30,8129000000,96571000000,39507000000,PaymentsToAcquirePropertyPlantAndEquipment,RevenueFromContractWithCustomerExcludingAssessedTax,NetCashProvidedByUsedInOperatingActivities,ok
MSFT,Hyperscaler,0000789019,2018,2018-06-30,11632000000,110360000000,43884000000,PaymentsToAcquirePropertyPlantAndEquipment,RevenueFromContractWithCustomerExcludingAssessedTax,NetCashProvidedByUsedInOperatingActivities,ok
MSFT,Hyperscaler,0000789019,2019,2019-06-30,13925000000,125843000000,52185000000,PaymentsToAcquirePropertyPlantAndEquipment,RevenueFromContractWithCustomerExcludingAssessedTax,NetCashProvidedByUsedInOperatingActivities,ok
MSFT,Hyperscaler,0000789019,2020,2020-06-30,15441000000,143015000000,60675000000,PaymentsToAcquirePropertyPlantAndEquipment,RevenueFromContractWithCustomerExcludingAssessedTax,NetCashProvidedByUsedInOperatingActivities,ok
MSFT,Hyperscaler,0000789019,2021,2021-06-30,20622000000,168088000000,76740000000,PaymentsToAcquirePropertyPlantAndEquipment,RevenueFromContractWithCustomerExcludingAssessedTax,NetCashProvidedByUsedInOperatingActivities,ok
MSFT,Hyperscaler,0000789019,2022,2022-06-30,23886000000,198270000000,89035000000,PaymentsToAcquirePropertyPlantAndEquipment,RevenueFromContractWithCustomerExcludingAssessedTax,NetCashProvidedByUsedInOperatingActivities,ok
MSFT,Hyperscaler,0000789019,2023,2023-06-30,28107000000,211915000000,87582000000,PaymentsToAcquirePropertyPlantAndEquipment,RevenueFromContractWithCustomerExcludingAssessedTax,NetCashProvidedByUsedInOperatingActivities,ok
MSFT,Hyperscaler,0000789019,2024,2024-06-30,44477000000,245122000000,118548000000,PaymentsToAcquirePropertyPlantAndEquipment,RevenueFromContractWithCustomerExcludingAssessedTax,NetCashProvidedByUsedInOperatingActivities,ok
MSFT,Hyperscaler,0000789019,2025,2025-06-30,64551000000,281724000000,136162000000,PaymentsToAcquirePropertyPlantAndEquipment,RevenueFromContractWithCustomerExcludingAssessedTax,NetCashProvidedByUsedInOperatingActivities,ok
GOOGL,Hyperscaler,0001652044,2013,2013-12-31,7358000000,55519000000,18659000000,PaymentsToAcquirePropertyPlantAndEquipment,Revenues,NetCashProvidedByUsedInOperatingActivities,ok
GOOGL,Hyperscaler,0001652044,2014,2014-12-31,11014000000,66001000000,23024000000,PaymentsToAcquirePropertyPlantAndEquipment,Revenues,NetCashProvidedByUsedInOperatingActivities,ok
GOOGL,Hyperscaler,0001652044,2015,2015-12-31,9950000000,74989000000,26572000000,PaymentsToAcquirePropertyPlantAndEquipment,Revenues,NetCashProvidedByUsedInOperatingActivities,ok
GOOGL,Hyperscaler,0001652044,2016,2016-12-31,10212000000,90272000000,36036000000,PaymentsToAcquirePropertyPlantAndEquipment,Revenues,NetCashProvidedByUsedInOperatingActivities,ok
