ticker,year,capex_bn,ocf_bn,net_debt_raised_bn,equity_issued_bn,buyback_bn,cash_reserves_bn
AMZN,2021,61.1,46.3,17.3,,0.0,96.0
AMZN,2022,63.6,46.8,19.9,,6.0,70.0
AMZN,2023,52.7,84.9,-3.3,,0.0,86.8
AMZN,2024,83.0,115.9,-9.2,,0.0,101.2
AMZN,2025,131.8,139.5,10.8,,,123.0
GOOGL,2021,24.6,91.7,,,50.3,139.6
GOOGL,2022,31.5,91.5,,,59.3,113.8
GOOGL,2023,32.3,101.7,,,61.5,110.9
GOOGL,2024,52.5,125.3,-1.0,,62.2,95.7
GOOGL,2025,91.4,164.7,36.7,,45.7,126.8
META,2021,18.7,57.7,,,44.5,48.0
META,2022,31.2,50.5,9.9,,28.0,40.7
META,2023,27.0,71.1,8.5,,19.8,65.4
META,2024,37.3,91.3,10.4,,30.1,77.8
META,2025,69.7,115.8,29.9,,26.2,81.6
MSFT,2021,20.6,76.7,-5.2,1.7,27.4,130.3
MSFT,2022,23.9,89.0,-8.4,1.8,32.7,104.8
MSFT,2023,28.1,87.6,-2.5,1.9,22.2,111.3
MSFT,2024,44.5,118.5,-2.3,2.0,17.3,75.5
MSFT,2025,64.6,136.2,-1.8,2.1,18.4,94.6
ORCL,2021,2.1,15.9,12.6,1.8,20.9,46.6
ORCL,2022,4.5,9.5,-8.4,0.5,16.2,21.9
ORCL,2023,8.7,17.2,14.6,1.2,1.3,10.2
ORCL,2024,6.9,18.7,-3.6,0.7,1.2,10.7
ORCL,2025,21.2,20.8,5.7,0.7,0.6,11.2
ORCL,2026,55.7,32.0,37.0,1.4,0.1,31.9
