ticker,layer,fy,cash,liquidity,total_debt,total_debt_prior,net_borrow,debt_issued_gross,debt_repaid_gross,equity_iss,buyback,net_return_to_holders
MSFT,Hyperscaler,2025,30.24,94.56,43.15,44.94,-1.79,0.0,3.22,2.06,18.42,16.36
GOOGL,Hyperscaler,2025,30.71,126.84,48.54,11.88,36.66,64.56,10.06,,45.71,45.71
AMZN,Hyperscaler,2025,86.81,123.03,68.4,57.64,10.76,15.67,5.02,,0.0,0.0
META,Hyperscaler,2025,35.87,81.59,58.74,28.83,29.92,29.91,0.0,0.0,26.25,26.25
ORCL,Hyperscaler,2026,31.29,31.89,129.54,92.57,36.97,46.09,6.94,1.45,0.1,-1.35
CRWV,Neocloud,2025,3.13,3.16,21.37,7.93,13.45,11.83,3.4,0.0,,0.0
APLD,Neocloud,2025,0.04,0.04,0.01,0.0,0.01,0.45,,0.19,0.03,-0.16
IREN,Neocloud,2025,0.56,0.56,,,,0.7,0.0,,,
CIFR,Neocloud,2025,0.63,0.8,2.75,0.0,2.75,3.15,,0.2,0.09,-0.11
WULF,Neocloud,2025,3.27,3.27,3.1,0.0,3.1,0.0,0.0,0.0,0.03,0.03
CORZ,Neocloud,2025,0.31,0.31,1.06,1.07,-0.01,0.0,0.01,0.0,0.0,0.0
NVDA,Compute silicon,2026,10.61,45.23,8.47,8.46,0.01,0.0,0.0,0.18,40.09,39.91
AMD,Compute silicon,2025,5.54,10.55,3.22,1.72,1.5,0.0,0.95,0.0,1.32,1.32
AVGO,Compute silicon,2025,16.18,16.18,67.12,69.85,-2.73,15.67,18.48,0.22,2.45,2.23
MRVL,Compute silicon,2026,2.64,2.64,3.97,3.93,0.04,1.2,0.79,,2.04,2.04
QCOM,Compute silicon,2025,5.52,10.15,14.81,14.63,0.18,1.49,1.54,0.4,8.79,8.39
INTC,Foundry / memory,2025,14.27,37.42,46.59,50.01,-3.43,0.0,3.75,0.92,0.0,-0.92
MU,Foundry / memory,2025,9.64,10.31,14.58,13.4,1.18,4.43,3.92,1.36,0.0,-1.36
AMAT,Semicap equipment,2025,7.24,8.57,5.3,3.33,1.98,0.99,0.7,0.26,4.89,4.63
LRCX,Semicap equipment,2025,6.39,8.97,4.47,4.97,-0.5,0.0,,0.0,3.42,3.42
KLAC,Semicap equipment,2025,2.08,2.82,5.88,6.63,-0.75,0.0,0.75,0.15,2.15,2.0
ONTO,Semicap equipment,2026,0.35,0.64,0.0,0.01,-0.01,,0.0,0.0,0.08,0.08
ANET,Networking / optical,2025,1.96,10.74,0.1,,,,,,1.6,1.6
CSCO,Networking / optical,2025,8.35,16.11,24.61,20.11,4.5,19.29,0.5,0.74,6.0,5.26
LITE,Networking / optical,2025,0.52,0.88,2.57,2.5,0.07,0.08,,,0.0,0.0
COHR,Networking / optical,2025,0.91,0.91,3.69,4.1,-0.41,0.0,0.44,0.0,0.0,0.0
CRDO,Networking / optical,2026,1.16,1.44,,,,,,0.74,0.0,-0.74
DELL,Servers / ODM,2026,11.53,11.53,31.5,24.57,6.94,15.0,8.52,0.01,6.01,6.01
SMCI,Servers / ODM,2025,5.17,5.17,0.11,0.48,-0.36,1.39,1.77,,0.0,0.0
HPE,Servers / ODM,2025,5.77,5.77,21.55,17.47,4.08,9.19,,,0.2,0.2
EQIX,Data-center REIT,2025,1.73,3.23,1.5,1.5,0.0,4.31,1.2,0.1,0.0,-0.1
DLR,Data-center REIT,2025,3.45,3.45,16.19,13.96,2.23,3.49,2.51,0.41,,-0.41
VRT,Power / cooling,2025,1.73,1.73,2.91,2.93,-0.02,2.19,0.02,0.0,0.0,0.0
ETN,Power / cooling,2025,0.62,0.8,9.89,9.15,0.74,1.06,0.72,,1.86,1.86
GEV,Power / cooling,2025,8.85,8.85,,,,,,,3.32,3.32
CEG,Power / cooling,2025,3.64,3.64,7.34,8.41,-1.07,0.0,1.08,,0.4,0.4
SO,Power / cooling,2025,1.64,1.64,71.87,63.49,8.38,,,1.62,0.0,-1.62
DUK,Power / cooling,2025,0.24,0.29,87.21,80.69,6.52,11.89,5.65,0.02,1.5,1.48
BE,Power / cooling,2025,2.45,2.45,2.62,1.13,1.49,2.5,,0.06,,-0.06
PWR,Power / cooling,2025,0.44,0.44,5.99,4.16,1.83,0.0,0.0,0.0,0.13,0.13
PLTR,Software / apps,2025,1.42,7.18,0.0,0.2,-0.2,0.09,0.0,0.0,0.07,0.07
NOW,Software / apps,2025,3.73,6.28,,,,0.0,,0.07,1.84,1.77
CRM,Software / apps,2026,7.33,9.56,14.44,8.43,6.01,0.0,0.12,,12.6,12.6
SNOW,Software / apps,2026,2.83,4.03,,,,0.0,,0.0,0.87,0.87
IBM,Software / apps,2025,13.59,14.19,61.26,54.94,6.32,,,,1.36,1.36
