event,year,company,ticker,speaker,kind,video_id,video_url,transcript_source,language,video_date,transcript_chars,n_announcements
COMPUTEX,2024,AMD,AMD,Lisa Su,keynote,MCi8jgALPYA,https://www.youtube.com/watch?v=MCi8jgALPYA,captions,English,2024-06-03,64339,18
COMPUTEX,2024,ASUS,2357.TW,ASUS launch,press_conference,L-gSPB-WRSs,https://www.youtube.com/watch?v=L-gSPB-WRSs,captions,English,2024-06-03,56243,14
COMPUTEX,2024,Acer,2353.TW,Jerry Kao,press_conference,mbPRLNYqxTs,https://www.youtube.com/watch?v=mbPRLNYqxTs,captions,English,2024-09-25,5363,0
COMPUTEX,2024,Arm,ARM,Rene Haas,keynote,esAGRF0yiBI,https://www.youtube.com/watch?v=esAGRF0yiBI,captions,English,2021-06-14,21441,18
COMPUTEX,2024,Delta,2308.TW,Delta keynote,keynote,iiRie4LmiaA,https://www.youtube.com/watch?v=iiRie4LmiaA,captions,English,2024-06-06,45640,12
COMPUTEX,2024,Gigabyte,2376.TW,AI TOP launch,press_conference,Bnw5g6zsw0A,https://www.youtube.com/watch?v=Bnw5g6zsw0A,captions,Mandarin,2024-06-05,15249,11
COMPUTEX,2024,Intel,INTC,Pat Gelsinger,keynote,5imrulocDlY,https://www.youtube.com/watch?v=5imrulocDlY,captions,English,2024-06-04,40669,12
COMPUTEX,2024,MediaTek,2454.TW,Rick Tsai,keynote,wxMh8TH7OF8,https://www.youtube.com/watch?v=wxMh8TH7OF8,captions,English,2024-06-04,51571,6
COMPUTEX,2024,NVIDIA,NVDA,Jensen Huang,keynote,pKXDVsWZmUU,https://www.youtube.com/watch?v=pKXDVsWZmUU,captions,English,2024-06-02,71530,25
COMPUTEX,2024,Pegatron,4938.TW,T.H. Tung,press_conference,ERhjhZyI358,https://www.youtube.com/watch?v=ERhjhZyI358,captions,English,2024-09-11,9439,0
COMPUTEX,2024,Qualcomm,QCOM,Cristiano Amon,keynote,5R3QpKMciEw,https://www.youtube.com/watch?v=5R3QpKMciEw,captions,English,2024-06-03,58866,12
COMPUTEX,2024,Supermicro,SMCI,Charles Liang,keynote,HQnNpZFIhpA,https://www.youtube.com/watch?v=HQnNpZFIhpA,captions,English,2024-06-05,36169,14
COMPUTEX,2025,ASUS,2357.TW,AI Data Center,press_conference,MFXLFXg5niU,https://www.youtube.com/watch?v=MFXLFXg5niU,captions,English,2025-05-14,12505,2
COMPUTEX,2025,Advantech,2395.TW,Edge Computing,press_conference,mMyOp1sQ4mk,https://www.youtube.com/watch?v=mMyOp1sQ4mk,captions,English,2025-05-13,9112,6
COMPUTEX,2025,COMPUTEX,,Global Press Conf,press_conference,z7z4ZJ0KhrM,https://www.youtube.com/watch?v=z7z4ZJ0KhrM,captions,English,2025-05-19,10213,6
COMPUTEX,2025,Delta,2308.TW,Power & Thermal,press_conference,NHqGFxdNswE,https://www.youtube.com/watch?v=NHqGFxdNswE,captions,English,2025-05-16,15069,8
COMPUTEX,2025,Foxconn,2317.TW,Young Liu,keynote,QvnwJqB822c,https://www.youtube.com/watch?v=QvnwJqB822c,captions,English,2025-05-20,43639,10
COMPUTEX,2025,Gigabyte,2376.TW,Leading Edge,press_conference,zcVOAHDAw7c,https://www.youtube.com/watch?v=zcVOAHDAw7c,captions,English,2025-05-21,37313,22
COMPUTEX,2025,MediaTek,2454.TW,Rick Tsai,keynote,65rTbTU1Ak8,https://www.youtube.com/watch?v=65rTbTU1Ak8,whisper_asr,English,2025-05-20,42114,13
COMPUTEX,2025,NVIDIA,NVDA,Jensen Huang,keynote,ly2aznIb3zg,https://www.youtube.com/watch?v=ly2aznIb3zg,captions,English,2025-05-19,71858,14
COMPUTEX,2025,Qualcomm,QCOM,Cristiano Amon,keynote,EdrS3Zq3zFQ,https://www.youtube.com/watch?v=EdrS3Zq3zFQ,captions,English,2025-05-19,62220,11
COMPUTEX,2025,Supermicro,SMCI,Charles Liang,keynote,VOdVO7qMzZs,https://www.youtube.com/watch?v=VOdVO7qMzZs,captions,English,2025-05-19,34970,13
COMPUTEX,2025,Wiwynn,6669.TW,AI Computing,press_conference,K9IxCWcc0hU,https://www.youtube.com/watch?v=K9IxCWcc0hU,captions,English,2025-05-09,17992,3
COMPUTEX,2026,ASUS,2357.TW,ROG press event,press_conference,p0NpoymfgMU,https://www.youtube.com/watch?v=p0NpoymfgMU,captions,English,2026-06-01,37459,16
COMPUTEX,2026,Arm,ARM,Rene Haas,keynote,aEvEoDJoJQY,https://www.youtube.com/watch?v=aEvEoDJoJQY,captions,English,2026-06-02,37112,9
COMPUTEX,2026,COMPUTEX,,Global Press Conf,press_conference,ztiiTHJfSPM,https://www.youtube.com/watch?v=ztiiTHJfSPM,captions,English,2026-06-01,8401,7
COMPUTEX,2026,Gigabyte,2376.TW,Enter Infinity,press_conference,avtpBZH6exw,https://www.youtube.com/watch?v=avtpBZH6exw,captions,English,2026-06-03,28642,21
COMPUTEX,2026,Intel,INTC,Lip-Bu Tan,keynote,SJ-VzWpgQ5s,https://www.youtube.com/watch?v=SJ-VzWpgQ5s,captions,English,2026-06-02,44719,18
